timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bear,100,price20+price200+macd+volatility,742,179,137,1.76542378,2.20560083,2.87031630,9,7,0.77777778,0.00000000,2.41628959,137,0.34306569,0.26882637
h4,bear,100,price200+macd+di+volatility,752,181,137,1.76232105,2.18122955,2.87031630,9,7,0.77777778,0.00000000,2.41628959,137,0.34306569,0.26882637
h4,bear,100,price200+macd+volatility+bb,755,181,138,1.73502575,2.18122955,2.84951691,9,7,0.77777778,0.00000000,2.41628959,138,0.34057971,0.26678817
h4,bear,100,price200+macd+volatility,781,187,140,1.70669133,2.15184441,2.80880952,9,7,0.77777778,0.00000000,2.41628959,140,0.33571429,0.26280358
h4,bear,100,price200+di+volatility+bb,826,197,156,1.68790542,2.11969349,2.52072650,9,7,0.77777778,0.00000000,2.09411765,156,0.30128205,0.23476962
h4,bear,100,price20+price200+volatility+bb,824,198,156,1.67340885,2.10898797,2.52072650,9,7,0.77777778,0.00000000,2.09411765,156,0.30128205,0.23476962
h4,bear,100,price200+volatility+bb,845,201,157,1.64995252,2.07751054,2.50467091,9,7,0.77777778,0.00000000,2.09411765,157,0.29936306,0.23321552
h4,bear,100,price20+price200+di+volatility,837,202,158,1.69317964,2.10481176,2.48881857,9,7,0.77777778,0.00000000,2.09411765,158,0.29746835,0.23168195
h4,bear,100,price20+price200+volatility,849,205,159,1.66924777,2.07400963,2.47316562,9,7,0.77777778,0.00000000,2.09411765,159,0.29559748,0.23016848
h4,bear,100,price200+macd+volatility+body,295,59,54,1.84371207,1.54420814,2.78888889,5,4,0.80000000,0.00000000,2.24369748,54,0.33333333,0.22241417
h4,bear,100,price20+macd+di+volatility,1067,254,182,1.71589318,1.97281709,2.34450549,11,8,0.72727273,0.00000000,1.94626697,182,0.28021978,0.22003384
h4,bear,100,price20+macd+volatility+bb,1091,262,182,1.69218975,1.99951378,2.34450549,11,8,0.72727273,0.00000000,1.94626697,182,0.28021978,0.22003384
h4,bear,100,price20+macd+volatility,1098,263,182,1.68837842,1.99191107,2.34450549,11,8,0.72727273,0.00000000,1.94626697,182,0.28021978,0.22003384
h4,bear,100,macd+di+volatility+bb,1091,261,188,1.70623281,1.97808527,2.31418440,11,8,0.72727273,0.00000000,1.91495767,188,0.27659574,0.21761332
h4,bear,100,macd+di+volatility,1152,276,198,1.64913409,1.92559771,2.19730640,11,8,0.72727273,0.00000000,1.79103958,198,0.26262626,0.20626673
h4,bull,100,trend+volatility+body,426,97,57,1.35266786,1.12067920,2.24736842,7,5,0.71428571,0.00000000,1.81250000,57,0.24561404,0.15232837
h4,bear,100,trend+price20+macd+volatility,460,127,63,1.74859098,2.39129345,1.99206349,7,5,0.71428571,0.00000000,1.74509804,63,0.23809524,0.14993784
h4,bear,100,trend+macd+di+volatility,472,129,63,1.73659500,2.35421913,1.99206349,7,5,0.71428571,0.00000000,1.74509804,63,0.23809524,0.14993784
h4,bear,100,trend+macd+volatility+bb,472,128,64,1.70413528,2.37261146,1.96093750,7,5,0.71428571,0.00000000,1.74509804,64,0.23437500,0.14749896
