timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bear,1,pin_bear,869,78590,0.15880322,0.05302201,0.10578121,2.99504325,262,19314,0.16030534,0.05721238,0.10309296,2.80193430,146,13845,0.17123288,0.04189238,0.12934050,4.08744686,3.95986641
h4,bear,1,superbb_bear,336,79123,0.14880952,0.05377703,0.09503249,2.76715769,78,19498,,,,,81,13910,,,,,2.56951331
h4,bull,1,horizontal_support_near,4165,75294,0.06026411,0.04927351,0.01099059,1.22305271,799,18777,0.08135169,0.05086009,0.03049159,1.59951903,564,13427,0.07446809,0.03001415,0.04445393,2.48109920,2.34131006
h4,bear,3,pin_bear,869,78590,0.33601841,0.16337956,0.17263885,2.05667344,262,19314,0.39694656,0.16873770,0.22820886,2.35244736,146,13845,0.30821918,0.13261105,0.17560813,2.32423449,2.29255424
h4,bear,1,horizontal_break_down,2555,76904,0.09510763,0.05281910,0.04228853,1.80062958,496,19080,0.08669355,0.05786164,0.02883191,1.49829067,376,13615,0.09840426,0.04171869,0.05668556,2.35875693,2.27565940
h4,bull,1,superbb_bull,361,79098,0.08864266,0.04967256,0.03897010,1.78453985,80,19496,,,,,59,13932,,,,,2.13155589
d1,bear,1,superbb_bear,48,15269,,,,,12,3744,,,,,12,2714,,,,,1.96851531
h4,bear,1,channel_breakout_down,4118,75341,0.08256435,0.05262739,0.02993696,1.56884762,896,18680,0.06919643,0.05808351,0.01111292,1.19132653,640,13351,0.08437500,0.04127032,0.04310468,2.04444760,1.95122417
h4,bear,1,breakout_down20,4118,75341,0.08256435,0.05262739,0.02993696,1.56884762,896,18680,0.06919643,0.05808351,0.01111292,1.19132653,640,13351,0.08437500,0.04127032,0.04310468,2.04444760,1.95122417
h4,bear,6,pin_bear,869,78590,0.47986191,0.28674132,0.19312059,1.67350111,262,19314,0.51526718,0.27513721,0.24012997,1.87276444,146,13845,0.45890411,0.23365836,0.22524575,1.96399610,1.94443592
