timeframe,direction,horizon_bars,base_feature,toolkit_feature,period,samples,hit_rate
h4,bull,1,atr_expand,sma20_bull,disc,2279,0.05923651
h4,bull,1,atr_expand,sma20_bull,val,449,0.07126949
h4,bull,1,atr_expand,sma20_bull,oos,311,0.03858521
h4,bull,1,atr_expand,sma50_bull,disc,2441,0.06104056
h4,bull,1,atr_expand,sma50_bull,val,456,0.07017544
h4,bull,1,atr_expand,sma50_bull,oos,334,0.04491018
h4,bull,1,atr_expand,sma200_bull,disc,2570,0.07198444
h4,bull,1,atr_expand,sma200_bull,val,471,0.08917197
h4,bull,1,atr_expand,sma200_bull,oos,360,0.03611111
h4,bull,1,atr_expand,sma_stack_bull,disc,1790,0.07988827
h4,bull,1,atr_expand,sma_stack_bull,val,285,0.09122807
h4,bull,1,atr_expand,sma_stack_bull,oos,257,0.05836576
h4,bull,1,atr_expand,ichimoku_bull,disc,2227,0.06960036
h4,bull,1,atr_expand,ichimoku_bull,val,404,0.07425743
h4,bull,1,atr_expand,ichimoku_bull,oos,321,0.04361371
h4,bull,1,atr_expand,ichimoku_tk_bull,disc,2078,0.05919153
h4,bull,1,atr_expand,ichimoku_tk_bull,val,406,0.07881773
h4,bull,1,atr_expand,ichimoku_tk_bull,oos,297,0.05050505
h4,bull,1,atr_expand,ichimoku_cloud_bull,disc,2671,0.08124298
h4,bull,1,atr_expand,ichimoku_cloud_bull,val,482,0.09128631
h4,bull,1,atr_expand,ichimoku_cloud_bull,oos,425,0.07529412
h4,bull,1,atr_expand,span_model_bull,disc,1628,0.06633907
h4,bull,1,atr_expand,span_model_bull,val,317,0.08201893
h4,bull,1,atr_expand,span_model_bull,oos,242,0.04132231
h4,bull,1,atr_expand,bb_bull,disc,2279,0.05923651
h4,bull,1,atr_expand,bb_bull,val,449,0.07126949
h4,bull,1,atr_expand,bb_bull,oos,311,0.03858521
h4,bull,1,atr_expand,bb_upper,disc,1620,0.05802469
h4,bull,1,atr_expand,bb_upper,val,321,0.07165109
h4,bull,1,atr_expand,bb_upper,oos,224,0.03571429
h4,bull,1,atr_expand,superbb_bull,disc,227,0.06607930
h4,bull,1,atr_expand,superbb_bull,val,49,0.12244898
h4,bull,1,atr_expand,superbb_bull,oos,35,0.08571429
h4,bull,1,atr_expand,superbb_squeeze,disc,874,0.02860412
h4,bull,1,atr_expand,superbb_squeeze,val,130,0.05384615
h4,bull,1,atr_expand,superbb_squeeze,oos,89,0.03370787
h4,bull,1,atr_expand,superbb_expand,disc,2638,0.08908264
h4,bull,1,atr_expand,superbb_expand,val,511,0.06849315
h4,bull,1,atr_expand,superbb_expand,oos,470,0.07234043
h4,bull,1,atr_expand,stoch_bull,disc,2414,0.07249379
h4,bull,1,atr_expand,stoch_bull,val,477,0.09224319
h4,bull,1,atr_expand,stoch_bull,oos,347,0.06051873
h4,bull,1,atr_expand,stoch_cross_up,disc,1073,0.07642125
h4,bull,1,atr_expand,stoch_cross_up,val,193,0.08290155
h4,bull,1,atr_expand,stoch_cross_up,oos,159,0.05660377
h4,bull,1,atr_expand,stoch_recover_up,disc,518,0.07528958
h4,bull,1,atr_expand,stoch_recover_up,val,89,0.05617978
h4,bull,1,atr_expand,stoch_recover_up,oos,69,0.07246377
h4,bull,1,atr_expand,rci_bull,disc,2549,0.06826206
h4,bull,1,atr_expand,rci_bull,val,459,0.07407407
h4,bull,1,atr_expand,rci_bull,oos,350,0.05142857
h4,bull,1,atr_expand,rci_strong_bull,disc,674,0.07715134
h4,bull,1,atr_expand,rci_strong_bull,val,136,0.04411765
h4,bull,1,atr_expand,rci_strong_bull,oos,89,0.03370787
h4,bull,1,atr_expand,rci_cross_up,disc,212,0.04245283
h4,bull,1,atr_expand,rci_cross_up,val,36,0.08333333
h4,bull,1,atr_expand,rci_cross_up,oos,35,0.00000000
h4,bull,1,atr_expand,dmi_adx_bull,disc,1108,0.07129964
h4,bull,1,atr_expand,dmi_adx_bull,val,229,0.04803493
h4,bull,1,atr_expand,dmi_adx_bull,oos,122,0.03278689
h4,bull,1,atr_expand,dmi_adx_strong_bull,disc,1356,0.06489676
