timeframe,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,adx25+volatility+pin_bull+mtf_volatility,159,0.24528302,4.92046034,23,0.13043478,2.50332481,0.04537659,28,0.10714286,3.36861958,0.03711837
h4,1,volatility+pin_bull+mtf_volatility,246,0.22357724,4.48503499,41,0.17073171,3.27670971,0.08525252,36,0.08333333,2.62003745,0.02874861
h4,1,adx25+volatility+pin_bull,268,0.22014925,4.41626851,71,0.11267606,2.16249655,0.05821272,57,0.08771930,2.75793416,0.03805167
h4,1,adx25+volatility+pin_bull+mtf_adx25,163,0.21472393,4.30743460,12,0.08333333,1.59934641,0.01486509,28,0.14285714,4.49149278,0.05699005
h4,1,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,0.21078431,4.22840464,37,0.13513514,2.59353471,0.05913294,15,0.20000000,6.28808989,0.07047549
h4,1,adx25+pin_bull+mtf_volatility,254,0.20472441,4.10684091,43,0.13953488,2.67797538,0.06555723,48,0.08333333,2.62003745,0.03288376
h4,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,0.19496855,3.91113514,70,0.25714286,4.93512605,0.16929276,53,0.15094340,4.74572822,0.07852418
h4,1,ichimoku_cloud_bull+volatility+pin_bull,243,0.19341564,3.87998313,66,0.13636364,2.61711230,0.07343320,59,0.10169492,3.19733384,0.04744797
h4,1,volatility+pin_bull,479,0.18997912,3.81104548,119,0.14285714,2.74173669,0.09114540,82,0.08536585,2.68394081,0.04196652
h4,1,volatility+pin_bull+mtf_adx25,250,0.18000000,3.61086089,28,0.14285714,2.74173669,0.05699005,35,0.11428571,3.59319422,0.04535179
h4,1,adx25+atr_expand+impulse_bull+mtf_volatility,224,0.17857143,3.58220327,38,0.10526316,2.02022704,0.04170257,24,0.25000000,7.86011236,0.11999366
h4,1,adx25+atr_expand+mtf_volatility,697,0.17647059,3.54005970,112,0.18750000,3.59852941,0.12603456,83,0.14457831,4.54560715,0.08468299
h4,1,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,0.17446809,3.49988881,52,0.13461538,2.58355958,0.06676882,36,0.08333333,2.62003745,0.02874861
h4,1,adx25+pin_bull+mtf_adx25,310,0.17419355,3.49438151,30,0.10000000,1.91921569,0.03459989,67,0.05970149,1.87704176,0.02345935
h4,1,pin_bull+mtf_volatility,488,0.17213115,3.45300905,111,0.16216216,3.11224165,0.10510774,86,0.06976744,2.19351973,0.03236541
h4,1,price200_bull+adx25+atr_expand+mtf_volatility,292,0.17123288,3.43498943,50,0.08000000,1.53537255,0.03154951,36,0.11111111,3.49338327,0.04406640
h4,1,pin_bull+mtf_volatility+cross_group_bull,211,0.17061611,3.42261696,45,0.17777778,3.41193900,0.09294390,47,0.06382979,2.00683720,0.02194539
h4,1,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,0.16847826,3.37973091,37,0.16216216,3.11224165,0.07651207,52,0.09615385,3.02312014,0.04177435
