timeframe,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,adx25+volatility+pin_bull+mtf_volatility,159,28,4.92046034,2.50332481,4,3,0.09920635,0.00000000
h4,1,volatility+pin_bull+mtf_volatility,246,36,4.48503499,3.27670971,4,3,0.08849206,0.00000000
h4,1,adx25+volatility+pin_bull,268,57,4.41626851,2.16249655,4,4,0.08835227,0.06250000
h4,1,adx25+volatility+pin_bull+mtf_adx25,163,28,4.30743460,1.59934641,3,3,0.17037037,0.11111111
h4,1,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,15,4.22840464,2.59353471,1,1,0.20000000,0.20000000
h4,1,adx25+pin_bull+mtf_volatility,254,48,4.10684091,2.67797538,4,3,0.07904595,0.00000000
h4,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,3.91113514,4.93512605,5,4,0.20038462,0.00000000
h4,1,ichimoku_cloud_bull+volatility+pin_bull,243,59,3.87998313,2.61711230,4,4,0.10227733,0.06666667
h4,1,volatility+pin_bull,479,82,3.81104548,2.74173669,4,4,0.08596990,0.07692308
h4,1,volatility+pin_bull+mtf_adx25,250,35,3.61086089,2.74173669,3,3,0.14603175,0.07142857
h4,1,adx25+atr_expand+impulse_bull+mtf_volatility,224,24,3.58220327,2.02022704,1,1,0.28571429,0.28571429
h4,1,adx25+atr_expand+mtf_volatility,697,83,3.54005970,3.59852941,8,5,0.16878838,0.00000000
h4,1,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,3.49988881,2.58355958,4,3,0.09474206,0.00000000
h4,1,adx25+pin_bull+mtf_adx25,310,67,3.49438151,1.91921569,4,3,0.05626294,0.00000000
h4,1,pin_bull+mtf_volatility,488,86,3.45300905,3.11224165,4,3,0.06805492,0.00000000
h4,1,price200_bull+adx25+atr_expand+mtf_volatility,292,36,3.43498943,1.53537255,2,1,0.10000000,0.00000000
h4,1,pin_bull+mtf_volatility+cross_group_bull,211,47,3.42261696,3.41193900,4,3,0.06439394,0.00000000
h4,1,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,3.37973091,3.11224165,4,4,0.09605161,0.07692308
h4,1,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,26,3.34338972,2.82237601,2,0,0.00000000,0.00000000
h4,1,volatility+pin_bull+mtf_trend_bull,299,69,3.28748019,2.64719405,4,4,0.08680323,0.07692308
h4,1,volatility+pin_bull+cross_group_bull,202,40,3.27718398,3.36704506,4,4,0.10486111,0.08333333
h4,1,sma_stack_bull+volatility+pin_bull,157,19,3.19432139,1.59934641,2,0,0.00000000,0.00000000
h4,1,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,27,3.16742184,2.99877451,1,0,0.00000000,0.00000000
h4,1,adx25+pin_bull,588,130,3.13869239,2.44732202,4,4,0.05631808,0.03333333
h4,1,pin_bull+mtf_volatility+cross_group_return_up,250,53,3.12941277,3.13341337,4,3,0.07911706,0.00000000
h4,1,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,3.10143388,2.69363605,4,2,0.11904762,0.00000000
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,3.03196677,3.83843137,8,5,0.17256181,0.00000000
h4,1,sma_stack_bull+adx25+atr_expand+mtf_adx25,482,35,2.99656506,1.04684492,3,1,0.05555556,0.00000000
h4,1,rsi_up1+atr_expand+mtf_volatility,378,58,2.97190197,2.82237601,6,3,0.09280303,0.00000000
h4,1,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,50,2.96750567,2.64719405,6,3,0.08492063,0.00000000
h4,1,pin_bull+mtf_adx25,585,117,2.91475001,1.47631976,4,3,0.04531695,0.00000000
h4,1,sma_stack_bull+atr_expand+mtf_volatility,359,49,2.90567574,2.47640734,5,3,0.20444444,0.00000000
h4,1,volatility+pin_bull+cross_group_return_up,235,43,2.90234682,3.14625522,4,4,0.10288600,0.06666667
h4,1,atr_expand+impulse_bull+mtf_volatility,362,62,2.88159556,2.74173669,6,3,0.09294872,0.00000000
h4,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_trend_bull,849,143,2.83538351,1.93534355,10,6,0.09055823,0.00000000
h4,1,ichimoku_cloud_bull+adx25+pin_bull,306,71,2.81893643,2.30305882,4,4,0.07536765,0.05882353
h4,1,atr_expand+mtf_volatility,1172,172,2.80707806,3.09873366,11,7,0.15344382,0.00000000
h4,1,pin_bull+mtf_adx25+cross_group_bull,237,62,2.79321166,2.55895425,4,3,0.07501290,0.00000000
h4,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_adx25,634,79,2.78440027,2.55895425,7,4,0.13826531,0.00000000
h4,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,60,2.76386883,2.13246187,4,3,0.06473214,0.00000000
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,36,2.73550068,4.56956116,3,1,0.04761905,0.00000000
h4,1,rsi_cross55_up+volatility+breakout20_up+elliott_impulse_bull,171,26,2.69817416,1.79926471,1,1,0.20000000,0.20000000
h4,1,rsi_cross55_up+volatility+retest_up+elliott_impulse_bull,171,26,2.69817416,0.63973856,1,1,0.20000000,0.20000000
h4,1,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,2.69102099,3.33776641,1,0,0.00000000,0.00000000
h4,1,sma_stack_bull+adx25+atr_expand+mtf_trend_bull,695,66,2.68433304,1.83754693,7,3,0.06009070,0.00000000
h4,1,price200_bull+rsi_up1+atr_expand+mtf_volatility,187,31,2.68186341,2.59353471,4,0,0.00000000,0.00000000
h4,1,adx25+pin_bull+mtf_trend_bull,340,94,2.65504477,2.04716340,4,4,0.06430904,0.04166667
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,30,2.64209334,4.66836248,2,1,0.07142857,0.00000000
h4,1,pin_bull+mtf_adx25+cross_group_return_up,281,69,2.64139686,2.32632204,4,3,0.06647957,0.00000000
h4,1,adx25+breakout20_up+impulse_bull+mtf_volatility,487,88,2.63626622,2.80860832,9,4,0.11940837,0.00000000
h4,1,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_impulse_bull,160,22,2.63291940,3.73180828,1,0,0.00000000,0.00000000
h4,1,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_impulse_bull,160,22,2.63291940,3.44474610,1,0,0.00000000,0.00000000
h4,1,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_impulse_bull,160,22,2.63291940,3.03034056,1,0,0.00000000,0.00000000
h4,1,price200_bull+adx25+atr_expand+mtf_adx25,603,60,2.62813719,0.76768627,5,2,0.05636364,0.00000000
h4,1,adx25+atr_expand+impulse_bull+mtf_adx25,352,34,2.62152148,1.56670668,2,1,0.16666667,0.00000000
h4,1,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,57,2.61392287,1.74474153,4,3,0.07916667,0.00000000
h4,1,rsi_up1+superbb_bull+elliott_wave5_bull+cross_group_return_up,186,36,2.58843075,2.87882353,2,2,0.26666667,0.20000000
h4,1,adx25+atr_expand+mtf_adx25,1102,131,2.58490748,1.35329311,10,5,0.09490842,0.00000000
h4,1,adx25+horizontal_break_up+impulse_bull+mtf_volatility,365,51,2.58311205,1.50526720,4,2,0.10714286,0.00000000
h4,1,pin_bull+mtf_adx25+cross_target_relative_up,281,61,2.57000775,1.16316102,4,2,0.04554656,0.00000000
h4,1,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,28,2.55942247,3.55410312,2,1,0.11111111,0.00000000
h4,1,price200_bull+superbb_bull+elliott_wave5_bull+cross_group_return_up,157,29,2.55545711,3.19869281,1,1,0.20000000,0.20000000
h4,1,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_impulse_bull,165,22,2.55313397,3.03034056,1,0,0.00000000,0.00000000
h4,1,rsi_up1+superbb_bull+breakout20_up+mtf_trend_bull,150,21,2.54097618,4.04045408,1,0,0.00000000,0.00000000
h4,1,rsi_up1+superbb_bull+retest_up+mtf_trend_bull,150,21,2.54097618,1.74474153,1,0,0.00000000,0.00000000
h4,1,volatility+breakout20_up+impulse_bull+mtf_volatility,396,56,2.53287100,1.69342561,6,2,0.11428571,0.00000000
h4,1,rsi_up1+volatility+breakout20_up+mtf_volatility,317,40,2.53127297,1.74474153,4,0,0.00000000,0.00000000
h4,1,ichimoku_cloud_bull+superbb_bull+elliott_impulse_bull,167,22,2.52255751,3.44474610,1,0,0.00000000,0.00000000
h4,1,adx25+atr_expand+elliott_wave3_bull+mtf_trend_bull,175,13,2.52187110,2.95263952,1,0,0.00000000,0.00000000
h4,1,adx25+atr_expand+mtf_volatility+cross_group_bull,232,28,2.50754229,3.52509004,2,1,0.11111111,0.00000000
h4,1,superbb_bull+impulse_bull+elliott_wave5_bull+cross_group_return_up,192,36,2.50754229,2.74173669,2,2,0.26666667,0.20000000
h4,1,rsi_cross55_up+breakout20_up+mtf_adx25,184,46,2.50754229,0.53311547,3,1,0.06666667,0.00000000
h4,1,rsi_cross55_up+retest_up+mtf_adx25,184,46,2.50754229,0.53311547,3,1,0.06666667,0.00000000
h4,1,price200_bull+rsi_up1+superbb_bull+cross_group_return_up,184,34,2.50754229,4.69141612,2,1,0.08333333,0.00000000
h4,1,rsi_cross55_up+breakout20_up+retest_up+mtf_adx25,184,46,2.50754229,0.53311547,3,1,0.06666667,0.00000000
h4,1,rsi_up1+superbb_bull+impulse_bull+mtf_trend_bull,160,21,2.50754229,2.13246187,1,0,0.00000000,0.00000000
h4,1,superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,2.49454984,2.74173669,2,2,0.26666667,0.20000000
h4,1,price200_bull+atr_expand+mtf_volatility,539,90,2.49358565,2.24589070,8,3,0.09404138,0.00000000
h4,1,rsi_up1+superbb_bull+mtf_trend_bull,161,21,2.49196749,3.83843137,1,0,0.00000000,0.00000000
h4,1,price200_bull+atr_expand+impulse_bull+mtf_volatility,202,37,2.48271514,2.13246187,4,1,0.07142857,0.00000000
h4,1,triangle_breakout_up+impulse_bull,186,22,2.48057947,3.07074510,1,0,0.00000000,0.00000000
h4,1,superbb_bull+breakout20_up+elliott_wave5_bull+cross_group_return_up,186,36,2.48057947,2.87882353,2,2,0.26666667,0.20000000
h4,1,superbb_bull+retest_up+elliott_wave5_bull+cross_group_return_up,186,36,2.48057947,2.87882353,2,2,0.26666667,0.20000000
h4,1,rsi_up1+volatility+retest_up+mtf_volatility,316,38,2.47580125,1.44846467,4,0,0.00000000,0.00000000
h4,1,superbb_bull+breakout20_up+mtf_trend_bull,154,22,2.47497680,3.83843137,1,0,0.00000000,0.00000000
h4,1,superbb_bull+retest_up+mtf_trend_bull,154,22,2.47497680,1.64504202,1,0,0.00000000,0.00000000
h4,1,superbb_bull+breakout20_up+retest_up+mtf_trend_bull,154,22,2.47497680,1.64504202,1,0,0.00000000,0.00000000
h4,1,superbb_bull+breakout20_up+impulse_bull+mtf_trend_bull,154,22,2.47497680,2.13246187,1,0,0.00000000,0.00000000
h4,1,adx25+volatility+breakout20_up+mtf_volatility,300,49,2.47410839,2.25790081,4,2,0.17142857,0.00000000
h4,1,sma_stack_bull+rsi_up1+horizontal_break_up+mtf_volatility,268,34,2.47011628,1.15152941,3,0,0.00000000,0.00000000
h4,1,adx25+atr_expand+mtf_adx25+cross_target_relative_up,473,57,2.45983007,0.73815988,4,1,0.13888889,0.00000000
h4,1,volatility+elliott_wave3_bull+mtf_volatility+cross_group_bull,367,52,2.45971451,2.39901961,4,1,0.05555556,0.00000000
h4,1,adx25+volatility+breakout20_up+mtf_adx25,359,71,2.45864871,1.25850209,6,2,0.08888889,0.00000000
h4,1,price200_bull+volatility+pin_bull,253,28,2.45798612,2.50332481,2,1,0.03125000,0.00000000
h4,1,ichimoku_cloud_bull+pin_bull,793,172,2.45378665,2.16015618,4,3,0.06456096,0.02857143
h4,1,price200_bull+superbb_bull+breakout20_up+cross_group_return_up,180,34,2.45181913,4.58942882,2,1,0.08333333,0.00000000
h4,1,price200_bull+superbb_bull+retest_up+cross_group_return_up,180,34,2.45181913,3.19869281,2,1,0.08333333,0.00000000
h4,1,sma_stack_bull+horizontal_break_up+impulse_bull+mtf_volatility,377,61,2.44768054,1.21854964,6,1,0.03333333,0.00000000
h4,1,adx25+volatility+impulse_bull+mtf_volatility,1082,188,2.44728711,2.54481638,11,7,0.10495452,0.00000000
h4,1,superbb_bull+impulse_bull+mtf_trend_bull,164,22,2.44638272,2.02022704,1,0,0.00000000,0.00000000
h4,1,adx25+atr_expand+mtf_trend_bull,1242,185,2.43889781,1.78531692,10,6,0.08423199,0.00000000
h4,1,adx25+impulse_bull+elliott_wave5_bull+mtf_volatility,502,87,2.43761083,3.03034056,9,4,0.12213404,0.00000000
h4,1,rsi_cross55_up+breakout20_up+impulse_bull+mtf_adx25,173,44,2.43506997,0.54834734,3,1,0.06666667,0.00000000
