timeframe,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,10,sma_stack_bull+adx_up3+volatility,297,0.80471380,1.12420662,38,0.86842105,1.18309375,0.72673141,82,0.89024390,1.30333237,0.80438763
d1,10,price200_bull+volatility+nr4+mtf_volatility,211,0.82938389,1.15867138,36,0.80555556,1.09744892,0.64971957,32,0.93750000,1.37251611,0.79852877
d1,10,ema200_rising+volatility+nr4+mtf_volatility,211,0.82938389,1.15867138,36,0.80555556,1.09744892,0.64971957,32,0.93750000,1.37251611,0.79852877
d1,10,adx_up3+volatility,853,0.80539273,1.12515510,142,0.81690141,1.11290594,0.74523413,189,0.85185185,1.24712575,0.79421606
d1,10,sma_stack_bull+volatility+nr4+mtf_volatility,155,0.87096774,1.21676513,24,0.70833333,0.96499819,0.50832306,31,0.93548387,1.36956446,0.79281363
d1,10,sma_stack_bull+volatility+mtf_volatility,784,0.80739796,1.12795645,111,0.78378378,1.06778814,0.69840449,148,0.85810811,1.25628502,0.79281245
d1,10,volatility+nr4+cross_target_relative_up,257,0.80155642,1.11979567,102,0.80392157,1.09522286,0.71645247,51,0.90196078,1.32048609,0.79021765
d1,10,sma_stack_bull+bb_expand+mtf_volatility,477,0.79454927,1.11000649,136,0.70588235,0.96165909,0.62449616,145,0.85517241,1.25198711,0.78872969
d1,10,volatility+nr4+mtf_volatility,364,0.81318681,1.13604364,72,0.86111111,1.17313505,0.76286813,53,0.88679245,1.29827939,0.77423481
d1,10,sma_stack_bull+atr_expand,251,0.80079681,1.11873447,49,0.85714286,1.16772890,0.73332294,84,0.85714286,1.25487187,0.76669897
d1,10,sma_stack_bull+atr_expand+mtf_volatility,238,0.80252101,1.12114322,48,0.85416667,1.16367428,0.72832823,83,0.85542169,1.25235205,0.76408199
d1,10,volatility+nr7+mtf_di_bull,168,0.79166667,1.10597942,40,0.80000000,1.08988030,0.65242694,20,0.95000000,1.39081633,0.76386881
d1,10,sma_stack_bull+nr4+mtf_volatility,319,0.80877743,1.12988361,93,0.72043011,0.98147823,0.62187578,66,0.86363636,1.26437848,0.76070407
d1,5,price200_bull+volatility+nr4+mtf_volatility,211,0.79146919,1.29976773,36,0.77777778,1.29205366,0.61915297,32,0.90625000,1.60209955,0.75781845
d1,10,adx_up3+volatility+nr4,209,0.85645933,1.19649649,35,0.88571429,1.20665319,0.74048531,59,0.86440678,1.26550638,0.75460339
d1,10,price200_bull+volatility+nr7,212,0.80188679,1.12025721,35,0.80000000,1.08988030,0.64108387,53,0.86792453,1.27065643,0.75159745
