pair,timeframe,direction,threshold_pips,horizon_bars,condition,samples,base_rate,hit_rate,rate_diff,lift
audjpy,h4,bull,50,1,ema_stack_bull,4625,0.04910391,0.03610811,-0.01299580,0.73534086
audnzd,h4,bull,50,1,ema_stack_bull,4264,0.00698426,0.00727017,0.00028591,1.04093627
audusd,h4,bull,50,1,ema_stack_bull,3285,0.01710764,0.01339422,-0.00371342,0.78293769
eurgbp,h4,bull,50,1,ema_stack_bull,2898,0.00651466,0.00724638,0.00073172,1.11231884
eurjpy,h4,bull,50,1,ema_stack_bull,4889,0.09729334,0.07363469,-0.02365865,0.75683174
eurusd,h4,bull,50,1,ema_stack_bull,2996,0.03215365,0.03504673,0.00289308,1.08997679
gbpjpy,h4,bull,50,1,ema_stack_bull,4786,0.15231719,0.12536565,-0.02695154,0.82305649
gbpusd,h4,bull,50,1,ema_stack_bull,3312,0.05612245,0.04559179,-0.01053066,0.81236276
nzdusd,h4,bull,50,1,ema_stack_bull,2831,0.01284265,0.01271635,-0.00012630,0.99016590
usdcad,h4,bull,50,1,ema_stack_bull,3686,0.03824786,0.04422138,0.00597351,1.15617905
usdchf,h4,bull,50,1,ema_stack_bull,3455,0.01700535,0.01389291,-0.00311244,0.81697294
usdjpy,h4,bull,50,1,ema_stack_bull,5055,0.08890807,0.06172107,-0.02718700,0.69421221
audjpy,h4,bull,50,1,ema_stack_bear,2277,0.04910391,0.07773386,0.02862995,1.58304843
audnzd,h4,bull,50,1,ema_stack_bear,2814,0.00698426,0.00781805,0.00083379,1.11938177
audusd,h4,bull,50,1,ema_stack_bear,3410,0.01710764,0.02228739,0.00517975,1.30277408
eurgbp,h4,bull,50,1,ema_stack_bear,3940,0.00651466,0.00507614,-0.00143852,0.77918782
eurjpy,h4,bull,50,1,ema_stack_bear,2070,0.09729334,0.13333333,0.03603999,1.37042607
eurusd,h4,bull,50,1,ema_stack_bear,3627,0.03215365,0.03418803,0.00203439,1.06327081
gbpjpy,h4,bull,50,1,ema_stack_bear,2116,0.15231719,0.20463138,0.05231419,1.34345561
gbpusd,h4,bull,50,1,ema_stack_bear,3324,0.05612245,0.06618532,0.01006287,1.17930205
nzdusd,h4,bull,50,1,ema_stack_bear,3761,0.01284265,0.01409200,0.00124935,1.09728103
usdcad,h4,bull,50,1,ema_stack_bear,2851,0.03824786,0.03297089,-0.00527698,0.86203214
usdchf,h4,bull,50,1,ema_stack_bear,3479,0.01700535,0.02414487,0.00713952,1.41983979
usdjpy,h4,bull,50,1,ema_stack_bear,2045,0.08890807,0.15207824,0.06317017,1.71051107
audjpy,h4,bull,50,1,price_above_ema20,5428,0.04910391,0.04034635,-0.00875755,0.82165261
audnzd,h4,bull,50,1,price_above_ema20,5082,0.00698426,0.00531287,-0.00167139,0.76069182
audusd,h4,bull,50,1,price_above_ema20,4742,0.01710764,0.01476170,-0.00234594,0.86287202
eurgbp,h4,bull,50,1,price_above_ema20,4414,0.00651466,0.00883552,0.00232087,1.35625283
eurjpy,h4,bull,50,1,price_above_ema20,5503,0.09729334,0.08577140,-0.01152195,0.88157519
eurusd,h4,bull,50,1,price_above_ema20,4541,0.03215365,0.03633561,0.00418196,1.13006182
gbpjpy,h4,bull,50,1,price_above_ema20,5592,0.15231719,0.13537196,-0.01694523,0.88875039
gbpusd,h4,bull,50,1,price_above_ema20,4608,0.05612245,0.05230035,-0.00382210,0.93189710
nzdusd,h4,bull,50,1,price_above_ema20,4454,0.01284265,0.01167490,-0.00116775,0.90907239
usdcad,h4,bull,50,1,price_above_ema20,4790,0.03824786,0.03903967,0.00079180,1.02070188
usdchf,h4,bull,50,1,price_above_ema20,4855,0.01700535,0.01483007,-0.00217528,0.87208286
usdjpy,h4,bull,50,1,price_above_ema20,5470,0.08890807,0.07330896,-0.01559911,0.82454784
audjpy,h4,bull,50,1,price_above_200,6104,0.04910391,0.03686107,-0.01224283,0.75067501
audnzd,h4,bull,50,1,price_above_200,5708,0.00698426,0.00683252,-0.00015174,0.97827349
audusd,h4,bull,50,1,price_above_200,4592,0.01710764,0.01306620,-0.00404144,0.76376415
eurgbp,h4,bull,50,1,price_above_200,4092,0.00651466,0.00806452,0.00154986,1.23790323
eurjpy,h4,bull,50,1,price_above_200,6381,0.09729334,0.08211879,-0.01517455,0.84403298
eurusd,h4,bull,50,1,price_above_200,4216,0.03215365,0.03225806,0.00010442,1.00324746
gbpjpy,h4,bull,50,1,price_above_200,6345,0.15231719,0.12986604,-0.02245115,0.85260264
gbpusd,h4,bull,50,1,price_above_200,4688,0.05612245,0.04586177,-0.01026067,0.81717344
nzdusd,h4,bull,50,1,price_above_200,4108,0.01284265,0.01192795,-0.00091471,0.92877599
usdcad,h4,bull,50,1,price_above_200,5102,0.03824786,0.04272834,0.00448048,1.11714324
usdchf,h4,bull,50,1,price_above_200,4582,0.01700535,0.01331296,-0.00369238,0.78286925
usdjpy,h4,bull,50,1,price_above_200,6256,0.08890807,0.06313939,-0.02576868,0.71016484
audjpy,h4,bull,50,1,rsi_lt30,468,0.04910391,0.13034188,0.08123797,2.65440964
audnzd,h4,bull,50,1,rsi_lt30,474,0.00698426,0.01054852,0.00356426,1.51032811
audusd,h4,bull,50,1,rsi_lt30,542,0.01710764,0.02767528,0.01056764,1.61771447
eurgbp,h4,bull,50,1,rsi_lt30,538,0.00651466,0.00185874,-0.00465592,0.28531599
eurjpy,h4,bull,50,1,rsi_lt30,419,0.09729334,0.17661098,0.07931764,1.81524216
eurusd,h4,bull,50,1,rsi_lt30,601,0.03215365,0.04326123,0.01110758,1.34545333
gbpjpy,h4,bull,50,1,rsi_lt30,423,0.15231719,0.26713948,0.11482229,1.75383674
gbpusd,h4,bull,50,1,rsi_lt30,523,0.05612245,0.04588910,-0.01023335,0.81766035
