timeframe,direction,horizon_bars,condition,samples,base_rate,hit_rate,lift
d1,bear,1,rsi_lt30,806,0.0,0.0012,27.031
d1,bear,1,rsi_gt70,1150,0.0,0.0009,18.945
d1,bear,1,rsi_30_45,5933,0.0,0.0002,3.672
d1,bear,1,atr_high,6209,0.0,0.0002,3.509
d1,bear,1,ema_stack_bear,6396,0.0,0.0002,3.406
d1,bear,1,rsi_45_55,6563,0.0,0.0002,3.32
d1,bear,1,rsi_55_70,7167,0.0,0.0001,3.04
d1,bear,1,body_ratio_gt60,7355,0.0,0.0001,2.962
d1,bear,1,adx_gt25,7901,0.0,0.0001,2.757
d1,bear,1,atr_low,8123,0.0,0.0001,2.682
d1,bear,1,mdi_gt_pdi,9737,0.0,0.0001,2.238
d1,bear,1,ema_stack_bull,9834,0.0,0.0001,2.215
d1,bear,1,bb_below_mid,10126,0.0,0.0001,2.152
d1,bear,1,macd_hist_pos,11016,0.0,0.0001,1.978
d1,bear,1,bb_above_mid,11433,0.0,0.0001,1.906
d1,bear,1,price_above_ema20,11722,0.0,0.0001,1.859
d1,bear,1,pdi_gt_mdi,11894,0.0,0.0001,1.832
d1,bear,1,price_above_200,12912,0.0,0.0001,1.687
d1,bear,3,rsi_lt30,802,0.0,0.0012,27.136
d1,bear,3,rsi_gt70,1146,0.0,0.0009,18.99
d1,bear,3,rsi_30_45,5923,0.0,0.0002,3.674
d1,bear,3,atr_high,6202,0.0,0.0002,3.509
d1,bear,3,ema_stack_bear,6392,0.0,0.0002,3.405
d1,bear,3,rsi_45_55,6560,0.0,0.0002,3.318
d1,bear,3,rsi_55_70,7164,0.0,0.0001,3.038
d1,bear,3,body_ratio_gt60,7349,0.0,0.0001,2.961
d1,bear,3,adx_gt25,7889,0.0,0.0001,2.759
d1,bear,3,atr_low,8117,0.0,0.0001,2.681
d1,bear,3,mdi_gt_pdi,9721,0.0,0.0001,2.239
d1,bear,3,ema_stack_bull,9828,0.0,0.0001,2.214
d1,bear,3,bb_below_mid,10109,0.0,0.0001,2.153
d1,bear,3,macd_hist_pos,11008,0.0,0.0001,1.977
d1,bear,3,bb_above_mid,11426,0.0,0.0001,1.905
d1,bear,3,price_above_ema20,11714,0.0,0.0001,1.858
d1,bear,3,pdi_gt_mdi,11886,0.0,0.0001,1.831
d1,bear,3,price_above_200,12903,0.0,0.0001,1.687
d1,bear,5,rsi_lt30,799,0.0,0.0013,27.208
d1,bear,5,rsi_gt70,1144,0.0,0.0009,19.003
d1,bear,5,rsi_30_45,5910,0.0,0.0002,3.678
d1,bear,5,atr_high,6193,0.0,0.0002,3.51
d1,bear,5,ema_stack_bear,6388,0.0,0.0002,3.403
d1,bear,5,rsi_45_55,6557,0.0,0.0002,3.315
d1,bear,5,rsi_55_70,7161,0.0,0.0001,3.036
d1,bear,5,body_ratio_gt60,7333,0.0,0.0001,2.965
d1,bear,5,adx_gt25,7877,0.0,0.0001,2.76
d1,bear,5,atr_low,8106,0.0,0.0001,2.682
d1,bear,5,mdi_gt_pdi,9703,0.0,0.0001,2.24
d1,bear,5,ema_stack_bull,9820,0.0,0.0001,2.214
d1,bear,5,bb_below_mid,10091,0.0,0.0001,2.154
d1,bear,5,macd_hist_pos,11002,0.0,0.0001,1.976
d1,bear,5,bb_above_mid,11420,0.0,0.0001,1.904
d1,bear,5,price_above_ema20,11708,0.0,0.0001,1.857
d1,bear,5,pdi_gt_mdi,11880,0.0,0.0001,1.83
d1,bear,5,price_above_200,12894,0.0,0.0001,1.686
d1,bear,10,rsi_lt30,782,0.0,0.0013,27.723
d1,bear,10,rsi_gt70,1140,0.0,0.0009,19.017
d1,bear,10,rsi_30_45,5899,0.0,0.0002,3.675
d1,bear,10,atr_high,6166,0.0,0.0002,3.516
d1,bear,10,ema_stack_bear,6387,0.0,0.0002,3.394
d1,bear,10,rsi_45_55,6540,0.0,0.0002,3.315
d1,bear,10,rsi_55_70,7150,0.0,0.0001,3.032
d1,bear,10,body_ratio_gt60,7320,0.0,0.0001,2.962
d1,bear,10,adx_gt25,7845,0.0,0.0001,2.763
d1,bear,10,atr_low,8083,0.0,0.0001,2.682
d1,bear,10,mdi_gt_pdi,9667,0.0,0.0001,2.243
d1,bear,10,ema_stack_bull,9795,0.0,0.0001,2.213
d1,bear,10,bb_below_mid,10050,0.0,0.0001,2.157
d1,bear,10,macd_hist_pos,10982,0.0,0.0001,1.974
d1,bear,10,bb_above_mid,11401,0.0,0.0001,1.901
d1,bear,10,price_above_ema20,11688,0.0,0.0001,1.855
d1,bear,10,pdi_gt_mdi,11856,0.0,0.0001,1.829
d1,bear,10,price_above_200,12868,0.0,0.0001,1.685
d1,bear,20,rsi_lt30,772,0.0,0.0013,27.926
d1,bear,20,rsi_gt70,1134,0.0,0.0009,19.011
d1,bear,20,rsi_30_45,5880,0.0,0.0002,3.666
d1,bear,20,atr_high,6136,0.0,0.0002,3.514
d1,bear,20,ema_stack_bear,6381,0.0,0.0002,3.379
d1,bear,20,rsi_45_55,6500,0.0,0.0002,3.317
d1,bear,20,rsi_55_70,7105,0.0,0.0001,3.034
d1,bear,20,body_ratio_gt60,7265,0.0,0.0001,2.968
d1,bear,20,adx_gt25,7814,0.0,0.0001,2.759
d1,bear,20,atr_low,8017,0.0,0.0001,2.689
d1,bear,20,mdi_gt_pdi,9610,0.0,0.0001,2.243
d1,bear,20,ema_stack_bull,9729,0.0,0.0001,2.216
d1,bear,20,bb_below_mid,9999,0.0,0.0001,2.156
d1,bear,20,macd_hist_pos,10914,0.0,0.0001,1.975
d1,bear,20,bb_above_mid,11332,0.0,0.0001,1.902
d1,bear,20,price_above_ema20,11615,0.0,0.0001,1.856
d1,bear,20,pdi_gt_mdi,11793,0.0,0.0001,1.828
d1,bear,20,price_above_200,12780,0.0,0.0001,1.687
d1,bull,1,rsi_lt30,806,0.0,0.0012,27.031
