timeframe,direction,target_pips,conditions,samples,base_rate,hit_rate,rate_diff,lift
h4,bull,100,trend,3073,0.12519948,0.12886430,0.00366482,1.02927188
h4,bull,100,price20,3645,0.12519948,0.13415638,0.00895690,1.07154104
h4,bull,100,price200,3970,0.12519948,0.12619647,0.00099700,1.00796326
h4,bull,100,momentum,3561,0.12519948,0.11738276,-0.00781672,0.93756587
h4,bull,100,rsi_extreme,569,0.12519948,0.16168717,0.03648769,1.29143646
h4,bull,100,macd,3956,0.12519948,0.13549039,0.01029092,1.08219616
h4,bull,100,adx,3117,0.12519948,0.13249920,0.00729972,1.05830472
h4,bull,100,di,3744,0.12519948,0.13541667,0.01021719,1.08160728
h4,bull,100,volatility,2909,0.12519948,0.14953592,0.02433645,1.19438136
h4,bull,100,bb,3727,0.12519948,0.13388785,0.00868837,1.06939620
h4,bull,100,body,2993,0.12519948,0.14968259,0.02448311,1.19555285
h4,bull,100,trend+price20,1995,0.12519948,0.13634085,0.01114137,1.08898898
h4,bull,100,trend+price200,2940,0.12519948,0.12619048,0.00099100,1.00791536
h4,bull,100,trend+momentum,1755,0.12519948,0.10997151,-0.01522797,0.87837036
h4,bull,100,trend+macd,1769,0.12519948,0.14358395,0.01838447,1.14684141
h4,bull,100,trend+adx,1361,0.12519948,0.14180749,0.01660802,1.13265244
h4,bull,100,trend+di,2110,0.12519948,0.13412322,0.00892375,1.07127622
h4,bull,100,trend+volatility,1215,0.12519948,0.14732510,0.02212563,1.17672298
h4,bull,100,trend+bb,1974,0.12519948,0.13576494,0.01056547,1.08438906
h4,bull,100,trend+body,1297,0.12519948,0.15034695,0.02514748,1.20085928
h4,bull,100,price20+price200,2792,0.12519948,0.13753582,0.01233634,1.09853347
h4,bull,100,price20+momentum,2808,0.12519948,0.12286325,-0.00233623,0.98133994
h4,bull,100,price20+macd,3221,0.12519948,0.14032909,0.01512961,1.12084406
h4,bull,100,price20+adx,1649,0.12519948,0.13887204,0.01367257,1.10920625
h4,bull,100,price20+di,3344,0.12519948,0.13875598,0.01355650,1.10827923
h4,bull,100,price20+volatility,1353,0.12519948,0.14412417,0.01892469,1.15115631
h4,bull,100,price20+bb,3535,0.12519948,0.13606789,0.01086841,1.08680879
h4,bull,100,price20+body,1141,0.12519948,0.14285714,0.01765767,1.14103625
h4,bull,100,price200+momentum,2451,0.12519948,0.11750306,-0.00769642,0.93852676
h4,bull,100,price200+macd,2602,0.12519948,0.14181399,0.01661451,1.13270432
h4,bull,100,price200+adx,1765,0.12519948,0.13484419,0.00964471,1.07703479
h4,bull,100,price200+di,2875,0.12519948,0.13739130,0.01219183,1.09737921
h4,bull,100,price200+volatility,1550,0.12519948,0.14645161,0.02125214,1.16974620
h4,bull,100,price200+bb,2780,0.12519948,0.13741007,0.01221059,1.09752911
h4,bull,100,price200+body,1541,0.12519948,0.14341337,0.01821389,1.14547896
h4,bull,100,momentum+macd,2698,0.12519948,0.12861379,0.00341431,1.02727096
h4,bull,100,momentum+adx,1309,0.12519948,0.11306341,-0.01213607,0.90306612
h4,bull,100,momentum+di,2839,0.12519948,0.12398732,-0.00121216,0.99031818
h4,bull,100,momentum+volatility,1312,0.12519948,0.13109756,0.00589808,1.04710949
h4,bull,100,momentum+bb,2865,0.12519948,0.12216405,-0.00303543,0.97575526
