timeframe,direction,target_pips,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,oos_samples,oos_hit_rate,oos_lift,all_samples,all_hit_rate,all_lift
h4,bull,100,rsi_extreme+adx+volatility+body,130,0.27692308,2.18593407,0,,,0,,,180,0.26111111,2.08556071
h4,bull,100,rsi_extreme+volatility+body,163,0.25153374,1.98551952,0,,,0,,,232,0.27586207,2.20338035
h4,bull,100,adx+volatility+body,577,0.20797227,1.64166048,106,0.15094340,1.17203108,86,0.15116279,1.38313953,769,0.19375813,1.54759533
h4,bull,100,rsi_extreme+adx+body,200,0.20500000,1.61819841,0,,,0,,,268,0.20149254,1.60937203
h4,bull,100,rsi_extreme+adx+volatility,203,0.20197044,1.59428415,0,,,51,0.19607843,1.79411765,286,0.19580420,1.56393780
h4,bull,100,rsi_extreme+body,261,0.19923372,1.57268138,0,,,59,0.28813559,2.63644068,361,0.21883657,1.74790318
h4,bull,100,price200+adx+volatility+body,267,0.19101124,1.50777599,64,0.17187500,1.33455882,0,,,363,0.18181818,1.45222796
h4,bull,100,trend+adx+volatility+body,236,0.19067797,1.50514528,52,0.13461538,1.04524887,0,,,310,0.17741935,1.41709341
h4,bull,100,rsi_extreme+volatility,246,0.18699187,1.47604852,0,,,63,0.26984127,2.46904762,355,0.20563380,1.64244937
h4,bull,100,volatility+body,1039,0.18479307,1.45869197,206,0.17475728,1.35693889,133,0.20300752,1.85751880,1378,0.18505080,1.47804769
h4,bull,100,trend+macd+adx+body,213,0.18309859,1.44531634,0,,,0,,,281,0.16725979,1.33594636
h4,bull,100,price200+volatility+body,487,0.18275154,1.44257684,120,0.15833333,1.22941176,60,0.15000000,1.37250000,667,0.17541229,1.40106250
h4,bull,100,trend+adx+body,429,0.18181818,1.43520924,93,0.11827957,0.91840607,0,,,563,0.16873890,1.34776040
h4,bull,100,macd+adx+volatility+body,259,0.18146718,1.43243856,50,0.18000000,1.39764706,0,,,338,0.17751479,1.41785570
h4,bull,100,trend+price200+adx+body,411,0.17761557,1.40203530,92,0.11956522,0.92838875,0,,,543,0.16574586,1.32385422
h4,bull,100,trend+macd+adx,607,0.17627677,1.39146727,145,0.12413793,0.96389452,67,0.11940299,1.09253731,819,0.16239316,1.29707540
h4,bull,100,trend+macd+adx+di,593,0.17537943,1.38438395,141,0.12765957,0.99123905,64,0.12500000,1.14375000,798,0.16290727,1.30118169
h4,bull,100,trend+price200+macd+adx,606,0.17491749,1.38073760,145,0.12413793,0.96389452,67,0.11940299,1.09253731,818,0.16136919,1.28889670
h4,bull,100,price200+macd+adx+body,292,0.17465753,1.37868558,63,0.17460317,1.35574230,0,,,392,0.16836735,1.34479273
h4,bull,100,macd+volatility+body,450,0.17333333,1.36823280,85,0.15294118,1.18754325,0,,,581,0.17039587,1.36099505
h4,bull,100,price200+macd+volatility+body,254,0.17322835,1.36740407,66,0.16666667,1.29411765,0,,,355,0.16901408,1.34995838
h4,bull,100,price200+momentum+volatility+body,266,0.17293233,1.36506743,51,0.09803922,0.76124567,0,,,349,0.15759312,1.25873627
h4,bull,100,adx+body,1001,0.17282717,1.36423735,193,0.12953368,1.00579092,145,0.13793103,1.26206897,1339,0.16280807,1.30038934
h4,bull,100,macd+adx+di+body,355,0.17183099,1.35637380,75,0.14666667,1.13882353,0,,,469,0.15991471,1.27727939
h4,bull,100,trend+volatility+body,426,0.17136150,1.35266786,97,0.14432990,1.12067920,57,0.24561404,2.24736842,580,0.17413793,1.39088385
h4,bull,100,trend+price20+macd+adx,590,0.17118644,1.35128598,142,0.12676056,0.98425849,65,0.12307692,1.12615385,797,0.15934755,1.27274935
h4,bull,100,trend+macd+adx+bb,596,0.17114094,1.35092681,144,0.12500000,0.97058824,67,0.11940299,1.09253731,807,0.15861214,1.26687544
h4,bull,100,trend+price20+adx+body,246,0.17073171,1.34769648,50,0.10000000,0.77647059,0,,,319,0.15673981,1.25192065
h4,bull,100,trend+price200+volatility+body,383,0.16971279,1.33965353,91,0.13186813,1.02391726,0,,,519,0.16377649,1.30812441
h4,bull,100,price20+adx+di+body,383,0.16971279,1.33965353,76,0.14473684,1.12383901,0,,,498,0.15863454,1.26705431
h4,bull,100,price20+price200+volatility+body,267,0.16853933,1.33039058,59,0.15254237,1.18444666,0,,,363,0.15977961,1.27620033
h4,bull,100,macd+adx+body,487,0.16837782,1.32911574,92,0.15217391,1.18158568,62,0.11290323,1.03306452,641,0.16068643,1.28344327
h4,bull,100,price20+price200+adx+body,321,0.16822430,1.32790387,65,0.16923077,1.31402715,0,,,424,0.16037736,1.28097466
h4,bull,100,price200+adx+body,512,0.16796875,1.32588666,113,0.15044248,1.16814159,60,0.11666667,1.06750000,685,0.16058394,1.28262469
h4,bull,100,macd+adx+bb+body,382,0.16753927,1.32249647,76,0.15789474,1.22600619,0,,,505,0.15643564,1.24949118
h4,bull,100,adx+di+bb+body,389,0.16709512,1.31899049,78,0.14102564,1.09502262,0,,,507,0.15581854,1.24456222
h4,bull,100,price200+macd+adx+di,809,0.16687268,1.31723468,189,0.14814815,1.15032680,92,0.09782609,0.89510870,1090,0.15779817,1.26037399
h4,bull,100,price200+volatility+bb+body,266,0.16541353,1.30571667,64,0.15625000,1.21323529,0,,,368,0.15760870,1.25886065
h4,bull,100,trend+adx+bb+body,243,0.16460905,1.29936639,51,0.09803922,0.76124567,0,,,318,0.15094340,1.20562321
