timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,100,rsi_extreme+adx+volatility+body,130,0,0,2.18593407,,,2,2,1.00000000,1.93333333,2.29238095,33,0.24242424,0.12831713
h4,bull,100,rsi_extreme+volatility+body,163,0,0,1.98551952,,,4,4,1.00000000,2.41666667,3.23952381,42,0.35714286,0.22989188
h4,bull,100,adx+volatility+body,577,106,86,1.64166048,1.17203108,1.38313953,8,4,0.50000000,0.00000000,1.42769231,86,0.15116279,0.09052123
h4,bull,100,rsi_extreme+adx+body,200,0,0,1.61819841,,,4,3,0.75000000,1.40000000,2.41666667,42,0.21428571,0.11705800
h4,bull,100,rsi_extreme+adx+volatility,203,0,51,1.59428415,,1.79411765,5,3,0.60000000,0.77777778,1.47053571,51,0.19607843,0.11015343
h4,bull,100,rsi_extreme+body,261,0,59,1.57268138,,2.63644068,8,4,0.50000000,0.00000000,2.76190476,59,0.28813559,0.18836500
h4,bull,100,price200+adx+volatility+body,267,64,0,1.50777599,1.33455882,,1,0,0.00000000,0.00000000,0.00000000,32,0.12500000,0.04970134
h4,bull,100,trend+adx+volatility+body,236,52,0,1.50514528,1.04524887,,1,0,0.00000000,0.00000000,0.00000000,22,0.13636364,0.04749004
h4,bull,100,rsi_extreme+volatility,246,0,63,1.47604852,,2.46904762,6,4,0.66666667,0.00000000,2.11607143,63,0.26984127,0.17583844
h4,bull,100,volatility+body,1039,206,133,1.45869197,1.35693889,1.85751880,10,7,0.70000000,0.00000000,1.53333333,133,0.20300752,0.14343687
h4,bull,100,trend+macd+adx+body,213,0,0,1.44531634,,,1,1,1.00000000,3.83333333,3.83333333,21,0.14285714,0.04981012
h4,bull,100,price200+volatility+body,487,120,60,1.44257684,1.22941176,1.37250000,9,5,0.55555556,0.00000000,1.61847619,60,0.15000000,0.08097441
h4,bull,100,trend+adx+body,429,93,0,1.43520924,0.91840607,,3,2,0.66666667,0.96666667,2.87500000,41,0.14634146,0.06884248
h4,bull,100,macd+adx+volatility+body,259,50,0,1.43243856,1.39764706,,1,0,0.00000000,0.00000000,0.00000000,29,0.13793103,0.05497440
h4,bull,100,trend+price200+adx+body,411,92,0,1.40203530,0.92838875,,3,2,0.66666667,0.96666667,2.87500000,40,0.15000000,0.07061188
h4,bull,100,trend+macd+adx,607,145,67,1.39146727,0.96389452,1.09253731,8,4,0.50000000,0.00000000,1.12601190,67,0.11940299,0.06176233
h4,bull,100,trend+macd+adx+di,593,141,64,1.38438395,0.99123905,1.14375000,8,4,0.50000000,0.00000000,1.17639456,64,0.12500000,0.06472243
h4,bull,100,trend+price200+macd+adx,606,145,67,1.38073760,0.96389452,1.09253731,8,4,0.50000000,0.00000000,1.12601190,67,0.11940299,0.06176233
h4,bull,100,price200+macd+adx+body,292,63,0,1.37868558,1.35574230,,2,2,1.00000000,3.06666667,3.17619048,37,0.10810811,0.04285190
h4,bull,100,macd+volatility+body,450,85,0,1.36823280,1.18754325,,4,4,1.00000000,1.54666667,2.55555556,46,0.17391304,0.09085792
h4,bull,100,price200+macd+volatility+body,254,66,0,1.36740407,1.29411765,,2,1,0.50000000,0.00000000,1.53333333,35,0.14285714,0.06260231
h4,bull,100,price200+momentum+volatility+body,266,51,0,1.36506743,0.76124567,,2,1,0.50000000,0.00000000,1.69285714,32,0.12500000,0.04970134
h4,bull,100,adx+body,1001,193,145,1.36423735,1.00579092,1.26206897,11,5,0.45454545,0.00000000,0.84423077,145,0.13793103,0.09109583
h4,bull,100,macd+adx+di+body,355,75,0,1.35637380,1.13882353,,4,2,0.50000000,0.00000000,1.43750000,39,0.07692308,0.02650740
h4,bull,100,trend+volatility+body,426,97,57,1.35266786,1.12067920,2.24736842,7,5,0.71428571,0.00000000,1.81250000,57,0.24561404,0.15232837
h4,bull,100,trend+price20+macd+adx,590,142,65,1.35128598,0.98425849,1.12615385,8,4,0.50000000,0.00000000,1.12601190,65,0.12307692,0.06370468
h4,bull,100,trend+macd+adx+bb,596,144,67,1.35092681,0.97058824,1.09253731,8,4,0.50000000,0.00000000,1.12601190,67,0.11940299,0.06176233
h4,bull,100,trend+price20+adx+body,246,50,0,1.34769648,0.77647059,,1,1,1.00000000,3.28571429,3.28571429,23,0.13043478,0.04537659
h4,bull,100,trend+price200+volatility+body,383,91,0,1.33965353,1.02391726,,3,2,0.66666667,0.00000000,1.38095238,45,0.17777778,0.09294390
