pair,timeframe,rows,start,end,bad_gaps
usdjpy,h4,9268,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,297
eurjpy,h4,9569,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,270
gbpjpy,h4,9559,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,271
audjpy,h4,9653,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,263
eurusd,h4,9268,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,297
gbpusd,h4,9212,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,302
audusd,h4,9411,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,284
nzdusd,h4,9266,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,297
usdcad,h4,9360,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,289
usdchf,h4,9350,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,290
audnzd,h4,9593,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,268
eurgbp,h4,9517,2021-01-03T20:00:00+00:00,2026-09-18T20:00:00+00:00,276
usdjpy,d1,1787,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,1
eurjpy,d1,1787,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,1
gbpjpy,d1,1786,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,2
audjpy,d1,1840,2021-01-01T00:00:00+00:00,2026-09-18T00:00:00+00:00,2
eurusd,d1,1787,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,1
gbpusd,d1,1824,2021-01-03T00:00:00+00:00,2026-09-19T00:00:00+00:00,2
audusd,d1,1840,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,1
nzdusd,d1,1785,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,3
usdcad,d1,1841,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,0
usdchf,d1,1841,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,0
audnzd,d1,1841,2021-01-01T00:00:00+00:00,2026-09-18T00:00:00+00:00,1
eurgbp,d1,1840,2021-01-03T00:00:00+00:00,2026-09-18T00:00:00+00:00,1
