timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
h4,bull,1,adx25+atr_expand,2444,473,347,1.93708668,1.58244000,1.90273613,0.03992031,12,7,0.06101544,0.00000000
h4,bull,1,adx_up3+atr_expand,1626,337,330,1.92460810,1.36680049,2.76294859,0.06188288,12,7,0.07910477,0.00000000
h4,bull,1,volatility+atr_expand,2864,605,491,1.86314595,1.99852212,2.43327307,0.05690261,12,7,0.07781376,0.00000000
h4,bull,1,rsi_cross55_up+breakout20_up,547,136,102,1.79699557,1.69342561,2.46591760,0.04027669,12,6,0.08806217,0.00000000
h4,bull,1,atr_expand+bb_expand,2638,511,470,1.78702786,1.31453129,2.27441549,0.05222650,12,7,0.06752353,0.00000000
h4,bull,1,adx_rising+atr_expand,3127,620,565,1.71285907,1.67157495,2.28151934,0.05393962,12,7,0.07043001,0.00000000
h4,bull,1,di_strong_bull+price200_cross_up,683,145,99,1.67414243,1.45595673,1.58790149,0.02176323,10,4,0.05462213,0.00000000
h4,bull,1,adx25+di_cross_up,681,154,106,1.64960197,1.99399032,0.29660801,0.00166727,11,1,0.01818182,0.00000000
h4,bull,1,rsi_cross55_up+price200_cross_up,381,97,53,1.63220600,1.78071559,1.18643205,0.01041029,5,2,0.06190476,0.00000000
h4,bull,1,bb_upper+price200_cross_up,691,164,106,1.62572930,1.28727881,1.48304007,0.02031407,12,4,0.05105311,0.00000000
h4,bull,1,price200_cross_up+breakout20_up,329,89,62,1.58531549,1.72513770,2.02841609,0.02537291,6,3,0.11666667,0.00000000
h4,bull,1,adx25+volatility,13559,2791,2339,1.55345934,1.49906492,1.77432207,0.04778937,12,6,0.05607093,0.00000000
h4,bull,1,adx_rising+price200_cross_up,755,184,132,1.54105910,1.35596760,1.42911134,0.02099632,11,5,0.05179895,0.00000000
h4,bull,1,rsi60+price200_cross_up,534,114,91,1.54021324,1.17846577,1.38199778,0.01722437,11,3,0.05339105,0.00000000
h4,bull,1,volatility+price200_cross_up,588,155,88,1.53522997,1.60966477,1.78638917,0.02451103,10,4,0.06968254,0.00000000
h4,bull,1,rsi60+rsi_cross55_up,764,166,117,1.52290526,1.27176943,1.07488716,0.01337384,11,3,0.03823954,0.00000000
h4,bull,1,atr_expand,4895,940,740,1.49581685,1.47003755,2.12435469,0.05162519,12,7,0.06895648,0.00000000
h4,bull,1,ema20_slope_up3+price200_cross_up,914,210,154,1.49245405,0.91391223,1.42911134,0.02219003,12,5,0.04856054,0.00000000
h4,bull,1,momentum_bull+price200_cross_up,820,186,128,1.49229346,1.23820367,0.98251404,0.01221827,12,3,0.03823529,0.00000000
h4,bull,1,rsi_cross55_up+bb_expand,444,116,65,1.49097109,1.65449628,1.93479689,0.02418905,7,1,0.04081633,0.00000000
h4,bull,1,trend_bull+atr_expand,2039,334,293,1.48558660,1.55146178,1.82418990,0.03653724,12,6,0.06084779,0.00000000
h4,bull,1,di_strong_bull+rsi_cross55_up,2057,503,286,1.48233905,1.44990449,1.64897462,0.03203824,12,7,0.05811237,0.00000000
h4,bull,1,adx25+breakout20_up,2351,527,366,1.47615420,1.38387469,1.20264014,0.02292002,12,6,0.04589101,0.00000000
h4,bull,1,bb_upper+price20_cross_up,736,189,118,1.47181830,1.21854964,1.59866692,0.02350963,12,4,0.05728114,0.00000000
h4,bull,1,macd_bull+price200_cross_up,983,239,160,1.46932285,0.96362294,1.37551966,0.02135161,12,5,0.05337204,0.00000000
h4,bull,1,volatility+bb_expand,7176,1540,1214,1.45923866,1.69489177,1.63158840,0.04077028,12,6,0.05852675,0.00000000
