timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
h4,bear,1,atr_expand,4895,74564,0.08110317,0.05241135,0.02869182,1.54743513,1.54743513,940.00000000,18636.00000000,0.07553191,0.05773771,0.01779420,1.30819030,1.30819030,740.00000000,13251.00000000,0.09729730,0.04022338,0.05707392,2.41892399,2.41892399,2.25006031
d1,bear,1,atr_expand,649,14668,0.33590139,0.24904554,0.08685585,1.34875487,1.34875487,147.00000000,3609.00000000,0.41496599,0.24771405,0.16725194,1.67518148,1.67518148,140.00000000,2586.00000000,0.45000000,0.19876257,0.25123743,2.26400778,2.26400778,2.12599653
h4,bull,1,atr_expand,4895,74564,0.07456588,0.04822703,0.02633886,1.54614309,1.54614309,940.00000000,18636.00000000,0.07659574,0.05086929,0.02572646,1.50573660,1.50573660,740.00000000,13251.00000000,0.06756757,0.02980907,0.03775850,2.26667807,2.26667807,2.12435469
h4,bear,1,breakout20_down,4118,75341,0.08256435,0.05262739,0.02993696,1.56884762,1.56884762,896.00000000,18680.00000000,0.06919643,0.05808351,0.01111292,1.19132653,1.19132653,640.00000000,13351.00000000,0.08437500,0.04127032,0.04310468,2.04444760,2.04444760,1.95122417
h4,bear,3,atr_expand,4895,74564,0.19182840,0.16352395,0.02830444,1.17309051,1.17309051,940.00000000,18636.00000000,0.18297872,0.17122773,0.01175099,1.06862786,1.06862786,740.00000000,13251.00000000,0.21891892,0.12972606,0.08919286,1.68754776,1.68754776,1.62833312
h4,bear,1,rsi40,16985,62474,0.06299676,0.05178154,0.01121522,1.21658723,1.21658723,3553.00000000,16023.00000000,0.06867436,0.05635649,0.01231787,1.21857062,1.21857062,2790.00000000,11201.00000000,0.06881720,0.03687171,0.03194550,1.86639590,1.86639590,1.59144050
h4,bear,1,adx_up3,13589,65870,0.06593568,0.05175345,0.01418223,1.27403446,1.27403446,3261.00000000,16315.00000000,0.05826434,0.05865768,-0.00039334,0.99329430,0.99329430,2573.00000000,11418.00000000,0.06801399,0.03765984,0.03035416,1.80600873,1.80600873,1.57286571
d1,bear,3,atr_expand,649,14668,0.53775039,0.47300245,0.06474793,1.13688709,1.13688709,147.00000000,3609.00000000,0.65986395,0.44472153,0.21514242,1.48376883,1.48376883,140.00000000,2586.00000000,0.64285714,0.39984532,0.24301182,1.60776458,1.60776458,1.55910015
h4,bear,1,bb_lower,15951,63508,0.06413391,0.05167853,0.01245538,1.24101656,1.24101656,3886.00000000,15690.00000000,0.06973752,0.05583174,0.01390578,1.24906584,1.24906584,2575.00000000,11416.00000000,0.06679612,0.03792922,0.02886689,1.76107267,1.76107267,1.54470160
h4,bear,1,volatility,24772,54687,0.07141127,0.04637300,0.02503828,1.53993224,1.53993224,5376.00000000,14200.00000000,0.09095982,0.04633803,0.04462179,1.96296271,1.96296271,3939.00000000,10052.00000000,0.06651434,0.03412256,0.03239178,1.94927750,1.94927750,1.53818543
d1,bear,1,macd_cross_down,611,14706,0.22258592,0.25397797,-0.03139204,0.87639856,0.87639856,169.00000000,3587.00000000,0.29585799,0.25229997,0.04355802,1.17264376,1.17264376,111.00000000,2615.00000000,0.32432432,0.20688337,0.11744096,1.56766748,1.56766748,1.53224975
h4,bull,1,volatility,24772,54687,0.06519457,0.04289868,0.02229590,1.51973389,1.51973389,5376.00000000,14200.00000000,0.07645089,0.04288732,0.03356357,1.78259882,1.78259882,3939.00000000,10052.00000000,0.04772785,0.02556705,0.02216080,1.86677177,1.86677177,1.50058505
h4,bear,6,atr_expand,4895,74564,0.36261491,0.28401105,0.07860386,1.27676339,1.27676339,940.00000000,18636.00000000,0.31914894,0.27629320,0.04285574,1.15510965,1.15510965,740.00000000,13251.00000000,0.33243243,0.23062410,0.10180833,1.44144704,1.44144704,1.40855910
d1,bull,1,volatility,4573,10744,0.30658211,0.23119881,0.07538330,1.32605403,1.32605403,852.00000000,2904.00000000,0.34272300,0.22348485,0.11923816,1.53354022,1.53354022,788.00000000,1938.00000000,0.27791878,0.16460268,0.11331610,1.68842194,1.68842194,1.40819070
h4,bull,1,adx_up3,13589,65870,0.05379351,0.04903598,0.00475753,1.09702120,1.09702120,3261.00000000,16315.00000000,0.05765103,0.05099602,0.00665501,1.13050061,1.13050061,2573.00000000,11418.00000000,0.04469491,0.02890173,0.01579317,1.54644384,1.54644384,1.40522802
h4,bear,1,adx_cross25_up,1464,77995,0.07103825,0.05386243,0.01717582,1.31888322,1.31888322,345.00000000,19231.00000000,0.06956522,0.05839530,0.01116992,1.19128112,1.19128112,247.00000000,13744.00000000,0.06072874,0.04292782,0.01780092,1.41467097,1.41467097,1.40438987
h4,bear,3,breakout20_down,4118,75341,0.19645459,0.16356300,0.03289159,1.20109431,1.20109431,896.00000000,18680.00000000,0.17299107,0.17173448,0.00125660,1.00731709,1.00731709,640.00000000,13351.00000000,0.18750000,0.13190023,0.05559977,1.42152896,1.42152896,1.39463716
d1,bear,5,atr_expand,649,14668,0.63174114,0.58003818,0.05170296,1.08913717,1.08913717,147.00000000,3609.00000000,0.68027211,0.54336381,0.13690830,1.25196432,1.25196432,140.00000000,2586.00000000,0.67857143,0.48801237,0.19055905,1.39047996,1.39047996,1.36314349
d1,bear,1,volatility,4573,10744,0.28886945,0.23734177,0.05152768,1.21710329,1.21710329,852.00000000,2904.00000000,0.33685446,0.23002755,0.10682691,1.46440921,1.46440921,788.00000000,1938.00000000,0.28426396,0.18214654,0.10211742,1.56063330,1.56063330,1.34298709
h4,bear,1,bb_expand,18448,61011,0.06358413,0.05133501,0.01224912,1.23861151,1.23861151,4476.00000000,15100.00000000,0.06009830,0.05814570,0.00195261,1.03358128,1.03358128,3307.00000000,10684.00000000,0.05805866,0.03865593,0.01940273,1.50193404,1.50193404,1.34264258
d1,bear,1,rsi_cross45_down,790,14527,0.25569620,0.25256419,0.00313201,1.01240085,1.01240085,184.00000000,3572.00000000,0.30978261,0.25139978,0.05838283,1.23223104,1.23223104,135.00000000,2591.00000000,0.28148148,0.20802779,0.07345369,1.35309558,1.35309558,1.32984145
h4,bear,3,adx_up3,13589,65870,0.18632718,0.16092303,0.02540415,1.15786520,1.15786520,3261.00000000,16315.00000000,0.17540632,0.17106957,0.00433675,1.02535079,1.02535079,2573.00000000,11418.00000000,0.17877963,0.12445262,0.05432702,1.43652770,1.43652770,1.32977452
h4,bear,3,adx_cross25_up,1464,77995,0.18032787,0.16498493,0.01534293,1.09299597,1.09299597,345.00000000,19231.00000000,0.19420290,0.17138994,0.02281296,1.13310556,1.13310556,247.00000000,13744.00000000,0.17813765,0.13365832,0.04447933,1.33278383,1.33278383,1.32499941
d1,bear,1,rsi_cross50_down,843,14474,0.23250297,0.25390355,-0.02140059,0.91571372,0.91571372,230.00000000,3526.00000000,0.26956522,0.25326149,0.01630373,1.06437509,1.06437509,168.00000000,2558.00000000,0.27976190,0.20719312,0.07256879,1.35024708,1.35024708,1.32171742
h4,bear,1,rsi_down3,19314,60145,0.06404681,0.05101006,0.01303675,1.25557207,1.25557207,4776.00000000,14800.00000000,0.07223618,0.05418919,0.01804699,1.33303675,1.33303675,3384.00000000,10607.00000000,0.05614657,0.03912511,0.01702147,1.43505227,1.43505227,1.29842428
h4,bear,1,momentum_bear,25035,54424,0.05660076,0.05306482,0.00353593,1.06663425,1.06663425,5838.00000000,13738.00000000,0.06783145,0.05466589,0.01316556,1.24083682,1.24083682,3961.00000000,10030.00000000,0.05554153,0.03838485,0.01715668,1.44696505,1.44696505,1.28443231
h4,bull,3,atr_expand,4895,74564,0.17793667,0.15939327,0.01854340,1.11633739,1.11633739,940.00000000,18636.00000000,0.20212766,0.16248122,0.03964644,1.24400630,1.24400630,740.00000000,13251.00000000,0.15405405,0.11863256,0.03542150,1.29858160,1.29858160,1.27839281
h4,bear,1,di_strong_bear,30076,49383,0.05958239,0.05088796,0.00869443,1.17085445,1.17085445,7285.00000000,12291.00000000,0.06643789,0.05394191,0.01249598,1.23165620,1.23165620,5789.00000000,8202.00000000,0.05510451,0.03486954,0.02023496,1.58030482,1.58030482,1.27432592
h4,bear,3,volatility,24772,54687,0.19481673,0.15188253,0.04293420,1.28268028,1.28268028,5376.00000000,14200.00000000,0.22116815,0.15309859,0.06806956,1.44461260,1.44461260,3939.00000000,10052.00000000,0.17085555,0.12017509,0.05068046,1.42172182,1.42172182,1.27083464
h4,bear,1,price20_bear,38132,41327,0.05724851,0.05134658,0.00590193,1.11494297,1.11494297,9170.00000000,10406.00000000,0.06706652,0.05112435,0.01594217,1.31183124,1.31183124,6233.00000000,7758.00000000,0.05486924,0.03390049,0.02096875,1.61853839,1.61853839,1.26888529
h4,bear,1,ema20_falling,38132,41327,0.05724851,0.05134658,0.00590193,1.11494297,1.11494297,9170.00000000,10406.00000000,0.06706652,0.05112435,0.01594217,1.31183124,1.31183124,6233.00000000,7758.00000000,0.05486924,0.03390049,0.02096875,1.61853839,1.61853839,1.26888529
h4,bear,1,di_spread_down3,19779,59680,0.06319834,0.05118968,0.01200866,1.23459150,1.23459150,4956.00000000,14620.00000000,0.06961259,0.05485636,0.01475623,1.26899760,1.26899760,3491.00000000,10500.00000000,0.05442567,0.03952381,0.01490186,1.37703492,1.37703492,1.25862726
h4,bear,1,price200_cross_down,1600,77859,0.06062500,0.05404642,0.00657858,1.12172098,1.12172098,428.00000000,19148.00000000,0.06775701,0.05838730,0.00936971,1.16047515,1.16047515,277.00000000,13714.00000000,0.05415162,0.04302173,0.01112989,1.25870403,1.25870403,1.25228988
d1,bear,1,di_cross_down,725,14592,0.23724138,0.25349507,-0.01625369,0.93588165,0.93588165,193.00000000,3563.00000000,0.29533679,0.25203480,0.04330199,1.17180955,1.17180955,140.00000000,2586.00000000,0.26428571,0.20881671,0.05546901,1.26563492,1.26563492,1.24860114
h4,bull,3,volatility,24772,54687,0.18286775,0.15041966,0.03244809,1.21571710,1.21571710,5376.00000000,14200.00000000,0.20238095,0.15000000,0.05238095,1.34920635,1.34920635,3939.00000000,10052.00000000,0.15003808,0.10893355,0.04110454,1.37733588,1.37733588,1.24506690
h4,bear,3,rsi40,16985,62474,0.16950250,0.16411627,0.00538623,1.03281960,1.03281960,3553.00000000,16023.00000000,0.17984802,0.17000562,0.00984240,1.05789455,1.05789455,2790.00000000,11201.00000000,0.16630824,0.12650656,0.03980168,1.31462148,1.31462148,1.23701150
h4,bear,6,adx_cross25_up,1464,77995,0.28620219,0.28890313,-0.00270095,0.99065102,0.99065102,345.00000000,19231.00000000,0.31304348,0.27772867,0.03531481,1.12715580,1.12715580,247.00000000,13744.00000000,0.29149798,0.23501164,0.05648633,1.24035547,1.24035547,1.23511453
h4,bear,1,macd_bear,39322,40137,0.05610091,0.05229589,0.00380502,1.07275952,1.07275952,9904.00000000,9672.00000000,0.06411551,0.05293631,0.01117920,1.21118204,1.21118204,6829.00000000,7162.00000000,0.05330209,0.03364982,0.01965228,1.58402323,1.58402323,1.23264396
h4,bear,1,bb_bear,38151,41308,0.05703651,0.05153965,0.00549686,1.10665302,1.10665302,9223.00000000,10353.00000000,0.06678955,0.05128948,0.01550007,1.30220751,1.30220751,6313.00000000,7678.00000000,0.05322351,0.03503517,0.01818834,1.51914531,1.51914531,1.23082659
d1,bull,1,atr_expand,649,14668,0.32203390,0.25068176,0.07135214,1.28463237,1.28463237,147.00000000,3609.00000000,0.44897959,0.24244943,0.20653016,1.85184840,1.85184840,140.00000000,2586.00000000,0.24285714,0.19489559,0.04796155,1.24608844,1.24608844,1.23053638
