timeframe,direction,horizon_bars,base_feature,added_feature,disc_n,disc_rate,disc_increment,val_n,val_rate,val_increment,oos_n,oos_rate,oos_increment
h4,bull,1,atr_expand,trend_bull,2039,0.07405591,-0.00050997,334,0.08083832,0.00424258,293,0.05802048,-0.00954709
h4,bull,1,atr_expand,price20_bull,2300,0.05956522,-0.01500067,447,0.07158837,-0.00500738,311,0.04180064,-0.02576692
h4,bull,1,atr_expand,price200_bull,2609,0.07014182,-0.00442407,454,0.08370044,0.00710470,375,0.03733333,-0.03023423
h4,bull,1,atr_expand,ema20_rising,2300,0.05956522,-0.01500067,447,0.07158837,-0.00500738,311,0.04180064,-0.02576692
h4,bull,1,atr_expand,ema200_rising,2609,0.07014182,-0.00442407,454,0.08370044,0.00710470,375,0.03733333,-0.03023423
h4,bull,1,atr_expand,momentum_bull,1573,0.05085823,-0.02370765,318,0.05660377,-0.01999197,215,0.02790698,-0.03966059
h4,bull,1,atr_expand,rsi60,1493,0.06496986,-0.00959602,281,0.07829181,0.00169607,211,0.03317536,-0.03439221
h4,bull,1,atr_expand,macd_bull,2265,0.05695364,-0.01761224,440,0.06818182,-0.00841393,309,0.04530744,-0.02226012
h4,bull,1,atr_expand,macd_rising,2308,0.06585789,-0.00870800,461,0.08242950,0.00583376,307,0.03908795,-0.02847962
h4,bull,1,atr_expand,adx25,2444,0.09656301,0.02199713,473,0.08245243,0.00585669,347,0.06051873,-0.00704884
h4,bull,1,atr_expand,adx_rising,3127,0.08538535,0.01081947,620,0.08709677,0.01050103,565,0.07256637,0.00499880
h4,bull,1,atr_expand,di_bull,2221,0.05898244,-0.01558344,434,0.05990783,-0.01668791,282,0.04255319,-0.02501438
h4,bull,1,atr_expand,di_strong_bull,1822,0.06256861,-0.01199728,366,0.06284153,-0.01375421,241,0.04979253,-0.01777504
h4,bull,1,atr_expand,volatility,2864,0.09287709,0.01831121,605,0.10413223,0.02753649,491,0.07739308,0.00982551
h4,bull,1,atr_expand,bb_bull,2279,0.05923651,-0.01532938,449,0.07126949,-0.00532626,311,0.03858521,-0.02898236
h4,bull,1,atr_expand,bb_upper,1620,0.05802469,-0.01654119,321,0.07165109,-0.00494465,224,0.03571429,-0.03185328
h4,bull,1,atr_expand,body_bull,1073,0.06244175,-0.01212413,214,0.07943925,0.00284351,154,0.04545455,-0.02211302
