pair,timeframe,direction,threshold_pips,events,median_bars_to_hit,median_max_excursion
audjpy,d1,bear,50,294,2.0,116.6
audjpy,d1,bear,100,166,5.0,148.0
audjpy,d1,bear,150,105,8.0,187.4
audjpy,d1,bear,200,73,13.0,238.4
audjpy,d1,bear,300,39,16.0,337.9
audjpy,d1,bull,50,308,2.5,154.60000000000002
audjpy,d1,bull,100,180,6.0,172.89999999999998
audjpy,d1,bull,150,121,9.0,189.4
audjpy,d1,bull,200,83,11.0,262.2
audjpy,d1,bull,300,49,15.0,347.6
audjpy,h4,bear,50,680,6.0,72.55
audjpy,h4,bear,100,312,15.0,117.30000000000001
audjpy,h4,bear,150,174,18.0,169.05
audjpy,h4,bear,200,103,22.0,213.8
audjpy,h4,bear,300,30,22.0,327.0
audjpy,h4,bull,50,677,7.0,78.8
audjpy,h4,bull,100,322,17.0,117.65
audjpy,h4,bull,150,181,20.0,167.7
audjpy,h4,bull,200,98,20.0,221.0
audjpy,h4,bull,300,23,22.0,315.1
audnzd,d1,bear,50,176,4.0,83.94999999999999
audnzd,d1,bear,100,78,12.0,117.9
audnzd,d1,bear,150,46,14.0,168.0
audnzd,d1,bear,200,22,16.0,218.10000000000002
audnzd,d1,bear,300,9,19.0,310.1
audnzd,d1,bull,50,168,6.0,86.6
audnzd,d1,bull,100,84,11.0,131.45
audnzd,d1,bull,150,50,18.0,171.45
audnzd,d1,bull,200,31,19.0,221.8
audnzd,d1,bull,300,10,20.0,311.9
audnzd,h4,bear,50,365,14.0,59.5
audnzd,h4,bear,100,105,22.0,109.7
audnzd,h4,bear,150,33,22.0,159.3
audnzd,h4,bear,200,11,24.0,202.6
audnzd,h4,bear,300,2,22.5,305.5
audnzd,h4,bull,50,343,16.0,59.8
audnzd,h4,bull,100,117,22.0,105.7
audnzd,h4,bull,150,24,23.5,156.1
audnzd,h4,bull,200,6,23.5,207.9
audusd,d1,bear,50,209,4.0,91.5
audusd,d1,bear,100,111,9.0,145.0
audusd,d1,bear,150,72,12.0,176.60000000000002
audusd,d1,bear,200,43,15.0,223.5
audusd,d1,bear,300,19,18.0,314.4
audusd,d1,bull,50,240,3.0,106.15
audusd,d1,bull,100,103,11.0,125.6
audusd,d1,bull,150,64,14.0,179.55
audusd,d1,bull,200,38,18.0,215.05
audusd,d1,bull,300,16,19.0,330.35
audusd,h4,bear,50,451,12.0,65.5
audusd,h4,bear,100,187,20.0,111.9
audusd,h4,bear,150,72,22.0,163.25
audusd,h4,bear,200,21,23.0,209.7
audusd,h4,bear,300,4,21.5,316.15
audusd,h4,bull,50,434,13.0,64.65
audusd,h4,bull,100,178,20.0,108.95
audusd,h4,bull,150,66,20.5,160.25
audusd,h4,bull,200,19,23.0,207.6
audusd,h4,bull,300,2,23.5,319.6
eurgbp,d1,bear,50,137,7.0,73.2
eurgbp,d1,bear,100,64,16.5,112.94999999999999
eurgbp,d1,bear,150,36,13.0,168.7
eurgbp,d1,bear,200,15,16.0,211.4
eurgbp,d1,bear,300,1,20.0,320.3
eurgbp,d1,bull,50,136,7.0,74.80000000000001
eurgbp,d1,bull,100,65,14.0,120.0
eurgbp,d1,bull,150,28,16.0,167.95
eurgbp,d1,bull,200,16,18.0,216.0
eurgbp,d1,bull,300,4,19.0,353.75
eurgbp,h4,bear,50,271,17.0,58.8
eurgbp,h4,bear,100,56,20.5,109.6
eurgbp,h4,bear,150,17,24.0,162.2
eurgbp,h4,bear,200,4,15.0,248.45000000000002
eurgbp,h4,bear,300,2,10.5,393.95
eurgbp,h4,bull,50,256,16.0,56.95
eurgbp,h4,bull,100,61,23.0,111.2
eurgbp,h4,bull,150,24,24.0,156.1
eurgbp,h4,bull,200,8,24.0,208.14999999999998
eurgbp,h4,bull,300,1,24.0,521.6
eurjpy,d1,bear,50,295,2.0,128.1
eurjpy,d1,bear,100,190,3.0,159.85
eurjpy,d1,bear,150,130,5.5,220.5
eurjpy,d1,bear,200,96,9.5,247.15
eurjpy,d1,bear,300,57,13.0,354.4
eurjpy,d1,bull,50,331,2.0,174.9
eurjpy,d1,bull,100,199,4.0,193.6
eurjpy,d1,bull,150,143,7.0,220.1
eurjpy,d1,bull,200,106,10.5,263.85
eurjpy,d1,bull,300,66,15.0,359.9
eurjpy,h4,bear,50,804,5.0,83.95
eurjpy,h4,bear,100,398,11.0,128.2
eurjpy,h4,bear,150,230,16.0,182.7
eurjpy,h4,bear,200,152,19.0,232.89999999999998
eurjpy,h4,bear,300,66,22.5,327.4
eurjpy,h4,bull,50,835,6.0,94.2
eurjpy,h4,bull,100,428,12.5,127.5
eurjpy,h4,bull,150,249,18.0,174.8
eurjpy,h4,bull,200,166,19.0,222.75
eurjpy,h4,bull,300,58,23.0,313.0
eurusd,d1,bear,50,257,3.0,111.4
eurusd,d1,bear,100,130,8.0,140.6
eurusd,d1,bear,150,80,14.0,181.3
eurusd,d1,bear,200,62,15.0,227.9
eurusd,d1,bear,300,27,20.0,328.9
eurusd,d1,bull,50,239,3.0,103.4
eurusd,d1,bull,100,115,9.0,142.9
eurusd,d1,bull,150,73,12.0,181.8
eurusd,d1,bull,200,51,16.0,236.4
eurusd,d1,bull,300,27,19.0,323.8
eurusd,h4,bear,50,521,10.0,70.1
eurusd,h4,bear,100,217,19.0,113.2
eurusd,h4,bear,150,94,22.5,159.05
eurusd,h4,bear,200,45,22.0,211.8
eurusd,h4,bear,300,10,24.0,313.1
eurusd,h4,bull,50,496,11.0,67.80000000000001
eurusd,h4,bull,100,221,17.0,112.6
eurusd,h4,bull,150,95,22.0,166.7
eurusd,h4,bull,200,47,23.0,214.1
eurusd,h4,bull,300,11,24.0,312.7
gbpjpy,d1,bear,50,376,1.0,150.4
gbpjpy,d1,bear,100,231,2.0,195.7
gbpjpy,d1,bear,150,163,4.0,226.2
gbpjpy,d1,bear,200,120,6.0,266.7
gbpjpy,d1,bear,300,78,11.0,375.55
gbpjpy,d1,bull,50,404,2.0,267.0
gbpjpy,d1,bull,100,247,3.0,257.9
gbpjpy,d1,bull,150,174,6.0,264.5
gbpjpy,d1,bull,200,135,8.0,293.7
gbpjpy,d1,bull,300,94,11.0,385.75
gbpjpy,h4,bear,50,1053,4.0,93.9
gbpjpy,h4,bear,100,529,8.0,137.4
gbpjpy,h4,bear,150,333,12.0,184.0
gbpjpy,h4,bear,200,219,16.0,239.3
gbpjpy,h4,bear,300,115,22.0,330.4
gbpjpy,h4,bull,50,1056,4.0,112.75
gbpjpy,h4,bull,100,531,11.0,141.3
gbpjpy,h4,bull,150,359,14.0,187.2
gbpjpy,h4,bull,200,247,19.0,224.5
gbpjpy,h4,bull,300,116,22.0,323.25
gbpusd,d1,bear,50,283,2.0,149.2
gbpusd,d1,bear,100,157,6.0,160.2
gbpusd,d1,bear,150,110,10.5,190.8
gbpusd,d1,bear,200,79,13.0,244.0
gbpusd,d1,bear,300,46,16.0,334.85
gbpusd,d1,bull,50,301,3.0,120.9
gbpusd,d1,bull,100,159,5.0,160.8
gbpusd,d1,bull,150,101,10.0,191.5
gbpusd,d1,bull,200,68,13.0,238.0
gbpusd,d1,bull,300,40,17.5,344.0
gbpusd,h4,bear,50,666,7.0,74.6
gbpusd,h4,bear,100,303,15.0,119.6
gbpusd,h4,bear,150,169,20.0,164.6
gbpusd,h4,bear,200,92,21.0,214.2
gbpusd,h4,bear,300,27,23.0,327.5
