pair,timeframe,direction,threshold_pips,event_timestamp,hit_timestamp,bars_to_hit,entry_close,max_excursion_pips
audjpy,d1,bear,50,2021-01-01T00:00:00+00:00,2021-01-04T00:00:00+00:00,3,79.384,53.5
audjpy,d1,bear,50,2021-01-06T00:00:00+00:00,2021-01-11T00:00:00+00:00,5,80.521,101.1
audjpy,d1,bear,50,2021-01-12T00:00:00+00:00,2021-01-15T00:00:00+00:00,3,80.67,146.9
audjpy,d1,bear,50,2021-01-16T00:00:00+00:00,2021-01-28T00:00:00+00:00,12,79.96,75.9
audjpy,d1,bear,50,2021-02-01T00:00:00+00:00,2021-02-02T00:00:00+00:00,1,80.062,52.4
audjpy,d1,bear,50,2021-02-19T00:00:00+00:00,2021-02-26T00:00:00+00:00,7,82.94,95.6
audjpy,d1,bear,50,2021-03-02T00:00:00+00:00,2021-03-03T00:00:00+00:00,1,83.53,75.1
audjpy,d1,bear,50,2021-03-04T00:00:00+00:00,2021-03-23T00:00:00+00:00,19,83.274,98.8
audjpy,d1,bear,50,2021-03-26T00:00:00+00:00,2021-04-09T00:00:00+00:00,14,83.739,70.7
audjpy,d1,bear,50,2021-04-10T00:00:00+00:00,2021-04-13T00:00:00+00:00,3,83.532,50.0
audjpy,d1,bear,50,2021-04-14T00:00:00+00:00,2021-04-20T00:00:00+00:00,6,84.117,105.5
audjpy,d1,bear,50,2021-04-21T00:00:00+00:00,2021-04-22T00:00:00+00:00,1,83.775,71.3
audjpy,d1,bear,50,2021-04-27T00:00:00+00:00,2021-05-04T00:00:00+00:00,7,84.473,54.1
audjpy,d1,bear,50,2021-05-05T00:00:00+00:00,2021-05-19T00:00:00+00:00,14,84.657,68.4
audjpy,d1,bear,50,2021-05-20T00:00:00+00:00,2021-05-24T00:00:00+00:00,4,84.579,60.6
audjpy,d1,bear,50,2021-05-27T00:00:00+00:00,2021-06-03T00:00:00+00:00,7,85.016,95.1
audjpy,d1,bear,50,2021-06-04T00:00:00+00:00,2021-06-16T00:00:00+00:00,12,84.763,263.0
audjpy,d1,bear,50,2021-06-17T00:00:00+00:00,2021-06-18T00:00:00+00:00,1,83.367,123.4
audjpy,d1,bear,50,2021-06-19T00:00:00+00:00,2021-07-08T00:00:00+00:00,19,82.362,104.3
audjpy,d1,bear,50,2021-07-09T00:00:00+00:00,2021-07-15T00:00:00+00:00,6,82.475,263.6
audjpy,d1,bear,50,2021-07-16T00:00:00+00:00,2021-07-19T00:00:00+00:00,3,81.387,154.8
audjpy,d1,bear,50,2021-07-20T00:00:00+00:00,2021-07-21T00:00:00+00:00,1,80.665,57.8
audjpy,d1,bear,50,2021-07-22T00:00:00+00:00,2021-07-26T00:00:00+00:00,4,81.287,113.3
audjpy,d1,bear,50,2021-07-27T00:00:00+00:00,2021-08-01T00:00:00+00:00,5,80.882,99.4
audjpy,d1,bear,50,2021-08-02T00:00:00+00:00,2021-08-16T00:00:00+00:00,14,80.427,253.3
audjpy,d1,bear,50,2021-08-17T00:00:00+00:00,2021-08-19T00:00:00+00:00,2,79.471,157.7
audjpy,d1,bear,50,2021-08-25T00:00:00+00:00,2021-08-27T00:00:00+00:00,2,80.022,60.7
audjpy,d1,bear,50,2021-08-28T00:00:00+00:00,2021-09-16T00:00:00+00:00,19,80.249,50.2
audjpy,d1,bear,50,2021-09-17T00:00:00+00:00,2021-09-20T00:00:00+00:00,3,79.863,101.9
audjpy,d1,bear,50,2021-09-23T00:00:00+00:00,2021-10-01T00:00:00+00:00,8,80.502,60.3
audjpy,d1,bear,50,2021-10-05T00:00:00+00:00,2021-10-06T00:00:00+00:00,1,81.25,68.0
audjpy,d1,bear,50,2021-10-15T00:00:00+00:00,2021-11-04T00:00:00+00:00,20,84.743,84.8
audjpy,d1,bear,50,2021-11-05T00:00:00+00:00,2021-11-09T00:00:00+00:00,4,83.915,175.9
audjpy,d1,bear,50,2021-11-10T00:00:00+00:00,2021-11-17T00:00:00+00:00,7,83.536,342.2
audjpy,d1,bear,50,2021-11-18T00:00:00+00:00,2021-11-19T00:00:00+00:00,1,83.158,437.1
audjpy,d1,bear,50,2021-11-20T00:00:00+00:00,2021-11-26T00:00:00+00:00,6,82.474,368.7
audjpy,d1,bear,50,2021-11-27T00:00:00+00:00,2021-12-01T00:00:00+00:00,4,80.549,176.2
audjpy,d1,bear,50,2021-12-02T00:00:00+00:00,2021-12-03T00:00:00+00:00,1,80.103,131.6
audjpy,d1,bear,50,2021-12-07T00:00:00+00:00,2021-12-20T00:00:00+00:00,13,80.854,58.4
audjpy,d1,bear,50,2021-12-23T00:00:00+00:00,2021-12-26T00:00:00+00:00,3,82.77,63.1
audjpy,d1,bear,50,2021-12-27T00:00:00+00:00,2022-01-10T00:00:00+00:00,13,83.058,96.9
audjpy,d1,bear,50,2022-01-11T00:00:00+00:00,2022-01-14T00:00:00+00:00,3,83.153,278.8
audjpy,d1,bear,50,2022-01-16T00:00:00+00:00,2022-01-21T00:00:00+00:00,5,82.482,211.7
audjpy,d1,bear,50,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,1,81.78,141.5
audjpy,d1,bear,50,2022-01-25T00:00:00+00:00,2022-01-27T00:00:00+00:00,2,81.528,116.3
audjpy,d1,bear,50,2022-02-01T00:00:00+00:00,2022-02-04T00:00:00+00:00,3,81.845,55.0
audjpy,d1,bear,50,2022-02-08T00:00:00+00:00,2022-02-11T00:00:00+00:00,3,82.55,100.3
audjpy,d1,bear,50,2022-02-13T00:00:00+00:00,2022-02-14T00:00:00+00:00,1,82.576,102.9
audjpy,d1,bear,50,2022-02-15T00:00:00+00:00,2022-02-21T00:00:00+00:00,5,82.661,64.9
audjpy,d1,bear,50,2022-02-22T00:00:00+00:00,2022-02-24T00:00:00+00:00,2,83.176,116.4
audjpy,d1,bear,50,2022-02-25T00:00:00+00:00,2022-02-27T00:00:00+00:00,1,83.49,103.2
audjpy,d1,bear,50,2022-03-03T00:00:00+00:00,2022-03-04T00:00:00+00:00,1,84.712,90.3
audjpy,d1,bear,50,2022-03-06T00:00:00+00:00,2022-03-07T00:00:00+00:00,1,84.992,118.3
audjpy,d1,bear,50,2022-03-10T00:00:00+00:00,2022-03-14T00:00:00+00:00,3,85.572,98.2
audjpy,d1,bear,50,2022-03-20T00:00:00+00:00,2022-03-21T00:00:00+00:00,1,88.371,53.9
audjpy,d1,bear,50,2022-03-22T00:00:00+00:00,2022-03-23T00:00:00+00:00,1,90.544,61.2
audjpy,d1,bear,50,2022-03-24T00:00:00+00:00,2022-03-25T00:00:00+00:00,1,91.887,112.8
audjpy,d1,bear,50,2022-03-27T00:00:00+00:00,2022-03-30T00:00:00+00:00,3,91.912,115.3
audjpy,d1,bear,50,2022-04-01T00:00:00+00:00,2022-04-25T00:00:00+00:00,20,91.835,72.4
audjpy,d1,bear,50,2022-04-26T00:00:00+00:00,2022-05-10T00:00:00+00:00,12,90.887,358.0
audjpy,d1,bear,50,2022-05-11T00:00:00+00:00,2022-05-12T00:00:00+00:00,1,89.934,262.7
audjpy,d1,bear,50,2022-05-13T00:00:00+00:00,2022-05-16T00:00:00+00:00,2,89.621,116.0
audjpy,d1,bear,50,2022-05-17T00:00:00+00:00,2022-05-18T00:00:00+00:00,1,90.985,199.3
audjpy,d1,bear,50,2022-05-19T00:00:00+00:00,2022-05-20T00:00:00+00:00,1,90.026,78.7
audjpy,d1,bear,50,2022-05-22T00:00:00+00:00,2022-05-24T00:00:00+00:00,2,90.307,106.8
audjpy,d1,bear,50,2022-05-31T00:00:00+00:00,2022-06-16T00:00:00+00:00,14,92.465,50.3
audjpy,d1,bear,50,2022-06-17T00:00:00+00:00,2022-06-23T00:00:00+00:00,5,93.536,211.5
audjpy,d1,bear,50,2022-06-24T00:00:00+00:00,2022-06-27T00:00:00+00:00,2,93.832,241.1
audjpy,d1,bear,50,2022-06-28T00:00:00+00:00,2022-06-30T00:00:00+00:00,2,93.914,249.3
audjpy,d1,bear,50,2022-07-01T00:00:00+00:00,2022-07-06T00:00:00+00:00,4,92.08,55.3
audjpy,d1,bear,50,2022-07-07T00:00:00+00:00,2022-07-08T00:00:00+00:00,1,93.067,111.2
audjpy,d1,bear,50,2022-07-10T00:00:00+00:00,2022-07-11T00:00:00+00:00,1,93.291,277.1
audjpy,d1,bear,50,2022-07-12T00:00:00+00:00,2022-08-02T00:00:00+00:00,18,92.235,171.5
