conditions,pair,oos_samples,oos_hit_rate,oos_hits
price20+price200+macd+volatility,audjpy,9,0.44444444,4
price20+price200+macd+volatility,audnzd,4,0.00000000,0
price20+price200+macd+volatility,audusd,1,1.00000000,1
price20+price200+macd+volatility,eurgbp,2,0.00000000,0
price20+price200+macd+volatility,eurjpy,26,0.46153846,12
price20+price200+macd+volatility,eurusd,9,0.33333333,3
price20+price200+macd+volatility,gbpjpy,28,0.46428571,13
price20+price200+macd+volatility,gbpusd,11,0.18181818,2
price20+price200+macd+volatility,nzdusd,7,0.14285714,1
price20+price200+macd+volatility,usdcad,11,0.00000000,0
price20+price200+macd+volatility,usdchf,7,0.00000000,0
price20+price200+macd+volatility,usdjpy,22,0.50000000,11
price200+macd+volatility,audjpy,9,0.44444444,4
price200+macd+volatility,audnzd,4,0.00000000,0
price200+macd+volatility,audusd,1,1.00000000,1
price200+macd+volatility,eurgbp,2,0.00000000,0
price200+macd+volatility,eurjpy,26,0.46153846,12
price200+macd+volatility,eurusd,9,0.33333333,3
price200+macd+volatility,gbpjpy,28,0.46428571,13
price200+macd+volatility,gbpusd,12,0.16666667,2
price200+macd+volatility,nzdusd,8,0.12500000,1
price200+macd+volatility,usdcad,12,0.00000000,0
price200+macd+volatility,usdchf,7,0.00000000,0
price200+macd+volatility,usdjpy,22,0.50000000,11
price200+volatility,audjpy,11,0.36363636,4
price200+volatility,audnzd,5,0.00000000,0
price200+volatility,audusd,2,0.50000000,1
price200+volatility,eurgbp,4,0.00000000,0
price200+volatility,eurjpy,31,0.38709677,12
price200+volatility,eurusd,18,0.22222222,4
price200+volatility,gbpjpy,35,0.37142857,13
price200+volatility,gbpusd,19,0.15789474,3
price200+volatility,nzdusd,9,0.11111111,1
price200+volatility,usdcad,15,0.00000000,0
price200+volatility,usdchf,8,0.00000000,0
price200+volatility,usdjpy,26,0.42307692,11
