timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_base_lift,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_base_lift,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bear,1,pin_bear,869.00000000,78590.00000000,0.15880322,0.05302201,0.10578121,2.99504325,2.93109064,262.00000000,19314.00000000,0.16030534,0.05721238,0.10309296,2.80193430,2.73595240,146.00000000,13845.00000000,0.17123288,0.04189238,0.12934050,4.08744686,3.95986641
h4,bear,1,mtf_pin_bear,1682.00000000,77777.00000000,0.15457788,0.05200766,0.10257022,2.97221361,2.85310198,318.00000000,19258.00000000,0.13207547,0.05737875,0.07469672,2.30181849,2.25414946,149.00000000,13842.00000000,0.10738255,0.04255165,0.06483090,2.52358109,2.48328804
h4,bear,1,mtf_elliott_wave3_bear,4256.00000000,75203.00000000,0.07354323,0.05308299,0.02046024,1.38543882,1.35741504,765.00000000,18811.00000000,0.07712418,0.05783850,0.01928568,1.33344026,1.31628858,577.00000000,13414.00000000,0.10571924,0.04055464,0.06516459,2.60683428,2.44482289
h4,bull,1,horizontal_support_near,4165.00000000,75294.00000000,0.06026411,0.04927351,0.01099059,1.22305271,1.20891835,799.00000000,18777.00000000,0.08135169,0.05086009,0.03049159,1.59951903,1.56131439,564.00000000,13427.00000000,0.07446809,0.03001415,0.04445393,2.48109920,2.34131006
h4,bear,3,pin_bear,869.00000000,78590.00000000,0.33601841,0.16337956,0.17263885,2.05667344,2.03317751,262.00000000,19314.00000000,0.39694656,0.16873770,0.22820886,2.35244736,2.31062324,146.00000000,13845.00000000,0.30821918,0.13261105,0.17560813,2.32423449,2.29255424
h4,bear,1,horizontal_break_down,2555.00000000,76904.00000000,0.09510763,0.05281910,0.04228853,1.80062958,1.75543724,496.00000000,19080.00000000,0.08669355,0.05786164,0.02883191,1.49829067,1.47961020,376.00000000,13615.00000000,0.09840426,0.04171869,0.05668556,2.35875693,2.27565940
h4,bear,1,atr_expand,4895.00000000,74564.00000000,0.08110317,0.05241135,0.02869182,1.54743513,1.49695157,940.00000000,18636.00000000,0.07553191,0.05773771,0.01779420,1.30819030,1.28911314,740.00000000,13251.00000000,0.09729730,0.04022338,0.05707392,2.41892399,2.25006031
h4,bull,1,mtf_horizontal_support_near,3732.00000000,75727.00000000,0.05064309,0.04981050,0.00083258,1.01671501,1.01591745,702.00000000,18874.00000000,0.09971510,0.05033379,0.04938131,1.98107662,1.91374784,463.00000000,13528.00000000,0.07127430,0.03045535,0.04081895,2.34028812,2.24089596
d1,bear,1,atr_expand,649.00000000,14668.00000000,0.33590139,0.24904554,0.08685585,1.34875487,1.32911432,147.00000000,3609.00000000,0.41496599,0.24771405,0.16725194,1.67518148,1.63205471,140.00000000,2586.00000000,0.45000000,0.19876257,0.25123743,2.26400778,2.12599653
h4,bull,1,atr_expand,4895.00000000,74564.00000000,0.07456588,0.04822703,0.02633886,1.54614309,1.49581685,940.00000000,18636.00000000,0.07659574,0.05086929,0.02572646,1.50573660,1.47003755,740.00000000,13251.00000000,0.06756757,0.02980907,0.03775850,2.26667807,2.12435469
h4,bull,3,mtf_pin_bull,2386.00000000,77073.00000000,0.30385583,0.15609876,0.14775706,1.94656139,1.89276263,548.00000000,19028.00000000,0.35401460,0.15892369,0.19509091,2.22757599,2.15357047,459.00000000,13532.00000000,0.25490196,0.11594738,0.13895458,2.19842787,2.11526295
h4,bull,1,mtf_inside_2,1521.00000000,77938.00000000,0.05588429,0.04973184,0.00615245,1.12371247,1.12105770,458.00000000,19118.00000000,0.03056769,0.05262057,-0.02205288,0.58090757,0.58665982,241.00000000,13750.00000000,0.06639004,0.03120000,0.03519004,2.12788595,2.08733274
h4,bear,1,breakout20_down,4118.00000000,75341.00000000,0.08256435,0.05262739,0.02993696,1.56884762,1.52392121,896.00000000,18680.00000000,0.06919643,0.05808351,0.01111292,1.19132653,1.18098456,640.00000000,13351.00000000,0.08437500,0.04127032,0.04310468,2.04444760,1.95122417
h4,bear,1,channel_breakout_down,4118.00000000,75341.00000000,0.08256435,0.05262739,0.02993696,1.56884762,1.52392121,896.00000000,18680.00000000,0.06919643,0.05808351,0.01111292,1.19132653,1.18098456,640.00000000,13351.00000000,0.08437500,0.04127032,0.04310468,2.04444760,1.95122417
h4,bear,1,breakout_down20,4118.00000000,75341.00000000,0.08256435,0.05262739,0.02993696,1.56884762,1.52392121,896.00000000,18680.00000000,0.06919643,0.05808351,0.01111292,1.19132653,1.18098456,640.00000000,13351.00000000,0.08437500,0.04127032,0.04310468,2.04444760,1.95122417
h4,bear,1,structure_breakout20_down,4118.00000000,75341.00000000,0.08256435,0.05262739,0.02993696,1.56884762,1.52392121,896.00000000,18680.00000000,0.06919643,0.05808351,0.01111292,1.19132653,1.18098456,640.00000000,13351.00000000,0.08437500,0.04127032,0.04310468,2.04444760,1.95122417
h4,bear,6,pin_bear,869.00000000,78590.00000000,0.47986191,0.28674132,0.19312059,1.67350111,1.66126471,262.00000000,19314.00000000,0.51526718,0.27513721,0.24012997,1.87276444,1.85114154,146.00000000,13845.00000000,0.45890411,0.23365836,0.22524575,1.96399610,1.94443592
h4,bear,1,retest_down,4115.00000000,75344.00000000,0.08262454,0.05262529,0.02999925,1.57005389,1.52503221,889.00000000,18687.00000000,0.06749156,0.05816878,0.00932278,1.16027125,1.15188740,632.00000000,13359.00000000,0.08386076,0.04132046,0.04254030,2.02952153,1.93933204
h4,bear,1,horizontal_support_near,4165.00000000,75294.00000000,0.07779112,0.05287274,0.02491838,1.47128971,1.43581982,799.00000000,18777.00000000,0.07759700,0.05778346,0.01981354,1.34289290,1.32435815,564.00000000,13427.00000000,0.08333333,0.04155805,0.04177528,2.00522700,1.92713499
h4,bull,1,mtf_volatility,22922.00000000,56537.00000000,0.07394643,0.04007995,0.03386648,1.84497314,1.48339034,4310.00000000,15266.00000000,0.09118329,0.04107166,0.05011163,2.22010235,1.75000409,3968.00000000,10023.00000000,0.05922379,0.02095181,0.03827198,2.82666691,1.86202259
