timeframe,direction,horizon_bars,base_feature,added_feature,disc_n,disc_rate,disc_increment,val_n,val_rate,val_increment,oos_n,oos_rate,oos_increment
h4,bull,1,pin_bull,trend_bull,644,0.09006211,-0.03595716,190,0.08421053,-0.02948456,117,0.02564103,-0.02471869
h4,bull,1,pin_bull,price20_bull,777,0.09781210,-0.02820718,217,0.11981567,0.00612058,152,0.01973684,-0.03062287
h4,bull,1,pin_bull,price200_bull,841,0.08917955,-0.03683973,259,0.09652510,-0.01716999,152,0.03289474,-0.01746498
h4,bull,1,pin_bull,ema20_rising,777,0.09781210,-0.02820718,217,0.11981567,0.00612058,152,0.01973684,-0.03062287
h4,bull,1,pin_bull,ema200_rising,841,0.08917955,-0.03683973,259,0.09652510,-0.01716999,152,0.03289474,-0.01746498
h4,bull,1,pin_bull,momentum_bull,520,0.08461538,-0.04140389,155,0.12258065,0.00888555,105,0.00952381,-0.04083590
h4,bull,1,pin_bull,rsi60,388,0.08505155,-0.04096773,109,0.14678899,0.03309390,69,0.01449275,-0.03586696
h4,bull,1,pin_bull,macd_bull,645,0.10387597,-0.02214330,203,0.13793103,0.02423594,131,0.03816794,-0.01219177
h4,bull,1,pin_bull,macd_rising,686,0.13411079,0.00809151,216,0.11574074,0.00204565,135,0.06666667,0.01630695
h4,bull,1,pin_bull,adx25,588,0.15646259,0.03044331,149,0.12751678,0.01382169,130,0.05384615,0.00348644
h4,bull,1,pin_bull,adx_rising,640,0.14218750,0.01616823,193,0.11917098,0.00547589,140,0.06428571,0.01392600
h4,bull,1,pin_bull,di_bull,581,0.09810671,-0.02791256,173,0.13294798,0.01925289,82,0.01219512,-0.03816459
h4,bull,1,pin_bull,di_strong_bull,389,0.08997429,-0.03604498,115,0.16521739,0.05152230,42,,
h4,bull,1,pin_bull,volatility,479,0.18997912,0.06395985,119,0.14285714,0.02916205,82,0.08536585,0.03500614
h4,bull,1,pin_bull,bb_bull,764,0.09162304,-0.03439624,214,0.13551402,0.02181893,154,0.02597403,-0.02438569
h4,bull,1,pin_bull,bb_upper,334,0.08682635,-0.03919293,101,0.14851485,0.03481976,58,0.01724138,-0.03311833
h4,bull,1,pin_bull,body_bull,0,,,0,,,0,,
h4,bull,1,pin_bull,rsi_up1,61,0.27868852,0.15266925,19,,,3,,
h4,bull,1,pin_bull,rsi_up3,315,0.14285714,0.01683787,84,0.16666667,0.05297158,52,0.01923077,-0.03112894
h4,bull,1,pin_bull,rsi_cross50_up,17,,,8,,,3,,
h4,bull,1,pin_bull,rsi_cross55_up,19,,,9,,,3,,
