timeframe,direction,horizon_bars,conditions,samples,base_rate,hit50_rate,rate_diff,lift
h4,bull,1,mtf_trend_bull,51193,0.04800665,0.05072959,0.00272294,1.05672003
h4,bull,1,mtf_price20_bull,61202,0.04800665,0.04449201,-0.00351464,0.92678841
h4,bull,1,mtf_price200_bull,67359,0.04800665,0.04970383,0.00169717,1.03535286
h4,bull,1,mtf_ema20_rising,61202,0.04800665,0.04449201,-0.00351464,0.92678841
h4,bull,1,mtf_macd_bull,57216,0.04800665,0.04330956,-0.00469709,0.90215753
h4,bull,1,mtf_macd_rising,57380,0.04800665,0.04553852,-0.00246814,0.94858758
h4,bull,1,mtf_rsi60,27512,0.04800665,0.04423524,-0.00377141,0.92143984
h4,bull,1,mtf_adx25,41007,0.04800665,0.05499061,0.00698396,1.14547896
h4,bull,1,mtf_adx_rising,52777,0.04800665,0.04894177,0.00093512,1.01947898
h4,bull,1,mtf_di_bull,61805,0.04800665,0.04362107,-0.00438559,0.90864627
h4,bull,1,mtf_di_strong_bull,44516,0.04800665,0.04362476,-0.00438189,0.90872329
h4,bull,1,mtf_volatility,31200,0.04800665,0.07445513,0.02644847,1.55093353
h4,bull,1,mtf_bb_bull,59746,0.04800665,0.04494025,-0.00306641,0.93612539
h4,bull,1,structure_hh,28064,0.04800665,0.05437571,0.00636906,1.13267035
h4,bull,1,structure_hl,57227,0.04800665,0.04559037,-0.00241629,0.94966770
h4,bull,1,structure_breakout20_up,7323,0.04800665,0.06131367,0.01330702,1.27719108
h4,bull,1,range_expand,44642,0.04800665,0.06691008,0.01890343,1.39376691
h4,bull,1,close_near_high,26373,0.04800665,0.04595609,-0.00205056,0.95728588
h4,bull,1,impulse_bull,20732,0.04800665,0.05686861,0.00886196,1.18459849
h4,bull,1,pullback_bull,48549,0.04800665,0.04821932,0.00021267,1.00443004
h4,bull,1,distance_high_ok,66508,0.04800665,0.04279184,-0.00521481,0.89137321
h4,bull,1,cross_group_bull,45405,0.04800665,0.05023676,0.00223010,1.04645408
h4,bull,1,cross_group_return_up,54449,0.04800665,0.04916527,0.00115862,1.02413458
h4,bull,1,cross_target_relative_up,51711,0.04800665,0.04730135,-0.00070531,0.98530817
h4,bull,1,mtf_trend_bull+mtf_price20_bull,35430,0.04800665,0.04817951,0.00017286,1.00360066
h4,bull,1,mtf_trend_bull+mtf_price200_bull,49905,0.04800665,0.05059613,0.00258948,1.05394001
h4,bull,1,mtf_trend_bull+mtf_ema20_rising,35430,0.04800665,0.04817951,0.00017286,1.00360066
h4,bull,1,mtf_trend_bull+mtf_macd_bull,24099,0.04800665,0.04809328,0.00008663,1.00180451
h4,bull,1,mtf_trend_bull+mtf_macd_rising,23824,0.04800665,0.04680154,-0.00120511,0.97489705
h4,bull,1,mtf_trend_bull+mtf_rsi60,19118,0.04800665,0.05068522,0.00267856,1.05579570
h4,bull,1,mtf_trend_bull+mtf_adx25,20369,0.04800665,0.05454367,0.00653702,1.13616896
h4,bull,1,mtf_trend_bull+mtf_adx_rising,23670,0.04800665,0.05268272,0.00467607,1.09740457
h4,bull,1,mtf_trend_bull+mtf_di_bull,35934,0.04800665,0.04772639,-0.00028027,0.99416193
h4,bull,1,mtf_trend_bull+mtf_di_strong_bull,27535,0.04800665,0.04841111,0.00040446,1.00842508
h4,bull,1,mtf_trend_bull+mtf_volatility,13755,0.04800665,0.07095602,0.02294936,1.47804546
h4,bull,1,mtf_trend_bull+mtf_bb_bull,32953,0.04800665,0.04876642,0.00075977,1.01582638
h4,bull,1,mtf_price20_bull+mtf_price200_bull,47746,0.04800665,0.04657982,-0.00142684,0.97027839
h4,bull,1,mtf_price20_bull+mtf_ema20_rising,61202,0.04800665,0.04449201,-0.00351464,0.92678841
h4,bull,1,mtf_price20_bull+mtf_macd_bull,45572,0.04800665,0.04278943,-0.00521722,0.89132295
h4,bull,1,mtf_price20_bull+mtf_macd_rising,35136,0.04800665,0.04348816,-0.00451849,0.90587777
h4,bull,1,mtf_price20_bull+mtf_rsi60,27426,0.04800665,0.04433749,-0.00366916,0.92356969
h4,bull,1,mtf_price20_bull+mtf_adx25,22895,0.04800665,0.04660406,-0.00140259,0.97078340
h4,bull,1,mtf_price20_bull+mtf_adx_rising,30516,0.04800665,0.04184690,-0.00615975,0.87168959
h4,bull,1,mtf_price20_bull+mtf_di_bull,53537,0.04800665,0.04424977,-0.00375688,0.92174247
h4,bull,1,mtf_price20_bull+mtf_di_strong_bull,42260,0.04800665,0.04363464,-0.00437201,0.90892907
h4,bull,1,mtf_price20_bull+mtf_volatility,15363,0.04800665,0.06300853,0.01500187,1.31249572
h4,bull,1,mtf_price20_bull+mtf_bb_bull,56715,0.04800665,0.04448559,-0.00352107,0.92665459
h4,bull,1,mtf_price200_bull+mtf_ema20_rising,47746,0.04800665,0.04657982,-0.00142684,0.97027839
h4,bull,1,mtf_price200_bull+mtf_macd_bull,35751,0.04800665,0.04511762,-0.00288903,0.93982013
h4,bull,1,mtf_price200_bull+mtf_macd_rising,34225,0.04800665,0.04672023,-0.00128642,0.97320331
h4,bull,1,mtf_price200_bull+mtf_rsi60,24900,0.04800665,0.04626506,-0.00174159,0.96372184
h4,bull,1,mtf_price200_bull+mtf_adx25,25981,0.04800665,0.05192256,0.00391591,1.08157006
h4,bull,1,mtf_price200_bull+mtf_adx_rising,32064,0.04800665,0.04971307,0.00170642,1.03554550
h4,bull,1,mtf_price200_bull+mtf_di_bull,47636,0.04800665,0.04618356,-0.00182309,0.96202412
h4,bull,1,mtf_price200_bull+mtf_di_strong_bull,36753,0.04800665,0.04568335,-0.00232331,0.95160446
h4,bull,1,mtf_price200_bull+mtf_volatility,17568,0.04800665,0.07200592,0.02399927,1.49991543
h4,bull,1,mtf_price200_bull+mtf_bb_bull,44976,0.04800665,0.04664710,-0.00135955,0.97167991
h4,bull,1,mtf_ema20_rising+mtf_macd_bull,45572,0.04800665,0.04278943,-0.00521722,0.89132295
h4,bull,1,mtf_ema20_rising+mtf_macd_rising,35136,0.04800665,0.04348816,-0.00451849,0.90587777
h4,bull,1,mtf_ema20_rising+mtf_rsi60,27426,0.04800665,0.04433749,-0.00366916,0.92356969
h4,bull,1,mtf_ema20_rising+mtf_adx25,22895,0.04800665,0.04660406,-0.00140259,0.97078340
h4,bull,1,mtf_ema20_rising+mtf_adx_rising,30516,0.04800665,0.04184690,-0.00615975,0.87168959
h4,bull,1,mtf_ema20_rising+mtf_di_bull,53537,0.04800665,0.04424977,-0.00375688,0.92174247
h4,bull,1,mtf_ema20_rising+mtf_di_strong_bull,42260,0.04800665,0.04363464,-0.00437201,0.90892907
h4,bull,1,mtf_ema20_rising+mtf_volatility,15363,0.04800665,0.06300853,0.01500187,1.31249572
h4,bull,1,mtf_ema20_rising+mtf_bb_bull,56715,0.04800665,0.04448559,-0.00352107,0.92665459
h4,bull,1,mtf_macd_bull+mtf_macd_rising,30891,0.04800665,0.04188922,-0.00611743,0.87257121
h4,bull,1,mtf_macd_bull+mtf_rsi60,23483,0.04800665,0.04347826,-0.00452839,0.90567157
h4,bull,1,mtf_macd_bull+mtf_adx25,20684,0.04800665,0.04853993,0.00053328,1.01110848
h4,bull,1,mtf_macd_bull+mtf_adx_rising,29424,0.04800665,0.04136079,-0.00664586,0.86156378
h4,bull,1,mtf_macd_bull+mtf_di_bull,43003,0.04800665,0.04243890,-0.00556775,0.88402121
h4,bull,1,mtf_macd_bull+mtf_di_strong_bull,34189,0.04800665,0.04273304,-0.00527361,0.89014834
h4,bull,1,mtf_macd_bull+mtf_volatility,14984,0.04800665,0.06873999,0.02073334,1.43188464
h4,bull,1,mtf_macd_bull+mtf_bb_bull,47426,0.04800665,0.04381563,-0.00419102,0.91269908
h4,bull,1,mtf_macd_rising+mtf_rsi60,15947,0.04800665,0.04345645,-0.00455020,0.90521722
h4,bull,1,mtf_macd_rising+mtf_adx25,19935,0.04800665,0.05407575,0.00606909,1.12642191
h4,bull,1,mtf_macd_rising+mtf_adx_rising,27569,0.04800665,0.04476042,-0.00324623,0.93237950
h4,bull,1,mtf_macd_rising+mtf_di_bull,32201,0.04800665,0.04179994,-0.00620671,0.87071148
h4,bull,1,mtf_macd_rising+mtf_di_strong_bull,23358,0.04800665,0.04139909,-0.00660756,0.86236156
h4,bull,1,mtf_macd_rising+mtf_volatility,16270,0.04800665,0.07037492,0.02236827,1.46594104
h4,bull,1,mtf_macd_rising+mtf_bb_bull,32994,0.04800665,0.04346245,-0.00454421,0.90534217
h4,bull,1,mtf_rsi60+mtf_adx25,14406,0.04800665,0.04636957,-0.00163709,0.96589879
h4,bull,1,mtf_rsi60+mtf_adx_rising,21467,0.04800665,0.04299623,-0.00501043,0.89563058
h4,bull,1,mtf_rsi60+mtf_di_bull,27180,0.04800665,0.04426049,-0.00374617,0.92196566
h4,bull,1,mtf_rsi60+mtf_di_strong_bull,26123,0.04800665,0.04409907,-0.00390758,0.91860329
h4,bull,1,mtf_rsi60+mtf_volatility,7070,0.04800665,0.06011315,0.01210650,1.25218381
h4,bull,1,mtf_rsi60+mtf_bb_bull,27382,0.04800665,0.04440874,-0.00359792,0.92505377
h4,bull,1,mtf_adx25+mtf_adx_rising,21552,0.04800665,0.05540089,0.00739424,1.15402527
h4,bull,1,mtf_adx25+mtf_di_bull,23111,0.04800665,0.04443771,-0.00356894,0.92565739
h4,bull,1,mtf_adx25+mtf_di_strong_bull,20346,0.04800665,0.04398899,-0.00401766,0.91631029
h4,bull,1,mtf_adx25+mtf_volatility,15689,0.04800665,0.07922748,0.03122083,1.65034383
h4,bull,1,mtf_adx25+mtf_bb_bull,22542,0.04800665,0.04720078,-0.00080587,0.98321331
h4,bull,1,mtf_adx_rising+mtf_di_bull,30588,0.04800665,0.04165032,-0.00635633,0.86759475
h4,bull,1,mtf_adx_rising+mtf_di_strong_bull,30281,0.04800665,0.04161025,-0.00639640,0.86676008
h4,bull,1,mtf_adx_rising+mtf_volatility,14925,0.04800665,0.07832496,0.03031830,1.63154381
h4,bull,1,mtf_adx_rising+mtf_bb_bull,30400,0.04800665,0.04171053,-0.00629613,0.86884887
h4,bull,1,mtf_di_bull+mtf_di_strong_bull,44516,0.04800665,0.04362476,-0.00438189,0.90872329
h4,bull,1,mtf_di_bull+mtf_volatility,15132,0.04800665,0.05855141,0.01054476,1.21965207
h4,bull,1,mtf_di_bull+mtf_bb_bull,52134,0.04800665,0.04430890,-0.00369776,0.92297407
h4,bull,1,mtf_di_strong_bull+mtf_volatility,11345,0.04800665,0.05544293,0.00743627,1.15490088
h4,bull,1,mtf_di_strong_bull+mtf_bb_bull,41372,0.04800665,0.04389442,-0.00411223,0.91434037
h4,bull,1,mtf_volatility+mtf_bb_bull,15379,0.04800665,0.06398335,0.01597670,1.33280180
h4,bull,1,structure_hh+structure_hl,21604,0.04800665,0.05253657,0.00452991,1.09436013
h4,bull,1,structure_hh+structure_breakout20_up,7323,0.04800665,0.06131367,0.01330702,1.27719108
h4,bull,1,structure_hh+range_expand,15746,0.04800665,0.06611203,0.01810538,1.37714304
h4,bull,1,structure_hh+close_near_high,9694,0.04800665,0.05611719,0.00811053,1.16894601
h4,bull,1,structure_hh+impulse_bull,11577,0.04800665,0.06055109,0.01254444,1.26130627
h4,bull,1,structure_hh+pullback_bull,6987,0.04800665,0.05166738,0.00366073,1.07625462
h4,bull,1,structure_hh+distance_high_ok,14103,0.04800665,0.05112387,0.00311722,1.06493310
h4,bull,1,structure_hl+structure_breakout20_up,6347,0.04800665,0.06034347,0.01233682,1.25698138
h4,bull,1,structure_hl+range_expand,19464,0.04800665,0.06725236,0.01924571,1.40089672
h4,bull,1,structure_hl+close_near_high,16221,0.04800665,0.04709944,-0.00090721,0.98110232
h4,bull,1,structure_hl+impulse_bull,15046,0.04800665,0.05749036,0.00948371,1.19754990
h4,bull,1,structure_hl+pullback_bull,18285,0.04800665,0.04063440,-0.00737225,0.84643267
