timeframe,direction,feature,offset,event_n,event_presence,control_n,control_presence,prevalence_lift,presence_delta
h4,bull,trend_bull,0,6893,0.44581459,4560,0.36864035,1.20934833,0.07717424
h4,bull,trend_bull,-1,6885,0.44749455,4560,0.36864035,1.21390551,0.07885420
h4,bull,trend_bull,-2,6885,0.44342774,4560,0.36864035,1.20287359,0.07478739
h4,bull,trend_bull,-3,6885,0.43776325,4560,0.36864035,1.18750770,0.06912290
h4,bull,trend_bull,-4,6883,0.43469417,4560,0.36864035,1.17918229,0.06605382
h4,bull,trend_bull,-5,6881,0.43205929,4560,0.36864035,1.17203473,0.06341894
h4,bull,trend_bull,-6,6879,0.42913214,4560,0.36864035,1.16409433,0.06049179
h4,bull,price20_bull,0,6893,0.52879733,4560,0.48421053,1.09208144,0.04458680
h4,bull,price20_bull,-1,6885,0.65039942,4560,0.48421053,1.34321619,0.16618889
h4,bull,price20_bull,-2,6885,0.65417574,4560,0.48421053,1.35101512,0.16996522
h4,bull,price20_bull,-3,6885,0.64037763,4560,0.48421053,1.32251902,0.15616711
h4,bull,price20_bull,-4,6883,0.62530873,4560,0.48421053,1.29139847,0.14109821
h4,bull,price20_bull,-5,6881,0.60964976,4560,0.48421053,1.25905929,0.12543923
h4,bull,price20_bull,-6,6879,0.59805204,4560,0.48421053,1.23510748,0.11384152
h4,bull,price200_bull,0,6893,0.57594661,4560,0.51578947,1.11663119,0.06015714
h4,bull,price200_bull,-1,6885,0.62512709,4560,0.51578947,1.21198109,0.10933761
h4,bull,price200_bull,-2,6885,0.60842411,4560,0.51578947,1.17959777,0.09263464
h4,bull,price200_bull,-3,6885,0.60043573,4560,0.51578947,1.16411009,0.08464626
h4,bull,price200_bull,-4,6883,0.59044022,4560,0.51578947,1.14473103,0.07465074
h4,bull,price200_bull,-5,6881,0.58334544,4560,0.51578947,1.13097586,0.06755597
h4,bull,price200_bull,-6,6879,0.58380579,4560,0.51578947,1.13186836,0.06801631
h4,bull,ema20_rising,0,6893,0.52879733,4560,0.48421053,1.09208144,0.04458680
h4,bull,ema20_rising,-1,6885,0.65039942,4560,0.48421053,1.34321619,0.16618889
h4,bull,ema20_rising,-2,6885,0.65417574,4560,0.48421053,1.35101512,0.16996522
h4,bull,ema20_rising,-3,6885,0.64037763,4560,0.48421053,1.32251902,0.15616711
h4,bull,ema20_rising,-4,6883,0.62530873,4560,0.48421053,1.29139847,0.14109821
