timeframe,feature,origin_pairs,turn_on_n,turn_on_rate
h4,trend_bull,6885,56,0.00813362
h4,price20_bull,6885,55,0.00798838
h4,price200_bull,6885,58,0.00842411
h4,ema20_rising,6885,55,0.00798838
h4,ema200_rising,6885,58,0.00842411
h4,momentum_bull,6885,233,0.03384168
h4,rsi60,6885,136,0.01975309
h4,macd_bull,6885,145,0.02106028
h4,macd_rising,6885,172,0.02498184
h4,adx25,6885,219,0.03180828
h4,adx_rising,6885,713,0.10355846
h4,di_bull,6885,57,0.00827887
h4,di_strong_bull,6885,86,0.01249092
h4,volatility,6885,453,0.06579521
h4,bb_bull,6885,50,0.00726216
h4,bb_upper,6885,97,0.01408860
h4,body_bull,6885,300,0.04357298
h4,rsi_up1,6885,260,0.03776325
h4,rsi_up3,6885,357,0.05185185
h4,rsi_cross50_up,6885,48,0.00697168
h4,rsi_cross55_up,6885,79,0.01147422
h4,macd_cross_up,6885,145,0.02106028
h4,macd_accel_up,6885,172,0.02498184
h4,adx_up3,6885,511,0.07421932
h4,adx_cross25_up,6885,219,0.03180828
h4,di_cross_up,6885,57,0.00827887
h4,di_spread_up3,6885,331,0.04807553
h4,ema20_slope_up3,6885,98,0.01423384
h4,price20_cross_up,6885,55,0.00798838
h4,price200_cross_up,6885,58,0.00842411
h4,breakout20_up,6885,130,0.01888163
h4,atr_expand,6885,506,0.07349310
h4,bb_expand,6885,694,0.10079884
h4,body_expand,6885,1762,0.25591866
h4,sma20_bull,6885,50,0.00726216
h4,sma50_bull,6885,58,0.00842411
h4,sma200_bull,6885,46,0.00668119
h4,sma_stack_bull,6885,61,0.00885984
h4,ichimoku_bull,6885,75,0.01089325
h4,ichimoku_tk_bull,6885,179,0.02599855
h4,ichimoku_cloud_bull,6885,74,0.01074800
h4,span_model_bull,6885,122,0.01771968
h4,superbb_bull,6885,37,0.00537400
h4,superbb_squeeze,6885,112,0.01626725
h4,superbb_expand,6885,694,0.10079884
h4,stoch_bull,6885,512,0.07436456
h4,stoch_cross_up,6885,512,0.07436456
h4,stoch_recover_up,6885,89,0.01292665
h4,rci_bull,6885,174,0.02527233
h4,rci_strong_bull,6885,231,0.03355120
h4,rci_cross_up,6885,174,0.02527233
h4,dmi_adx_bull,6885,148,0.02149601
h4,dmi_adx_strong_bull,6885,111,0.01612200
h4,fib_above382,6885,92,0.01336238
h4,fib_above500,6885,58,0.00842411
h4,fib_above618,6885,40,0.00580973
h4,fib_retrace38_bull,6885,0,0.00000000
h4,fib_retrace62_bull,6885,0,0.00000000
h4,fib_time_zone,6885,1859,0.27000726
h4,fib_time_5,6885,1386,0.20130719
h4,fib_time_8,6885,886,0.12868555
h4,fib_time_13,6885,546,0.07930283
h4,fib_fan_up,6885,92,0.01336238
h4,fib_arc_bull,6885,58,0.00842411
h4,trendline_up,6885,147,0.02135076
h4,channel_upper,6885,90,0.01307190
h4,channel_mid_bull,6885,56,0.00813362
h4,channel_breakout_up,6885,130,0.01888163
h4,horizontal_resistance_near,6885,118,0.01713871
h4,horizontal_support_near,6885,536,0.07785040
h4,horizontal_break_up,6885,121,0.01757444
h4,vertical_session,6885,1850,0.26870007
h4,vertical_day_open,6885,719,0.10442992
h4,vertical_week_open,6885,165,0.02396514
h4,rectangle_range,6885,1147,0.16659405
h4,triangle_breakout_up,6885,22,0.00319535
h4,ellipse_compression,6885,56,0.00813362
h4,elliott_wave2_bull,6885,566,0.08220770
h4,elliott_wave3_bull,6885,226,0.03282498
h4,elliott_wave4_bull,6885,550,0.07988381
h4,elliott_wave5_bull,6885,259,0.03761801
h4,elliott_impulse_bull,6885,202,0.02933914
h4,elliott_pullback_bull,6885,970,0.14088598
h4,range_compression,6885,361,0.05243282
h4,range_tight,6885,141,0.02047930
h4,range_expansion,6885,0,0.00000000
h4,inside_bar,6885,1194,0.17342048
h4,inside_2,6885,39,0.00566449
h4,nr7,6885,508,0.07378359
h4,nr4,6885,1239,0.17995643
h4,breakout_up20,6885,130,0.01888163
h4,retest_up,6885,133,0.01931736
h4,squeeze_release_up,6885,14,0.00203341
h4,pin_bull,6885,153,0.02222222
h4,engulf_bull,6885,92,0.01336238
