condition,threshold_pips,oos_n,oos_hit
pin+adx_rising,50,69,0.23188406
pin+adx_rising,100,69,0.07246377
pin+adx_rising,150,69,0.02898551
pin+adx_rising,200,69,0.01449275
pin+adx_rising,300,69,0.00000000
pin+early_drop_atr10<=1.0,50,66,0.21212121
pin+early_drop_atr10<=1.0,100,66,0.04545455
pin+early_drop_atr10<=1.0,150,66,0.00000000
pin+early_drop_atr10<=1.0,200,66,0.00000000
pin+early_drop_atr10<=1.0,300,66,0.00000000
pin+near_recent_high_atr10<=1.0,50,66,0.21212121
pin+near_recent_high_atr10<=1.0,100,66,0.04545455
pin+near_recent_high_atr10<=1.0,150,66,0.00000000
pin+near_recent_high_atr10<=1.0,200,66,0.00000000
pin+near_recent_high_atr10<=1.0,300,66,0.00000000
pin+adx25,50,72,0.20833333
pin+adx25,100,72,0.02777778
pin+adx25,150,72,0.00000000
pin+adx25,200,72,0.00000000
pin+adx25,300,72,0.00000000
pin+early_drop_atr3<=0.5,50,56,0.19642857
pin+early_drop_atr3<=0.5,100,56,0.05357143
pin+early_drop_atr3<=0.5,150,56,0.00000000
pin+early_drop_atr3<=0.5,200,56,0.00000000
pin+early_drop_atr3<=0.5,300,56,0.00000000
pin+range_atr<=1.5,50,136,0.18382353
pin+range_atr<=1.5,100,136,0.03676471
pin+range_atr<=1.5,150,136,0.01470588
pin+range_atr<=1.5,200,136,0.00735294
pin+range_atr<=1.5,300,136,0.00000000
pin+price200_bear,50,67,0.17910448
pin+price200_bear,100,67,0.02985075
pin+price200_bear,150,67,0.00000000
pin+price200_bear,200,67,0.00000000
pin+price200_bear,300,67,0.00000000
pin+early_drop_atr3<=1.0,50,96,0.17708333
pin+early_drop_atr3<=1.0,100,96,0.03125000
pin+early_drop_atr3<=1.0,150,96,0.00000000
pin+early_drop_atr3<=1.0,200,96,0.00000000
pin+early_drop_atr3<=1.0,300,96,0.00000000
pin+near_recent_high_atr10<=1.5,50,85,0.17647059
pin+near_recent_high_atr10<=1.5,100,85,0.03529412
pin+near_recent_high_atr10<=1.5,150,85,0.00000000
pin+near_recent_high_atr10<=1.5,200,85,0.00000000
pin+near_recent_high_atr10<=1.5,300,85,0.00000000
pin+bb_bear,50,69,0.17391304
pin+bb_bear,100,69,0.02898551
pin+bb_bear,150,69,0.02898551
pin+bb_bear,200,69,0.01449275
pin+bb_bear,300,69,0.00000000
pin,50,146,0.17123288
pin,100,146,0.03424658
pin,150,146,0.01369863
pin,200,146,0.00684932
pin,300,146,0.00000000
pin+early_drop_atr3<=1.5,50,119,0.16806723
pin+early_drop_atr3<=1.5,100,119,0.02521008
pin+early_drop_atr3<=1.5,150,119,0.00000000
pin+early_drop_atr3<=1.5,200,119,0.00000000
pin+early_drop_atr3<=1.5,300,119,0.00000000
pin+di_strong_bear,50,66,0.16666667
pin+di_strong_bear,100,66,0.03030303
pin+di_strong_bear,150,66,0.03030303
pin+di_strong_bear,200,66,0.01515152
pin+di_strong_bear,300,66,0.00000000
pin+macd_bear,50,61,0.16393443
pin+macd_bear,100,61,0.03278689
pin+macd_bear,150,61,0.03278689
pin+macd_bear,200,61,0.01639344
pin+macd_bear,300,61,0.00000000
