horizon_bars,condition,disc_n,disc_hit,disc_lift,val_n,val_hit,val_lift,oos_n,oos_hit,oos_lift,oos_pairs_ge5,oos_pairs_above_base,oos_pair_mean,oos_pair_min
1,pin+early_drop_atr3<=0.5+atr_expand,13,0.38461538,7.09899044,3,0.33333333,5.68904388,2,1.00000000,23.12561983,0,0,,
1,pin+early_drop_atr3<=1.0+atr_expand,19,0.36842105,6.80008558,5,0.20000000,3.41342633,3,0.66666667,15.41707989,0,0,,
1,pin+early_drop_atr10<=1.0+atr_expand,18,0.33333333,6.15245838,3,0.00000000,0.00000000,3,0.66666667,15.41707989,0,0,,
1,pin+near_recent_high_atr10<=1.0+atr_expand,18,0.33333333,6.15245838,3,0.00000000,0.00000000,3,0.66666667,15.41707989,0,0,,
1,pin+near_recent_high_atr10<=1.5+atr_expand,20,0.30000000,5.53721254,4,0.25000000,4.26678291,3,0.66666667,15.41707989,0,0,,
1,pin+atr_expand,61,0.22950820,4.23611889,11,0.36363636,6.20622969,8,0.50000000,11.56280992,0,0,,
1,pin+early_drop_atr10<=1.0+bb_bear,24,0.04166667,0.76905730,16,0.12500000,2.13339146,7,0.42857143,9.91097993,0,0,,
1,pin+near_recent_high_atr10<=1.0+bb_bear,24,0.04166667,0.76905730,16,0.12500000,2.13339146,7,0.42857143,9.91097993,0,0,,
1,pin+early_drop_atr3<=0.5+adx_rising,160,0.14375000,2.65324768,49,0.08163265,1.39323524,20,0.35000000,8.09396694,2,2,0.31111111,0.22222222
1,pin+early_drop_atr10<=1.0+elliott_pullback_bear,12,0.16666667,3.07622919,0,,,3,0.33333333,7.70853994,0,0,,
1,pin+near_recent_high_atr10<=1.0+elliott_pullback_bear,12,0.16666667,3.07622919,0,,,3,0.33333333,7.70853994,0,0,,
1,pin+early_drop_atr10<=1.0+adx25,145,0.12413793,2.29126036,41,0.14634146,2.49762902,31,0.29032258,6.71388963,3,3,0.31645022,0.28571429
1,pin+near_recent_high_atr10<=1.0+adx25,145,0.12413793,2.29126036,41,0.14634146,2.49762902,31,0.29032258,6.71388963,3,3,0.31645022,0.28571429
1,pin+early_drop_atr3<=0.5+price200_bear,108,0.16666667,3.07622919,30,0.26666667,4.55123511,29,0.27586207,6.37948133,3,3,0.28333333,0.20000000
1,pin+early_drop_atr3<=1.0+adx_rising,261,0.13793103,2.54584485,84,0.07142857,1.21908083,40,0.27500000,6.35954545,4,4,0.29107143,0.20000000
