pair,h,lag,feature,n,hit
usdjpy,1,0,adx_rising,132,0.14393939393939395
usdjpy,1,0,adx25,134,0.15671641791044777
usdjpy,1,0,di_strong_bear,100,0.2
usdjpy,1,0,macd_bear,138,0.18115942028985507
usdjpy,1,0,atr_expand,20,0.15
usdjpy,1,0,bb_bear,137,0.18248175182481752
usdjpy,1,0,breakout_down20,4,0.25
usdjpy,1,0,retest_down,4,0.25
usdjpy,1,0,elliott_pullback_bear,49,0.20408163265306123
usdjpy,1,0,range_tight,13,0.07692307692307693
usdjpy,1,0,price20_bear,137,0.19708029197080293
usdjpy,1,0,price200_bear,118,0.2033898305084746
usdjpy,1,0,trend_bear,80,0.225
usdjpy,1,0,volatility,108,0.17592592592592593
usdjpy,1,0,adx_up3,55,0.10909090909090909
usdjpy,1,0,rsi_down1,8,0.375
usdjpy,1,0,di_cross_down,2,0.0
usdjpy,1,0,price20_cross_down,9,0.3333333333333333
usdjpy,1,0,price200_cross_down,1,0.0
usdjpy,1,0,atr_expand,20,0.15
usdjpy,1,0,bb_expand,61,0.13114754098360656
usdjpy,1,0,breakout_down20,4,0.25
usdjpy,1,0,retest_down,4,0.25
usdjpy,1,1,adx_rising,144,0.1388888888888889
usdjpy,1,1,adx25,131,0.15267175572519084
usdjpy,1,1,di_strong_bear,117,0.19658119658119658
usdjpy,1,1,macd_bear,133,0.18796992481203006
usdjpy,1,1,atr_expand,22,0.13636363636363635
usdjpy,1,1,bb_bear,136,0.18382352941176472
usdjpy,1,1,breakout_down20,15,0.13333333333333333
usdjpy,1,1,retest_down,15,0.13333333333333333
usdjpy,1,1,elliott_pullback_bear,36,0.2222222222222222
usdjpy,1,1,range_tight,7,0.0
usdjpy,1,1,price20_bear,131,0.19083969465648856
usdjpy,1,1,price200_bear,117,0.20512820512820512
usdjpy,1,1,trend_bear,81,0.2345679012345679
usdjpy,1,1,volatility,108,0.18518518518518517
usdjpy,1,1,adx_up3,54,0.12962962962962962
usdjpy,1,1,rsi_down1,55,0.14545454545454545
usdjpy,1,1,di_cross_down,11,0.2727272727272727
usdjpy,1,1,price20_cross_down,19,0.15789473684210525
usdjpy,1,1,price200_cross_down,10,0.1
usdjpy,1,1,atr_expand,22,0.13636363636363635
usdjpy,1,1,bb_expand,63,0.14285714285714285
usdjpy,1,1,breakout_down20,15,0.13333333333333333
usdjpy,1,1,retest_down,15,0.13333333333333333
usdjpy,1,2,adx_rising,140,0.15714285714285714
usdjpy,1,2,adx25,129,0.14728682170542637
usdjpy,1,2,di_strong_bear,117,0.19658119658119658
usdjpy,1,2,macd_bear,138,0.17391304347826086
usdjpy,1,2,atr_expand,22,0.18181818181818182
usdjpy,1,2,bb_bear,125,0.184
usdjpy,1,2,breakout_down20,20,0.1
usdjpy,1,2,retest_down,20,0.1
usdjpy,1,2,elliott_pullback_bear,43,0.11627906976744186
usdjpy,1,2,range_tight,11,0.09090909090909091
usdjpy,1,2,price20_bear,129,0.18604651162790697
usdjpy,1,2,price200_bear,109,0.22018348623853212
usdjpy,1,2,trend_bear,79,0.24050632911392406
usdjpy,1,2,volatility,104,0.18269230769230768
usdjpy,1,2,adx_up3,61,0.14754098360655737
usdjpy,1,2,rsi_down1,66,0.15151515151515152
usdjpy,1,2,di_cross_down,11,0.18181818181818182
usdjpy,1,2,price20_cross_down,13,0.07692307692307693
usdjpy,1,2,price200_cross_down,2,0.5
usdjpy,1,2,atr_expand,22,0.18181818181818182
usdjpy,1,2,bb_expand,73,0.1643835616438356
usdjpy,1,2,breakout_down20,20,0.1
usdjpy,1,2,retest_down,20,0.1
usdjpy,1,3,adx_rising,140,0.14285714285714285
usdjpy,1,3,adx25,133,0.15037593984962405
usdjpy,1,3,di_strong_bear,118,0.17796610169491525
usdjpy,1,3,macd_bear,143,0.16783216783216784
usdjpy,1,3,atr_expand,15,0.13333333333333333
usdjpy,1,3,bb_bear,129,0.17829457364341086
usdjpy,1,3,breakout_down20,14,0.14285714285714285
usdjpy,1,3,retest_down,14,0.14285714285714285
usdjpy,1,3,elliott_pullback_bear,45,0.2222222222222222
usdjpy,1,3,range_tight,10,0.0
usdjpy,1,3,price20_bear,132,0.17424242424242425
usdjpy,1,3,price200_bear,113,0.20353982300884957
usdjpy,1,3,trend_bear,81,0.2345679012345679
usdjpy,1,3,volatility,99,0.21212121212121213
usdjpy,1,3,adx_up3,61,0.16393442622950818
usdjpy,1,3,rsi_down1,55,0.09090909090909091
usdjpy,1,3,di_cross_down,7,0.14285714285714285
usdjpy,1,3,price20_cross_down,8,0.0
usdjpy,1,3,price200_cross_down,4,0.0
usdjpy,1,3,atr_expand,15,0.13333333333333333
usdjpy,1,3,bb_expand,69,0.18840579710144928
usdjpy,1,3,breakout_down20,14,0.14285714285714285
usdjpy,1,3,retest_down,14,0.14285714285714285
usdjpy,1,4,adx_rising,142,0.14788732394366197
usdjpy,1,4,adx25,133,0.17293233082706766
usdjpy,1,4,di_strong_bear,117,0.1794871794871795
usdjpy,1,4,macd_bear,141,0.18439716312056736
usdjpy,1,4,atr_expand,19,0.2631578947368421
usdjpy,1,4,bb_bear,138,0.18840579710144928
usdjpy,1,4,breakout_down20,15,0.2
usdjpy,1,4,retest_down,14,0.21428571428571427
usdjpy,1,4,elliott_pullback_bear,50,0.2
usdjpy,1,4,range_tight,11,0.09090909090909091
usdjpy,1,4,price20_bear,138,0.18840579710144928
usdjpy,1,4,price200_bear,116,0.22413793103448276
usdjpy,1,4,trend_bear,80,0.2375
usdjpy,1,4,volatility,109,0.1834862385321101
usdjpy,1,4,adx_up3,61,0.14754098360655737
usdjpy,1,4,rsi_down1,48,0.1875
usdjpy,1,4,di_cross_down,7,0.14285714285714285
usdjpy,1,4,price20_cross_down,13,0.23076923076923078
usdjpy,1,4,price200_cross_down,5,0.0
usdjpy,1,4,atr_expand,19,0.2631578947368421
usdjpy,1,4,bb_expand,68,0.19117647058823528
usdjpy,1,4,breakout_down20,15,0.2
usdjpy,1,4,retest_down,14,0.21428571428571427
usdjpy,1,5,adx_rising,145,0.14482758620689656
usdjpy,1,5,adx25,132,0.18181818181818182
usdjpy,1,5,di_strong_bear,111,0.18018018018018017
usdjpy,1,5,macd_bear,140,0.18571428571428572
usdjpy,1,5,atr_expand,16,0.375
usdjpy,1,5,bb_bear,142,0.19014084507042253
usdjpy,1,5,breakout_down20,15,0.13333333333333333
usdjpy,1,5,retest_down,15,0.13333333333333333
usdjpy,1,5,elliott_pullback_bear,58,0.20689655172413793
usdjpy,1,5,range_tight,7,0.14285714285714285
usdjpy,1,5,price20_bear,140,0.17857142857142858
usdjpy,1,5,price200_bear,113,0.23008849557522124
usdjpy,1,5,trend_bear,80,0.2125
usdjpy,1,5,volatility,110,0.18181818181818182
usdjpy,1,5,adx_up3,54,0.18518518518518517
usdjpy,1,5,rsi_down1,42,0.21428571428571427
usdjpy,1,5,di_cross_down,9,0.1111111111111111
usdjpy,1,5,price20_cross_down,10,0.1
usdjpy,1,5,price200_cross_down,4,0.25
usdjpy,1,5,atr_expand,16,0.375
usdjpy,1,5,bb_expand,71,0.18309859154929578
usdjpy,1,5,breakout_down20,15,0.13333333333333333
usdjpy,1,5,retest_down,15,0.13333333333333333
usdjpy,1,6,adx_rising,137,0.15328467153284672
usdjpy,1,6,adx25,133,0.18045112781954886
usdjpy,1,6,di_strong_bear,120,0.175
usdjpy,1,6,macd_bear,135,0.2
usdjpy,1,6,atr_expand,20,0.35
usdjpy,1,6,bb_bear,148,0.1554054054054054
usdjpy,1,6,breakout_down20,17,0.29411764705882354
usdjpy,1,6,retest_down,17,0.29411764705882354
usdjpy,1,6,elliott_pullback_bear,54,0.14814814814814814
usdjpy,1,6,range_tight,7,0.14285714285714285
usdjpy,1,6,price20_bear,142,0.16901408450704225
usdjpy,1,6,price200_bear,118,0.2288135593220339
usdjpy,1,6,trend_bear,77,0.22077922077922077
usdjpy,1,6,volatility,111,0.18018018018018017
usdjpy,1,6,adx_up3,46,0.1956521739130435
usdjpy,1,6,rsi_down1,73,0.1917808219178082
usdjpy,1,6,di_cross_down,12,0.25
usdjpy,1,6,price20_cross_down,23,0.08695652173913043
usdjpy,1,6,price200_cross_down,10,0.2
usdjpy,1,6,atr_expand,20,0.35
usdjpy,1,6,bb_expand,68,0.17647058823529413
usdjpy,1,6,breakout_down20,17,0.29411764705882354
usdjpy,1,6,retest_down,17,0.29411764705882354
usdjpy,3,0,adx_rising,132,0.3560606060606061
usdjpy,3,0,adx25,134,0.35074626865671643
usdjpy,3,0,di_strong_bear,100,0.38
usdjpy,3,0,macd_bear,138,0.391304347826087
usdjpy,3,0,atr_expand,20,0.4
usdjpy,3,0,bb_bear,137,0.4233576642335766
usdjpy,3,0,breakout_down20,4,0.5
usdjpy,3,0,retest_down,4,0.5
usdjpy,3,0,elliott_pullback_bear,49,0.3877551020408163
usdjpy,3,0,range_tight,13,0.07692307692307693
usdjpy,3,0,price20_bear,137,0.43795620437956206
usdjpy,3,0,price200_bear,118,0.4406779661016949
usdjpy,3,0,trend_bear,80,0.425
usdjpy,3,0,volatility,108,0.39814814814814814
usdjpy,3,0,adx_up3,55,0.2909090909090909
usdjpy,3,0,rsi_down1,8,0.625
usdjpy,3,0,di_cross_down,2,0.5
usdjpy,3,0,price20_cross_down,9,0.5555555555555556
usdjpy,3,0,price200_cross_down,1,1.0
usdjpy,3,0,atr_expand,20,0.4
usdjpy,3,0,bb_expand,61,0.2459016393442623
usdjpy,3,0,breakout_down20,4,0.5
usdjpy,3,0,retest_down,4,0.5
usdjpy,3,1,adx_rising,144,0.3333333333333333
usdjpy,3,1,adx25,131,0.3435114503816794
usdjpy,3,1,di_strong_bear,117,0.39316239316239315
usdjpy,3,1,macd_bear,133,0.39097744360902253
usdjpy,3,1,atr_expand,22,0.36363636363636365
usdjpy,3,1,bb_bear,136,0.41911764705882354
usdjpy,3,1,breakout_down20,15,0.3333333333333333
usdjpy,3,1,retest_down,15,0.3333333333333333
usdjpy,3,1,elliott_pullback_bear,36,0.3888888888888889
usdjpy,3,1,range_tight,7,0.14285714285714285
usdjpy,3,1,price20_bear,131,0.42748091603053434
usdjpy,3,1,price200_bear,117,0.4358974358974359
usdjpy,3,1,trend_bear,81,0.43209876543209874
usdjpy,3,1,volatility,108,0.4074074074074074
usdjpy,3,1,adx_up3,54,0.2777777777777778
usdjpy,3,1,rsi_down1,55,0.4
usdjpy,3,1,di_cross_down,11,0.6363636363636364
usdjpy,3,1,price20_cross_down,19,0.42105263157894735
usdjpy,3,1,price200_cross_down,10,0.3
usdjpy,3,1,atr_expand,22,0.36363636363636365
usdjpy,3,1,bb_expand,63,0.2857142857142857
usdjpy,3,1,breakout_down20,15,0.3333333333333333
usdjpy,3,1,retest_down,15,0.3333333333333333
usdjpy,3,2,adx_rising,140,0.3357142857142857
usdjpy,3,2,adx25,129,0.3643410852713178
usdjpy,3,2,di_strong_bear,117,0.39316239316239315
usdjpy,3,2,macd_bear,138,0.38405797101449274
usdjpy,3,2,atr_expand,22,0.36363636363636365
usdjpy,3,2,bb_bear,125,0.392
usdjpy,3,2,breakout_down20,20,0.3
usdjpy,3,2,retest_down,20,0.3
usdjpy,3,2,elliott_pullback_bear,43,0.32558139534883723
usdjpy,3,2,range_tight,11,0.09090909090909091
usdjpy,3,2,price20_bear,129,0.40310077519379844
usdjpy,3,2,price200_bear,109,0.44954128440366975
usdjpy,3,2,trend_bear,79,0.43037974683544306
usdjpy,3,2,volatility,104,0.41346153846153844
usdjpy,3,2,adx_up3,61,0.29508196721311475
