pair,h,a,b,gap,n,hit
usdjpy,1,adx_up3,atr_expand,1,9,0.0
usdjpy,1,adx_up3,atr_expand,2,6,0.0
usdjpy,1,adx_up3,atr_expand,3,5,0.0
usdjpy,1,adx_up3,bb_expand,1,35,0.11428571428571428
usdjpy,1,adx_up3,bb_expand,2,32,0.09375
usdjpy,1,adx_up3,bb_expand,3,25,0.12
usdjpy,1,rsi_down1,adx_up3,1,11,0.09090909090909091
usdjpy,1,rsi_down1,adx_up3,2,23,0.08695652173913043
usdjpy,1,rsi_down1,adx_up3,3,15,0.06666666666666667
usdjpy,1,rsi_down1,atr_expand,1,8,0.25
usdjpy,1,rsi_down1,atr_expand,2,7,0.14285714285714285
usdjpy,1,rsi_down1,bb_expand,1,13,0.07692307692307693
usdjpy,1,rsi_down1,bb_expand,2,20,0.15
usdjpy,1,rsi_down1,bb_expand,3,18,0.05555555555555555
usdjpy,1,price200_cross_down,bb_expand,1,5,0.0
usdjpy,1,atr_expand,adx_up3,1,15,0.06666666666666667
usdjpy,1,atr_expand,adx_up3,2,14,0.14285714285714285
usdjpy,1,atr_expand,adx_up3,3,8,0.125
usdjpy,1,atr_expand,bb_expand,1,18,0.05555555555555555
usdjpy,1,atr_expand,bb_expand,2,18,0.1111111111111111
usdjpy,1,atr_expand,bb_expand,3,12,0.16666666666666666
usdjpy,1,bb_expand,adx_up3,1,39,0.10256410256410256
usdjpy,1,bb_expand,adx_up3,2,37,0.10810810810810811
usdjpy,1,bb_expand,adx_up3,3,31,0.12903225806451613
usdjpy,1,bb_expand,atr_expand,1,12,0.08333333333333333
usdjpy,1,bb_expand,atr_expand,2,7,0.0
usdjpy,1,breakout_down20,adx_up3,1,11,0.09090909090909091
usdjpy,1,breakout_down20,adx_up3,2,15,0.06666666666666667
usdjpy,1,breakout_down20,adx_up3,3,8,0.0
usdjpy,1,breakout_down20,atr_expand,1,5,0.0
usdjpy,1,breakout_down20,bb_expand,1,13,0.15384615384615385
usdjpy,1,breakout_down20,bb_expand,2,13,0.15384615384615385
usdjpy,1,breakout_down20,bb_expand,3,9,0.1111111111111111
usdjpy,1,retest_down,adx_up3,1,11,0.09090909090909091
usdjpy,1,retest_down,adx_up3,2,15,0.06666666666666667
usdjpy,1,retest_down,adx_up3,3,8,0.0
usdjpy,1,retest_down,atr_expand,1,5,0.0
usdjpy,1,retest_down,bb_expand,1,13,0.15384615384615385
usdjpy,1,retest_down,bb_expand,2,13,0.15384615384615385
usdjpy,1,retest_down,bb_expand,3,9,0.1111111111111111
usdjpy,3,adx_up3,atr_expand,1,9,0.1111111111111111
usdjpy,3,adx_up3,atr_expand,2,6,0.16666666666666666
usdjpy,3,adx_up3,atr_expand,3,5,0.4
usdjpy,3,adx_up3,bb_expand,1,35,0.2
usdjpy,3,adx_up3,bb_expand,2,32,0.1875
