h,lag,feature,n,wins,hit,rank_score
1,5,atr_expand,212,72.0,0.33962264150943394,1.8208162072220688
1,6,atr_expand,194,56.0,0.28865979381443296,1.5221029653586071
1,4,atr_expand,216,60.0,0.2777777777777778,1.4944159315390166
1,0,atr_expand,160,44.0,0.275,1.3973862003707276
1,6,breakout_down20,170,46.0,0.27058823529411763,1.3912736682301314
1,6,retest_down,170,46.0,0.27058823529411763,1.3912736682301314
1,4,retest_down,124,34.0,0.27419354838709675,1.3238924763570825
1,4,breakout_down20,126,34.0,0.2698412698412698,1.3071615947586674
1,1,volatility,470,98.0,0.20851063829787234,1.2833533898161893
1,0,volatility,453,95.0,0.2097130242825607,1.2830446662559118
1,5,volatility,462,96.0,0.2077922077922078,1.2753718553945423
1,2,volatility,457,95.0,0.20787746170678337,1.2736380142031676
1,3,volatility,447,93.0,0.2080536912751678,1.270124766475601
1,5,bb_bear,602,119.0,0.19767441860465115,1.2654952598181646
1,1,price20_bear,568,113.0,0.198943661971831,1.2620748046765413
1,0,price20_bear,598,118.0,0.19732441471571907,1.2619412518020452
1,1,bb_bear,589,116.0,0.1969439728353141,1.2565266795931624
1,0,bb_bear,604,118.0,0.19536423841059603,1.2513525795490716
1,2,atr_expand,194,46.0,0.23711340206185566,1.250298864401713
1,5,rsi_down1,242,55.0,0.22727272727272727,1.24842305530467
1,5,adx25,559,110.0,0.1967799642218247,1.2452111739001994
1,5,price20_bear,596,116.0,0.19463087248322147,1.2440644046200366
1,3,bb_bear,590,115.0,0.19491525423728814,1.2439132915283073
1,4,volatility,465,94.0,0.2021505376344086,1.242050429264109
1,6,adx25,563,110.0,0.19538188277087035,1.2377548271132977
1,4,adx25,564,109.99999999999999,0.19503546099290778,1.235905727705866
1,3,price20_bear,585,113.0,0.19316239316239317,1.2310857029439357
1,3,di_strong_bear,508,100.0,0.1968503937007874,1.226859845777662
1,1,di_strong_bear,504,99.0,0.19642857142857142,1.2226811200362315
1,4,bb_bear,590,113.0,0.19152542372881357,1.2222800168930326
1,3,adx25,580,111.0,0.19137931034482758,1.218081610363038
1,5,macd_bear,669,125.0,0.18684603886397608,1.2158590643469753
1,2,macd_bear,645,121.0,0.1875968992248062,1.2139019224150307
1,2,adx25,573,109.0,0.19022687609075042,1.2084408450241408
1,2,di_strong_bear,501,97.0,0.1936127744510978,1.2040004223754446
1,1,adx25,582,110.0,0.18900343642611683,1.2036092620250072
1,6,macd_bear,652,121.0,0.18558282208588958,1.202869375218479
1,4,macd_bear,668,123.0,0.18413173652694612,1.1979213164607367
1,0,di_strong_bear,419,83.0,0.19809069212410502,1.196518236362829
1,4,di_strong_bear,502,96.0,0.19123505976095617,1.1895949329274402
1,6,volatility,453,88.0,0.19426048565121412,1.1885045329528447
1,2,bb_bear,585,108.0,0.18461538461538463,1.1766128842296024
1,3,macd_bear,663,120.0,0.18099547511312217,1.176159665063608
1,4,price20_bear,592,109.00000000000001,0.18412162162162166,1.1756523471127571
1,1,retest_down,144,34.0,0.2361111111111111,1.17506213362708
1,2,price20_bear,580,107.0,0.18448275862068966,1.1741867775571628
1,0,adx25,581,107.0,0.18416523235800344,1.1724825093068225
1,1,macd_bear,629,114.0,0.18124006359300476,1.1682226699681335
1,1,breakout_down20,146,34.0,0.2328767123287671,1.1621555339073768
1,3,bb_expand,325,65.0,0.2,1.1573794762733416
1,6,di_strong_bear,494,92.0,0.1862348178137652,1.1555046845269625
1,5,price200_bear,503,93.0,0.1848906560636183,1.1504962086096169
1,4,rsi_down1,250,52.0,0.208,1.149294211339411
1,5,di_strong_bear,491,90.0,0.18329938900203666,1.1361773614751685
1,0,macd_bear,639,112.0,0.1752738654147105,1.1325265035236562
1,1,elliott_pullback_bear,214,45.0,0.2102803738317757,1.1293397722698355
1,6,price20_bear,610,107.0,0.17540983606557378,1.1252711059530505
1,0,trend_bear,351,67.0,0.1908831908831909,1.1192686289603204
1,1,price200_bear,510,91.0,0.1784313725490196,1.112763985703014
1,6,price200_bear,511,91.0,0.1780821917808219,1.1109345222673095
1,2,trend_bear,348,66.0,0.1896551724137931,1.1104446749004602
1,5,price20_cross_down,59,16.0,0.2711864406779661,1.1103307287381967
1,1,atr_expand,178,38.0,0.21348314606741572,1.107419441696341
1,3,trend_bear,351,66.0,0.18803418803418803,1.1025631270355396
1,3,atr_expand,156,34.0,0.21794871794871795,1.1020022909092466
1,1,trend_bear,352,66.0,0.1875,1.099962760674993
1,4,price200_bear,504,89.0,0.1765873015873016,1.0991779765982284
1,6,bb_bear,616,105.0,0.17045454545454544,1.095148129074782
1,2,price200_bear,493,87.0,0.17647058823529413,1.094565091268457
1,0,price200_bear,514,90.0,0.17509727626459143,1.0933366168477359
1,3,adx_up3,243,48.0,0.19753086419753085,1.0858603901813733
1,2,bb_expand,319,60.0,0.18808777429467086,1.0849506575160701
1,5,breakout_down20,148,32.0,0.21621621621621623,1.08193433642064
1,5,retest_down,148,32.0,0.21621621621621623,1.08193433642064
1,2,elliott_pullback_bear,214,43.0,0.20093457943925233,1.0791468935022872
1,4,bb_expand,315,59.0,0.1873015873015873,1.0780596527035804
1,3,price200_bear,500,86.0,0.172,1.0692562493865967
1,6,trend_bear,345,63.0,0.1826086956521739,1.0676105589235843
1,4,trend_bear,346,63.0,0.18208092485549132,1.0650504657128674
1,6,adx_rising,630,104.0,0.16507936507936508,1.0643171582607716
1,1,adx_rising,646,105.0,0.16253869969040247,1.052006750654171
1,3,breakout_down20,130,28.0,0.2153846153846154,1.0500425003817864
1,3,retest_down,130,28.0,0.2153846153846154,1.0500425003817864
1,0,adx_rising,626,102.0,0.16293929712460065,1.0494833021478562
1,6,bb_expand,313,57.0,0.18210862619808307,1.0470140581366467
1,5,trend_bear,349,62.0,0.17765042979942694,1.0406643426302993
1,0,bb_expand,302,55.0,0.18211920529801323,1.0405804778245538
1,2,adx_rising,620,100.0,0.16129032258064516,1.0373114648279804
1,5,adx_up3,251,47.0,0.18725099601593626,1.0353911040360035
1,5,bb_expand,311,56.0,0.18006430868167203,1.0341098987695532
1,1,bb_expand,318,57.0,0.1792452830188679,1.0333833108765287
1,6,adx_up3,227,43.0,0.1894273127753304,1.0284663526213258
1,3,elliott_pullback_bear,240,45.0,0.1875,1.0283994250294977
1,4,adx_rising,633,99.0,0.15639810426540285,1.0090882251015567
1,3,rsi_down1,266,48.0,0.18045112781954886,1.0082253218165864
1,5,adx_rising,651,101.0,0.15514592933947774,1.0053525357213395
1,3,adx_rising,616,96.0,0.15584415584415584,1.0012782894398007
1,6,rsi_down1,319,55.0,0.1724137931034483,0.9945381027230642
1,4,adx_up3,251,45.0,0.17928286852589642,0.9913319081195779
1,2,breakout_down20,154,30.0,0.19480519480519481,0.9824854123868663
1,0,elliott_pullback_bear,242,42.0,0.17355371900826447,0.9533412422326571
1,0,breakout_down20,40,10.0,0.25,0.928393016676077
1,0,retest_down,40,10.0,0.25,0.928393016676077
1,2,retest_down,152,28.0,0.18421052631578946,0.9266596170986064
1,6,elliott_pullback_bear,237,40.0,0.16877637130801687,0.9235899871175485
1,5,price200_cross_down,20,6.0,0.3,0.9133567313170269
1,2,adx_up3,241,40.0,0.16597510373443983,0.9110270084907364
1,0,rsi_down1,42,10.0,0.23809523809523808,0.8955238370698958
1,0,adx_up3,244,39.0,0.1598360655737705,0.8792994680788704
1,5,elliott_pullback_bear,240,38.0,0.15833333333333333,0.8684261811360203
1,2,rsi_down1,287,44.0,0.15331010452961671,0.8681890631567304
1,4,di_cross_down,51,11.0,0.21568627450980393,0.8522290373410922
1,1,adx_up3,245,37.0,0.1510204081632653,0.8314174156306017
1,4,elliott_pullback_bear,246,36.0,0.14634146341463414,0.8062519517016552
1,3,price20_cross_down,63,12.0,0.19047619047619047,0.7921682063542231
1,1,price20_cross_down,70,13.0,0.18571428571428572,0.7916405485933872
1,2,price200_cross_down,19,5.0,0.2631578947368421,0.7883505983036818
1,1,rsi_down1,283,39.0,0.13780918727915195,0.7784805487218623
1,4,price200_cross_down,26,6.0,0.23076923076923078,0.7605777383086914
1,0,price20_cross_down,39,8.0,0.20512820512820512,0.7566932213567048
1,5,di_cross_down,51,9.0,0.17647058823529413,0.6972783032790755
1,1,price200_cross_down,37,7.0,0.1891891891891892,0.6881919761644514
1,6,di_cross_down,55,9.0,0.16363636363636364,0.6586939130293881
1,1,di_cross_down,50,8.0,0.16,0.6290921012358921
1,2,range_tight,81,11.0,0.13580246913580246,0.5984433545667505
1,0,range_tight,82,11.0,0.13414634146341464,0.5927713010458852
1,5,range_tight,66,9.0,0.13636363636363635,0.5733671753714953
1,6,price20_cross_down,89,11.0,0.12359550561797752,0.5561562513891338
1,3,price200_cross_down,24,4.0,0.16666666666666666,0.5364793041447
1,6,range_tight,62,8.0,0.12903225806451613,0.5345980292118107
1,3,di_cross_down,43,6.0,0.13953488372093023,0.5280264605467341
1,2,price20_cross_down,74,9.0,0.12162162162162163,0.525099905700362
1,6,price200_cross_down,35,5.0,0.14285714285714285,0.5119312769223013
1,3,range_tight,71,8.0,0.11267605633802817,0.4818778725651893
1,0,di_cross_down,10,2.0,0.2,0.47957905455967414
1,1,range_tight,72,8.0,0.1111111111111111,0.4767177156831545
1,4,price20_cross_down,72,8.0,0.1111111111111111,0.4767177156831545
1,2,di_cross_down,51,6.0,0.11764705882352941,0.4648522021860503
1,4,range_tight,64,7.0,0.109375,0.4565736076448353
1,0,price200_cross_down,6,0.0,0.0,0.0
3,0,volatility,453,200.0,0.44150110375275936,2.70114666580192
3,1,volatility,470,203.0,0.4319148936170213,2.6583748789049633
3,2,volatility,457,194.0,0.424507658643326,2.600902892162258
3,3,volatility,447,189.0,0.4228187919463087,2.581221299611705
3,5,volatility,462,194.0,0.4199134199134199,2.5773139577764703
3,4,volatility,465,193.0,0.4150537634408602,2.550167370723117
3,5,atr_expand,212,100.0,0.4716981132075472,2.5289113989195404
3,1,bb_bear,589,231.0,0.3921901528013582,2.502221232638108
3,0,bb_bear,604,235.0,0.3890728476821192,2.492100476220609
3,4,atr_expand,216,100.0,0.46296296296296297,2.4906932192316944
3,1,price20_bear,568,221.0,0.3890845070422535,2.4683055914470406
3,5,price20_bear,596,230.0,0.3859060402684564,2.466679422953521
3,0,price20_bear,598,230.0,0.38461538461538464,2.459715999275173
3,4,bb_bear,590,227.0,0.3847457627118644,2.455376671103702
3,5,macd_bear,669,252.0,0.37668161434977576,2.451171873723502
3,5,bb_bear,602,230.0,0.38205980066445183,2.4459152080519146
3,3,price20_bear,585,224.0,0.38290598290598293,2.4403822784021383
3,6,volatility,453,180.0,0.3973509933774834,2.4310319992217275
3,3,bb_bear,590,224.0,0.37966101694915255,2.42292675915079
3,3,adx25,580,220.0,0.3793103448275862,2.4142158043231383
3,5,rsi_down1,242,106.0,0.4380165289256198,2.4060517065871823
3,6,macd_bear,652,242.0,0.37116564417177916,2.405738750436958
3,4,price20_bear,592,223.0,0.3766891891891892,2.4052337009738056
3,2,macd_bear,645,239.0,0.3705426356589147,2.3977071029520025
3,2,price20_bear,580,218.0,0.3758620689655172,2.392268387920201
3,3,macd_bear,663,244.0,0.3680241327300151,2.391524652296003
3,4,macd_bear,668,244.0,0.3652694610778443,2.376364237531868
3,6,price20_bear,610,225.0,0.36885245901639346,2.366224288219031
3,6,adx25,563,209.0,0.37122557726465366,2.3517341715152655
3,2,adx25,573,212.0,0.3699825479930192,2.350362010505669
3,0,atr_expand,160,74.0,0.4625,2.3501495188053143
3,4,adx25,564,209.0,0.37056737588652483,2.348220882641146
3,5,adx25,559,207.0,0.370304114490161,2.343261027248557
3,2,bb_bear,585,215.0,0.36752136752136755,2.342331204716338
3,5,adx_rising,651,235.0,0.36098310291858676,2.3391865930149973
3,1,atr_expand,178,80.0,0.449438202247191,2.331409350939665
3,1,breakout_down20,146,68.0,0.4657534246575342,2.3243110678147536
3,1,bb_expand,318,128.0,0.4025157232704403,2.320580066529749
3,3,di_strong_bear,508,189.0,0.3720472440944882,2.318765108519781
3,1,macd_bear,629,226.0,0.35930047694753575,2.3159502053754224
3,0,adx_rising,626,225.0,0.35942492012779553,2.3150366959143884
3,1,adx25,582,211.0,0.36254295532646047,2.3087414026116044
3,6,bb_bear,616,221.0,0.3587662337662338,2.3050260621478746
3,4,di_strong_bear,502,186.0,0.3705179282868526,2.3048401825469154
3,3,bb_expand,325,129.0,0.39692307692307693,2.29695311445017
3,2,di_strong_bear,501,185.0,0.36926147704590817,2.2962894653552293
3,0,macd_bear,639,227.0,0.35524256651017216,2.295388538391696
3,1,adx_rising,646,229.0,0.3544891640866873,2.294376627617192
3,0,adx25,581,209.0,0.35972461273666095,2.290176116309588
3,5,di_strong_bear,491,181.0,0.36863543788187375,2.284978915855617
3,3,adx_up3,243,101.0,0.4156378600823045,2.2848312376733064
3,4,adx_rising,633,224.0,0.353870458135861,2.283189519421704
3,2,atr_expand,194,84.0,0.4329896907216495,2.283154448037911
3,6,atr_expand,194,84.0,0.4329896907216495,2.283154448037911
3,1,retest_down,144,66.0,0.4583333333333333,2.2810029652760964
3,5,price200_bear,503,184.0,0.3658051689860835,2.27625056327064
3,6,adx_rising,630,222.0,0.3523809523809524,2.2719077801335703
3,6,di_strong_bear,494,180.0,0.3643724696356275,2.2607700349440574
3,4,price200_bear,504,183.0,0.3630952380952381,2.2601075249154583
3,4,bb_expand,315,123.0,0.3904761904761905,2.2474802929244135
3,3,adx_rising,616,215.0,0.349025974025974,2.242446169057887
3,2,adx_rising,620,216.0,0.34838709677419355,2.2405927640284378
3,3,price200_bear,500,180.0,0.36,2.237978196390551
3,1,price200_bear,510,183.0,0.3588235294117647,2.237756147073094
3,1,di_strong_bear,504,181.0,0.35912698412698413,2.2354068962278575
3,6,price200_bear,511,183.0,0.35812133072407043,2.234077116207886
3,2,price200_bear,493,177.0,0.359026369168357,2.2268738063737574
3,4,adx_up3,251,101.0,0.40239043824701193,2.224989393779497
3,0,price200_bear,514,183.0,0.3560311284046693,2.2231177875903967
3,3,atr_expand,156,68.0,0.4358974358974359,2.2040045818184932
3,5,bb_expand,311,119.0,0.38263665594855306,2.1974835348853006
3,2,bb_expand,319,121.0,0.3793103448275862,2.187983825990741
3,6,breakout_down20,170,72.0,0.4235294117647059,2.177645741577597
3,6,retest_down,170,72.0,0.4235294117647059,2.177645741577597
3,0,di_strong_bear,419,151.0,0.360381861575179,2.1767982372384
3,6,bb_expand,313,118.0,0.3769968051118211,2.1675027870197248
3,0,bb_expand,302,113.0,0.3741721854304636,2.1379198908031745
3,2,elliott_pullback_bear,214,85.0,0.397196261682243,2.1331973476208006
3,6,rsi_down1,319,116.0,0.36363636363636365,2.0975712711977352
3,4,rsi_down1,250,94.0,0.376,2.0775703051135506
3,0,adx_up3,244,92.0,0.3770491803278688,2.074244899057848
3,0,trend_bear,351,123.0,0.3504273504273504,2.054776736748051
3,1,trend_bear,352,123.0,0.3494318181818182,2.04993059943976
3,2,adx_up3,241,90.0,0.37344398340248963,2.0498107691041567
3,1,elliott_pullback_bear,214,81.0,0.37850467289719625,2.032811590085704
3,5,breakout_down20,148,60.0,0.40540540540540543,2.0286268807887
3,5,retest_down,148,60.0,0.40540540540540543,2.0286268807887
3,2,trend_bear,348,120.0,0.3448275862068966,2.018990318000837
3,6,elliott_pullback_bear,237,87.0,0.3670886075949367,2.008808221980668
3,5,adx_up3,251,91.0,0.36254980079681276,2.004693414197369
3,3,trend_bear,351,120.0,0.3418803418803419,2.0046602309737085
3,4,trend_bear,346,117.0,0.33815028901734107,1.9779508648953255
3,6,adx_up3,227,82.0,0.36123348017621143,1.9612614166267142
3,1,adx_up3,245,87.0,0.3551020408163265,1.9549544637800633
3,6,trend_bear,345,115.0,0.3333333333333333,1.9488129250192412
3,5,trend_bear,349,116.0,0.332378223495702,1.9470494152437858
3,4,retest_down,124,50.0,0.4032258064516129,1.9469007005251215
3,1,rsi_down1,283,97.0,0.34275618374558303,1.9362208519492474
3,3,rsi_down1,266,92.0,0.3458646616541353,1.932431866815124
3,4,breakout_down20,126,50.0,0.3968253968253968,1.9222964628803931
3,3,elliott_pullback_bear,240,84.0,0.35,1.9196789267217291
3,5,elliott_pullback_bear,240,83.0,0.3458333333333333,1.896825606165518
3,2,rsi_down1,287,94.0,0.32752613240418116,1.8547675440166511
3,4,elliott_pullback_bear,246,82.0,0.3333333333333333,1.8364627788759924
3,5,price20_cross_down,59,26.0,0.4406779661016949,1.8042874341995696
3,2,breakout_down20,154,54.0,0.35064935064935066,1.7684737422963592
3,3,breakout_down20,130,46.0,0.35384615384615387,1.725069822055792
3,3,retest_down,130,46.0,0.35384615384615387,1.725069822055792
3,2,retest_down,152,52.0,0.34210526315789475,1.7209392888974122
3,0,elliott_pullback_bear,242,75.0,0.30991735537190085,1.7023950754154593
3,6,price20_cross_down,89,32.0,0.3595505617977528,1.6179090949502075
3,1,price20_cross_down,70,26.0,0.37142857142857144,1.5832810971867743
3,5,di_cross_down,51,20.0,0.39215686274509803,1.5495073406201676
3,0,rsi_down1,42,17.0,0.40476190476190477,1.5223905230188228
3,5,price200_cross_down,20,10.0,0.5,1.5222612188617115
3,4,price200_cross_down,26,12.0,0.46153846153846156,1.5211554766173827
3,0,breakout_down20,40,16.0,0.4,1.4854288266817233
3,0,retest_down,40,16.0,0.4,1.4854288266817233
3,4,di_cross_down,51,19.0,0.37254901960784315,1.4720319735891594
3,0,di_cross_down,10,6.0,0.6,1.4387371636790223
3,6,price200_cross_down,35,14.0,0.4,1.433407575382444
3,3,price20_cross_down,63,21.0,0.3333333333333333,1.3862943611198904
3,1,price200_cross_down,37,14.0,0.3783783783783784,1.3763839523289028
3,1,range_tight,72,23.0,0.3194444444444444,1.3705634325890692
3,0,price20_cross_down,39,14.0,0.358974358974359,1.3242131373742336
3,2,price20_cross_down,74,22.0,0.2972972972972973,1.2835775472675517
3,6,range_tight,62,19.0,0.3064516129032258,1.2696703193780503
3,1,di_cross_down,50,16.0,0.32,1.2581842024717842
3,4,price20_cross_down,72,21.0,0.2916666666666667,1.2513840036682808
3,2,range_tight,81,23.0,0.2839506172839506,1.2512906504577508
3,3,price200_cross_down,24,9.0,0.375,1.2070784343255752
3,6,di_cross_down,55,16.0,0.2909090909090909,1.1710114009411343
3,3,di_cross_down,43,13.0,0.3023255813953488,1.1440573311845905
3,0,range_tight,82,21.0,0.25609756097560976,1.1316543019966898
