conditions,pair,event_timestamp,hit100,hit150,hit200,hit300
price20+price200+macd+volatility,audjpy,2021-06-17 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-06-18 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-06-20 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-07-06 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-07-19 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-07-19 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-08-19 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-09-14 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-09-16 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-09-20 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2021-11-26 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2021-11-26 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-01-21 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2022-04-25 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-05-10 04:00:00+00:00,0,0,0,1
price20+price200+macd+volatility,audjpy,2022-05-11 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-05-12 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-07-05 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-07-29 04:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,audjpy,2022-09-22 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2022-09-23 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-10-06 16:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2022-10-07 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-11-13 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2022-12-20 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2022-12-21 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-07 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-09 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-10 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-10 16:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-13 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-13 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-15 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-03-20 08:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2023-07-27 20:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2023-08-03 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-12-05 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-12-07 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-12-07 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2023-12-07 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-12-08 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2023-12-14 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-01-31 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-03-05 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-07-17 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-07-18 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2024-07-23 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-07-24 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-07-24 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2024-07-24 16:00:00+00:00,0,0,1,0
