conditions,pair,events,hit100_rate,hit150_rate,hit200_rate,hit300_rate
price20+price200+macd+volatility,audjpy,98,0.3163265306122449,0.12244897959183673,0.07142857142857142,0.030612244897959183
price20+price200+macd+volatility,audnzd,47,0.06382978723404255,0.0,0.0,0.0
price20+price200+macd+volatility,audusd,63,0.15873015873015872,0.0,0.0,0.0
price20+price200+macd+volatility,eurgbp,21,0.0,0.0,0.0,0.0
price20+price200+macd+volatility,eurjpy,143,0.3706293706293706,0.20279720279720279,0.06993006993006994,0.04895104895104895
price20+price200+macd+volatility,eurusd,86,0.11627906976744186,0.03488372093023256,0.023255813953488372,0.0
price20+price200+macd+volatility,gbpjpy,173,0.3699421965317919,0.17341040462427745,0.12716763005780346,0.05202312138728324
price20+price200+macd+volatility,gbpusd,110,0.2,0.08181818181818182,0.01818181818181818,0.0
price20+price200+macd+volatility,nzdusd,61,0.04918032786885246,0.0,0.0,0.0
price20+price200+macd+volatility,usdcad,56,0.17857142857142858,0.017857142857142856,0.017857142857142856,0.0
price20+price200+macd+volatility,usdchf,72,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.0
price20+price200+macd+volatility,usdjpy,128,0.390625,0.1875,0.09375,0.03125
price200+macd+volatility,audjpy,102,0.3235294117647059,0.11764705882352941,0.06862745098039216,0.029411764705882353
price200+macd+volatility,audnzd,49,0.061224489795918366,0.0,0.0,0.0
price200+macd+volatility,audusd,65,0.15384615384615385,0.0,0.0,0.0
price200+macd+volatility,eurgbp,22,0.0,0.0,0.0,0.0
price200+macd+volatility,eurjpy,148,0.36486486486486486,0.19594594594594594,0.06756756756756757,0.0472972972972973
price200+macd+volatility,eurusd,94,0.10638297872340426,0.031914893617021274,0.02127659574468085,0.0
price200+macd+volatility,gbpjpy,179,0.3575418994413408,0.16759776536312848,0.12290502793296089,0.05027932960893855
price200+macd+volatility,gbpusd,116,0.1896551724137931,0.07758620689655173,0.017241379310344827,0.0
price200+macd+volatility,nzdusd,66,0.045454545454545456,0.0,0.0,0.0
price200+macd+volatility,usdcad,62,0.1774193548387097,0.016129032258064516,0.016129032258064516,0.0
price200+macd+volatility,usdchf,75,0.18666666666666668,0.02666666666666667,0.02666666666666667,0.0
price200+macd+volatility,usdjpy,130,0.38461538461538464,0.18461538461538463,0.09230769230769231,0.03076923076923077
price200+volatility,audjpy,161,0.2484472049689441,0.09937888198757763,0.055900621118012424,0.018633540372670808
price200+volatility,audnzd,69,0.057971014492753624,0.0,0.0,0.0
price200+volatility,audusd,100,0.15,0.0,0.0,0.0
price200+volatility,eurgbp,44,0.0,0.0,0.0,0.0
price200+volatility,eurjpy,195,0.3128205128205128,0.15897435897435896,0.05641025641025641,0.035897435897435895
price200+volatility,eurusd,150,0.09333333333333334,0.02666666666666667,0.013333333333333334,0.0
price200+volatility,gbpjpy,249,0.30522088353413657,0.14457831325301204,0.0963855421686747,0.040160642570281124
price200+volatility,gbpusd,168,0.17261904761904762,0.06547619047619048,0.011904761904761904,0.0
price200+volatility,nzdusd,87,0.08045977011494253,0.0,0.0,0.0
price200+volatility,usdcad,90,0.14444444444444443,0.011111111111111112,0.011111111111111112,0.0
price200+volatility,usdchf,115,0.13043478260869565,0.017391304347826087,0.017391304347826087,0.0
price200+volatility,usdjpy,171,0.3508771929824561,0.15789473684210525,0.07602339181286549,0.029239766081871343
