pair,latest_completed_h4,state,direction,signal_candle,entry_candidate_h4,close,ema20,ema200,gc,dc,sma_stack_bull,di_strong_bull,strong_close_bear,source
usdjpy,2026-09-25T16:00:00+00:00,WAIT,,2026-05-26T12:00:00+00:00,2026-05-26T16:00:00+00:00,157.261,157.88139889160885,157.472701411083,False,False,False,False,False,dukascopy_h4_csv
eurjpy,2026-09-25T16:00:00+00:00,WAIT,,2026-09-11T16:00:00+00:00,2026-09-11T20:00:00+00:00,179.2,180.03237316408064,181.5281178911777,False,False,False,False,False,dukascopy_h4_csv
gbpjpy,2026-09-25T16:00:00+00:00,WAIT,,2026-07-06T04:00:00+00:00,2026-07-06T08:00:00+00:00,208.354,209.392551548498,211.64610140924356,False,False,False,False,False,dukascopy_h4_csv
audjpy,2026-09-25T16:00:00+00:00,WAIT,,2026-07-20T08:00:00+00:00,2026-07-20T12:00:00+00:00,110.497,111.23138541151005,111.99425181933607,False,False,False,False,False,dukascopy_h4_csv
eurusd,2026-09-25T16:00:00+00:00,WAIT,,2026-09-21T12:00:00+00:00,2026-09-21T16:00:00+00:00,1.13951,1.1403018684393014,1.1527768831097363,False,False,False,False,False,dukascopy_h4_csv
gbpusd,2026-09-25T16:00:00+00:00,WAIT,,2026-09-16T08:00:00+00:00,2026-09-16T12:00:00+00:00,1.32491,1.3262917198612216,1.3440448783673011,False,False,False,False,False,dukascopy_h4_csv
audusd,2026-09-25T16:00:00+00:00,WAIT,,2026-09-22T04:00:00+00:00,2026-09-22T08:00:00+00:00,0.70261,0.7045006590478042,0.711228739894504,False,False,False,False,True,dukascopy_h4_csv
nzdusd,2026-09-25T16:00:00+00:00,WAIT,,2026-09-08T00:00:00+00:00,2026-09-08T04:00:00+00:00,0.56657,0.567866946546672,0.5799851299867489,False,False,False,False,False,dukascopy_h4_csv
usdcad,2026-09-25T16:00:00+00:00,SEARCH_TOUCH,long,2026-05-20T00:00:00+00:00,2026-05-20T04:00:00+00:00,1.41441,1.4109838256166836,1.3952576493624829,False,False,True,True,False,dukascopy_h4_csv
usdchf,2026-09-25T16:00:00+00:00,WAIT,,2026-06-05T12:00:00+00:00,2026-06-05T16:00:00+00:00,0.82843,0.826301793399336,0.8152815639206112,False,False,True,True,False,dukascopy_h4_csv
audnzd,2026-09-25T16:00:00+00:00,WAIT,,2026-09-01T00:00:00+00:00,2026-09-01T04:00:00+00:00,1.24,1.2404998864030292,1.2263809223565083,False,False,False,False,True,dukascopy_h4_csv
eurgbp,2026-09-25T12:00:00+00:00,WAIT,,2026-09-23T12:00:00+00:00,2026-09-23T16:00:00+00:00,0.86049,0.8597004986354753,0.8576194516906716,False,False,True,True,False,dukascopy_h4_csv
