timeframe,period,from_target,to_target,condition,samples,exit_pips_mean,hold_pips_mean,opportunity_cost_pips_mean,exit_positive_rate,hold_minus_exit_mean,bars_after_target_mean,post_exit_mae_mean,post_exit_mfe_mean
h4,discovery,50,100,price20_cross_down+di_spread_down3,6159,-63.57189479,-47.40659198,16.16530281,0.01574931,16.16530281,4.25685988,-23.31152785,23.04630622
h4,validation,50,100,price20_cross_down+di_spread_down3,1360,-63.08441176,-48.05779412,15.02661765,0.02132353,15.02661765,4.35882353,-24.56044118,23.30897059
h4,oos,50,100,price20_cross_down+di_spread_down3,951,-77.94532072,-60.03028391,17.91503680,0.00736067,17.91503680,4.38485804,-27.86361725,23.55036803
h4,discovery,50,100,price20_cross_down,10925,-50.98832952,-38.77630206,12.21202746,0.04768879,12.21202746,3.55606407,-29.72812815,28.78610526
h4,validation,50,100,price20_cross_down,2407,-48.88712090,-35.10340673,13.78371417,0.05857914,13.78371417,3.60448691,-29.88778563,31.96094724
h4,oos,50,100,price20_cross_down,1503,-61.15342648,-48.20958084,12.94384564,0.03592814,12.94384564,3.73586161,-29.07631404,26.67332003
h4,discovery,50,100,adx_down3+di_spread_down3,4122,-43.32006308,-33.49747695,9.82258612,0.14143620,9.82258612,4.19650655,-23.45380883,24.12639495
h4,validation,50,100,adx_down3+di_spread_down3,893,-48.13572228,-35.80481523,12.33090705,0.12653975,12.33090705,4.29003359,-22.24524076,24.31298992
h4,oos,50,100,adx_down3+di_spread_down3,692,-28.85852601,-20.62138728,8.23713873,0.20231214,8.23713873,4.16907514,-19.23540462,19.30982659
h4,discovery,50,100,adx_down3,9527,-13.23431301,-10.35218852,2.88212449,0.38144222,2.88212449,2.28088590,-38.37933242,37.33071271
h4,validation,50,100,adx_down3,2173,-11.66415094,-7.50506213,4.15908882,0.39070410,4.15908882,2.50483203,-36.96346065,39.14684768
h4,oos,50,100,adx_down3,1681,-3.76662701,-4.01885782,-0.25223081,0.46995836,-0.25223081,2.07198096,-44.77852469,31.73961927
h4,discovery,100,150,price20_cross_down+di_spread_down3,2237,-93.74027716,-66.81300849,26.92726866,0.00402325,26.92726866,4.32230666,-26.98296826,28.70894055
h4,validation,100,150,price20_cross_down+di_spread_down3,512,-93.36796875,-66.81992188,26.54804688,0.00000000,26.54804688,4.32617188,-36.92089844,28.70058594
h4,oos,100,150,price20_cross_down+di_spread_down3,254,-123.69173228,-90.84330709,32.84842520,0.01181102,32.84842520,4.24803150,-37.33031496,38.67874016
h4,discovery,100,150,price20_cross_down,3294,-82.85859138,-62.30300546,20.55558591,0.02155434,20.55558591,3.80752884,-37.47298118,36.53063145
h4,validation,100,150,price20_cross_down,737,-81.64531886,-59.28873813,22.35658073,0.01899593,22.35658073,3.78833107,-44.72917232,35.60122117
h4,oos,100,150,price20_cross_down,327,-106.52415902,-79.40061162,27.12354740,0.01834862,27.12354740,4.02752294,-36.91743119,38.19327217
h4,discovery,100,150,adx_down3+di_spread_down3,1774,-63.55789177,-48.86634724,14.69154453,0.11499436,14.69154453,4.34498309,-30.11087937,29.86009019
h4,validation,100,150,adx_down3+di_spread_down3,342,-73.42309942,-58.43040936,14.99269006,0.05263158,14.99269006,4.50292398,-30.94795322,22.07602339
h4,oos,100,150,adx_down3+di_spread_down3,223,-40.60493274,-36.44215247,4.16278027,0.14349776,4.16278027,4.39461883,-29.13049327,16.91614350
h4,discovery,100,150,adx_down3,3262,-29.74411404,-27.90968731,1.83442673,0.30472103,1.83442673,2.60760270,-52.26051502,42.64451257
h4,validation,100,150,adx_down3,761,-24.92838371,-22.50788436,2.42049934,0.34822602,2.42049934,2.60446781,-48.26268068,43.77201051
h4,oos,100,150,adx_down3,474,-10.93987342,-15.41856540,-4.47869198,0.36286920,-4.47869198,2.20464135,-55.66518987,33.64578059
h4,discovery,150,200,price20_cross_down+di_spread_down3,725,-135.64165517,-80.99503448,54.64662069,0.00827586,54.64662069,4.42206897,-32.06813793,36.42248276
h4,validation,150,200,price20_cross_down+di_spread_down3,235,-124.75489362,-90.68127660,34.07361702,0.00000000,34.07361702,4.09787234,-40.94382979,34.91872340
h4,oos,150,200,price20_cross_down+di_spread_down3,93,-124.60537634,-101.84516129,22.76021505,0.00000000,22.76021505,3.77419355,-39.53118280,38.35806452
h4,discovery,150,200,price20_cross_down,1026,-120.31793372,-76.93235867,43.38557505,0.02241715,43.38557505,3.89473684,-43.79259259,48.69522417
h4,validation,150,200,price20_cross_down,315,-112.72317460,-86.20698413,26.51619048,0.00634921,26.51619048,3.73015873,-47.87587302,41.42698413
h4,oos,150,200,price20_cross_down,106,-119.61792453,-98.00754717,21.61037736,0.00000000,21.61037736,3.74528302,-36.39339623,38.97452830
h4,discovery,150,200,adx_down3+di_spread_down3,747,-74.73212851,-46.12141901,28.61070950,0.10441767,28.61070950,4.35341365,-35.60093708,33.30749665
h4,validation,150,200,adx_down3+di_spread_down3,179,-99.22569832,-82.34301676,16.88268156,0.01675978,16.88268156,4.60893855,-30.57039106,25.38379888
h4,oos,150,200,adx_down3+di_spread_down3,77,-58.85974026,-72.46883117,-13.60909091,0.12987013,-13.60909091,4.49350649,-44.97272727,16.80129870
h4,discovery,150,200,adx_down3,1237,-44.25028294,-30.47590946,13.77437348,0.27890057,13.77437348,2.65804365,-62.55424414,51.00436540
h4,validation,150,200,adx_down3,318,-48.76540881,-48.99339623,-0.22798742,0.25157233,-0.22798742,2.75786164,-55.38867925,47.28459119
h4,oos,150,200,adx_down3,155,-28.96193548,-37.13290323,-8.17096774,0.30967742,-8.17096774,2.60000000,-50.20322581,32.33870968
h4,discovery,200,300,price20_cross_down+di_spread_down3,392,-161.13852041,-103.73494898,57.40357143,0.00765306,57.40357143,4.43877551,-36.83979592,39.67576531
h4,validation,200,300,price20_cross_down+di_spread_down3,134,-147.39626866,-128.65149254,18.74477612,0.00000000,18.74477612,4.22388060,-40.71492537,40.95597015
h4,oos,200,300,price20_cross_down+di_spread_down3,17,-153.81176471,-173.16470588,-19.35294118,0.00000000,-19.35294118,3.05882353,-93.94117647,39.37647059
h4,discovery,200,300,price20_cross_down,530,-144.03830189,-95.03735849,49.00094340,0.01509434,49.00094340,4.01698113,-46.34943396,46.83358491
h4,validation,200,300,price20_cross_down,155,-145.84903226,-129.57483871,16.27419355,0.00000000,16.27419355,4.15483871,-42.77806452,40.20387097
h4,oos,200,300,price20_cross_down,21,-144.66190476,-160.32857143,-15.66666667,0.00000000,-15.66666667,3.61904762,-76.04761905,31.87619048
h4,discovery,200,300,adx_down3+di_spread_down3,496,-102.04616935,-79.12318548,22.92298387,0.06653226,22.92298387,4.34677419,-43.05544355,29.63850806
h4,validation,200,300,adx_down3+di_spread_down3,90,-133.67555556,-113.74111111,19.93444444,0.00000000,19.93444444,5.04444444,-20.51111111,27.47666667
h4,oos,200,300,adx_down3+di_spread_down3,29,-75.46551724,-61.92758621,13.53793103,0.00000000,13.53793103,5.13793103,-14.00689655,17.81379310
h4,discovery,200,300,adx_down3,765,-63.94274510,-50.36470588,13.57803922,0.22483660,13.57803922,2.75686275,-63.70065359,51.90771242
h4,validation,200,300,adx_down3,162,-61.92962963,-52.66481481,9.26481481,0.27160494,9.26481481,2.90740741,-50.20370370,60.17530864
h4,oos,200,300,adx_down3,44,-46.11818182,-34.55227273,11.56590909,0.15909091,11.56590909,3.59090909,-31.12500000,23.69090909
d1,discovery,50,100,price20_cross_down+di_spread_down3,1182,-113.40964467,-75.98248731,37.42715736,0.01099831,37.42715736,3.42131980,-37.58739425,44.26675127
d1,validation,50,100,price20_cross_down+di_spread_down3,381,-100.09658793,-52.94041995,47.15616798,0.01574803,47.15616798,3.44094488,-39.04173228,45.66430446
d1,oos,50,100,price20_cross_down+di_spread_down3,239,-128.40627615,-91.43933054,36.96694561,0.00836820,36.96694561,3.07949791,-75.69958159,30.71129707
d1,discovery,50,100,price20_cross_down,2817,-80.04959176,-50.02573660,30.02385517,0.05963791,30.02385517,2.70962016,-49.61380902,50.31565495
d1,validation,50,100,price20_cross_down,709,-80.27179126,-42.31212976,37.95966150,0.06629055,37.95966150,2.96755994,-51.19929478,50.96361072
d1,oos,50,100,price20_cross_down,475,-81.61305263,-51.73978947,29.87326316,0.06947368,29.87326316,2.70736842,-57.18421053,44.55284211
d1,discovery,50,100,adx_down3+di_spread_down3,713,-106.61136045,-86.10490884,20.50645161,0.06591865,20.50645161,3.39130435,-45.21416550,44.18569425
d1,validation,50,100,adx_down3+di_spread_down3,217,-76.74746544,-60.11843318,16.62903226,0.07834101,16.62903226,3.44700461,-45.39907834,46.75345622
d1,oos,50,100,adx_down3+di_spread_down3,140,-72.49571429,-49.90500000,22.59071429,0.05714286,22.59071429,3.55000000,-29.79785714,32.83071429
d1,discovery,50,100,adx_down3,2199,-25.33829013,-22.15961801,3.17867212,0.38562983,3.17867212,2.18053661,-59.00427467,61.35411551
d1,validation,50,100,adx_down3,479,-22.58789144,-17.63924843,4.94864301,0.34655532,4.94864301,2.22546973,-58.07181628,55.95720251
