timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
h4,discovery,50,100,price20_cross_down+di_spread_down3,4407,0.97163603,0.72833484,1.33405130,0.96630892,-66.85085092,32.20835035,-32.57901066,3.56387565
h4,validation,50,100,price20_cross_down+di_spread_down3,993,0.97280967,0.71882535,1.35333245,0.96072838,-64.68036254,31.92366566,-33.63766365,3.75226586
h4,oos,50,100,price20_cross_down+di_spread_down3,711,0.99437412,0.75698588,1.31359665,0.98562475,-88.42939522,31.49985935,-37.26905767,3.83966245
h4,discovery,50,100,price20_cross_down,8671,0.92607542,0.72833484,1.27149681,0.92037753,-51.40380579,36.26896552,-37.45586438,2.92077038
h4,validation,50,100,price20_cross_down,1950,0.89692308,0.71882535,1.24776217,0.88263789,-48.15558974,39.45128205,-36.89225641,3.04307692
h4,oos,50,100,price20_cross_down,1224,0.95424837,0.75698588,1.26058938,0.94105389,-64.90555556,32.75326797,-35.70400327,3.21977124
h4,discovery,50,100,mtf_trend_bull+adx_down3+di_spread_down3,1435,0.91567944,0.72833484,1.25722318,0.90016928,-48.61114983,31.59351916,-33.60104530,3.62578397
h4,validation,50,100,mtf_trend_bull+adx_down3+di_spread_down3,324,0.90123457,0.71882535,1.25376014,0.86389755,-49.37006173,36.91851852,-24.73179012,3.82098765
h4,oos,50,100,mtf_trend_bull+adx_down3+di_spread_down3,337,0.93471810,0.75698588,1.23478934,0.90314026,-31.41038576,23.91750742,-29.16409496,3.68249258
h4,discovery,50,100,adx_down3+di_spread_down3,3157,0.90370605,0.72833484,1.24078378,0.89291977,-45.81628128,31.50110865,-30.62293316,3.64523282
h4,validation,50,100,adx_down3+di_spread_down3,683,0.91508053,0.71882535,1.27302206,0.89178269,-48.21991215,31.78843338,-29.08491947,3.76427526
h4,oos,50,100,adx_down3+di_spread_down3,574,0.93205575,0.75698588,1.23127230,0.90846512,-30.10818815,23.27944251,-23.18972125,3.79268293
h4,discovery,50,100,rsi_down3,18202,0.89775849,0.72833484,1.23261781,0.89327291,-34.01830019,32.67415669,-34.54703879,3.14602791
h4,validation,50,100,rsi_down3,4202,0.89148025,0.71882535,1.24019034,0.88171580,-30.71332699,32.04364588,-33.71004284,3.26963351
h4,oos,50,100,rsi_down3,2804,0.92047076,0.75698588,1.21596819,0.90987138,-26.66754636,27.30813124,-36.57849501,3.28281027
h4,discovery,50,100,di_spread_down3+macd_accel_down,15907,0.89690074,0.72833484,1.23144012,0.89207894,-35.44381719,30.97435091,-32.68816244,3.42220406
h4,validation,50,100,di_spread_down3+macd_accel_down,3615,0.89156293,0.71882535,1.24030536,0.88100832,-31.40691563,30.09134163,-33.56887967,3.49709544
h4,oos,50,100,di_spread_down3+macd_accel_down,2404,0.90599002,0.75698588,1.19683872,0.89366743,-28.25224626,25.71118968,-34.54317804,3.54700499
h4,discovery,50,100,di_spread_down3,16876,0.88397725,0.72833484,1.21369623,0.87905786,-33.06778265,31.58494311,-33.28820218,3.36495615
h4,validation,50,100,di_spread_down3,3917,0.87720194,0.71882535,1.22032695,0.86655257,-28.91838141,31.09200919,-33.31033955,3.44396222
h4,oos,50,100,di_spread_down3,2591,0.89810884,0.75698588,1.18642746,0.88586530,-25.66773447,25.52601312,-33.80787341,3.49710536
h4,discovery,50,100,price20_cross_down+adx_down3,2463,0.87373122,0.72833484,1.19962849,0.86002898,-36.73507917,39.36207877,-39.11522533,2.85221275
h4,validation,50,100,price20_cross_down+adx_down3,458,0.89519651,0.71882535,1.24536024,0.86378164,-38.11244541,38.85043668,-39.79017467,3.15720524
