timeframe,from_target,to_target,condition,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,50,100,price20_cross_down+di_spread_down3,711,0.99437412,11,0.99494949,0.96825397
h4,50,100,price20_cross_down,1224,0.95424837,11,0.96332557,0.89808917
h4,50,100,mtf_trend_bull+adx_down3+di_spread_down3,337,0.93471810,10,0.94374747,0.69230769
h4,50,100,adx_down3+di_spread_down3,574,0.93205575,12,0.94277112,0.76000000
h4,50,100,rsi_down3,2804,0.92047076,12,0.93194303,0.82488479
h4,50,100,di_spread_down3+macd_accel_down,2404,0.90599002,12,0.91469230,0.76756757
h4,50,100,di_spread_down3,2591,0.89810884,12,0.90663144,0.76410256
h4,50,100,price20_cross_down+adx_down3,358,0.93296089,11,0.93251874,0.66666667
h4,50,100,adx_down3+macd_accel_down,1102,0.87023593,12,0.90101315,0.70161290
h4,50,100,strong_close_bear+adx_down3,571,0.80910683,11,0.83050560,0.55555556
h4,50,100,ema20_slope_down3,1254,0.80542265,11,0.85531087,0.71212121
h4,50,100,strong_close_bear,2818,0.80872960,12,0.83341006,0.67730496
h4,50,100,close_near_low,3293,0.79289402,12,0.82098994,0.68729642
h4,50,100,macd_accel_down,4478,0.80527021,12,0.83973295,0.61848739
h4,50,100,adx_down3+structure_lh,1329,0.77050414,12,0.81180339,0.53672316
h4,50,100,structure_lh,4986,0.74689130,12,0.78973082,0.56508876
h4,50,100,pullback_bull,5036,0.73411438,12,0.77501034,0.55081001
h4,50,100,adx_down3,1590,0.71949686,12,0.77804509,0.50222222
h4,50,100,nr4,4837,0.72048791,12,0.76383517,0.54250386
h4,50,100,range_compression+adx_down3,1361,0.70903747,12,0.76288807,0.50000000
h4,50,100,range_compression,4705,0.71604676,12,0.76835019,0.50312500
h4,50,100,volatility,2222,0.71107111,12,0.72443225,0.55801105
h4,50,100,mtf_di_strong_bull,2669,0.68340202,12,0.71809593,0.47515528
h4,50,100,mtf_macd_bull,3008,0.72506649,12,0.74376716,0.54545455
h4,50,100,mtf_adx_rising,3115,0.67993579,12,0.72237804,0.50246305
h4,50,100,mtf_trend_bull,2997,0.67734401,12,0.76412364,0.52212389
h4,50,100,atr_expand,1026,0.71929825,12,0.72526501,0.28037383
h4,50,100,price200_bull,3860,0.67953368,12,0.71971509,0.48901099
h4,50,100,false_break_up,2262,0.63616269,12,0.67344078,0.46153846
h4,50,100,bb_expand,3025,0.64066116,12,0.67378178,0.45182724
h4,50,100,false_break_up+adx_down3,350,0.66000000,10,0.62697219,0.25000000
h4,100,150,price20_cross_down+di_spread_down3,205,1.00000000,8,1.00000000,1.00000000
h4,100,150,price20_cross_down,266,0.98872180,9,0.99242424,0.93181818
h4,100,150,mtf_trend_bull+adx_down3+di_spread_down3,117,0.98290598,6,0.98225957,0.94117647
h4,100,150,adx_down3+di_spread_down3,172,0.98837209,8,0.98984375,0.95000000
h4,100,150,rsi_down3,1009,0.89890981,11,0.92020228,0.83333333
h4,100,150,di_spread_down3+macd_accel_down,931,0.87755102,11,0.90393124,0.79333333
h4,100,150,adx_down3+macd_accel_down,324,0.83024691,10,0.84805272,0.40000000
h4,100,150,di_spread_down3,962,0.87629938,11,0.90270944,0.79738562
h4,100,150,price20_cross_down+adx_down3,75,0.98666667,6,0.98611111,0.91666667
h4,100,150,ema20_slope_down3,262,0.90839695,7,0.94255235,0.87500000
h4,100,150,strong_close_bear+adx_down3,138,0.77536232,8,0.80607143,0.42857143
h4,100,150,strong_close_bear,842,0.75653207,11,0.78214912,0.54545455
h4,100,150,adx_down3+structure_lh,353,0.77337110,10,0.79399296,0.40000000
h4,100,150,close_near_low,1037,0.74252652,11,0.76232343,0.66216216
h4,100,150,macd_accel_down,1547,0.71170006,11,0.76220205,0.58707865
h4,100,150,adx_down3,426,0.71596244,11,0.74745780,0.40000000
h4,100,150,structure_lh,1633,0.69014085,11,0.72430405,0.58933333
h4,100,150,range_compression+adx_down3,379,0.70976253,10,0.73883517,0.36363636
h4,100,150,pullback_bull,1652,0.67796610,11,0.71665341,0.57936508
h4,100,150,nr4,1577,0.67279645,11,0.70563986,0.58591549
h4,100,150,range_compression,1561,0.65406791,11,0.71226622,0.52800000
h4,100,150,volatility,807,0.68029740,11,0.67763894,0.58064516
h4,100,150,mtf_di_strong_bull,1014,0.60650888,11,0.65455001,0.46231156
h4,100,150,mtf_macd_bull,961,0.62747138,11,0.64797053,0.50561798
h4,100,150,mtf_trend_bull,1035,0.60483092,10,0.66716867,0.50825083
h4,100,150,mtf_adx_rising,1131,0.62953139,11,0.66102742,0.47572816
h4,100,150,atr_expand,431,0.63573086,11,0.63567921,0.41891892
h4,100,150,price200_bull,1284,0.58878505,11,0.64142668,0.48837209
h4,100,150,bb_expand,1179,0.57591179,11,0.61544674,0.39690722
h4,100,150,false_break_up,832,0.56009615,11,0.60190144,0.36842105
h4,100,150,false_break_up+adx_down3,123,0.64227642,6,0.65732642,0.30769231
h4,150,200,price20_cross_down+di_spread_down3,78,1.00000000,5,1.00000000,1.00000000
h4,150,200,mtf_trend_bull+adx_down3+di_spread_down3,35,0.94285714,2,0.91153846,0.90000000
h4,150,200,price20_cross_down,85,1.00000000,6,1.00000000,1.00000000
h4,150,200,adx_down3+di_spread_down3,54,0.96296296,3,0.94912281,0.90000000
h4,150,200,rsi_down3,439,0.89749431,10,0.93883695,0.81159420
h4,150,200,adx_down3+macd_accel_down,108,0.90740741,6,0.87966893,0.60000000
h4,150,200,price20_cross_down+adx_down3,20,1.00000000,2,1.00000000,1.00000000
h4,150,200,di_spread_down3+macd_accel_down,413,0.88619855,10,0.93185006,0.81553398
