timeframe,period,from_target,to_target,conditions,samples,exit_precision,unconditional_exit_precision,lift,wilson95_lower,target_capture_pips_mean,future_mfe_pips_mean,future_mae_pips_mean,bars_after_target_mean
h4,discovery,50,100,price20_cross_down+structure_lh+atr_expand,412,1.00000000,0.75515784,1.32422646,0.99076220,-79.86310680,36.51529126,-54.47135922,1.08980583
h4,validation,50,100,price20_cross_down+structure_lh+atr_expand,45,1.00000000,0.74500976,1.34226430,0.92134840,-61.66000000,43.45555556,-29.81555556,1.40000000
h4,oos,50,100,price20_cross_down+structure_lh+atr_expand,88,1.00000000,0.79026134,1.26540418,0.95817293,-116.01363636,37.74318182,-69.05909091,1.01136364
h4,discovery,50,100,rsi_down3+price20_cross_down+bb_expand,196,1.00000000,0.75515784,1.32422646,0.98077747,-94.18265306,37.73469388,-50.10867347,1.17857143
h4,validation,50,100,rsi_down3+price20_cross_down+bb_expand,25,1.00000000,0.74500976,1.34226430,0.86680775,-112.50400000,40.65600000,-95.28800000,1.00000000
h4,oos,50,100,rsi_down3+price20_cross_down+bb_expand,49,1.00000000,0.79026134,1.26540418,0.92730218,-157.64285714,44.04897959,-45.72653061,1.30612245
h4,discovery,50,100,price20_cross_down+strong_close_bear+bb_expand,177,1.00000000,0.75515784,1.32422646,0.97875786,-108.99661017,44.08757062,-50.40056497,1.07909605
h4,validation,50,100,price20_cross_down+strong_close_bear+bb_expand,25,1.00000000,0.74500976,1.34226430,0.86680775,-108.93200000,41.87200000,-94.92000000,1.00000000
h4,oos,50,100,price20_cross_down+strong_close_bear+bb_expand,37,1.00000000,0.79026134,1.26540418,0.90594217,-98.68918919,9.58378378,-52.77837838,1.40540541
h4,discovery,50,100,price20_cross_down+mtf_macd_bull+bb_expand,138,1.00000000,0.75515784,1.32422646,0.97291724,-73.76521739,41.32753623,-37.14347826,1.22463768
h4,validation,50,100,price20_cross_down+mtf_macd_bull+bb_expand,14,1.00000000,0.74500976,1.34226430,0.78468920,-135.55000000,38.75714286,-138.08571429,1.00000000
h4,oos,50,100,price20_cross_down+mtf_macd_bull+bb_expand,41,1.00000000,0.79026134,1.26540418,0.91433243,-147.65853659,36.38048780,-51.03658537,1.36585366
h4,discovery,50,100,di_spread_down3+price20_cross_down+bb_expand,137,1.00000000,0.75515784,1.32422646,0.97272494,-106.95182482,37.11678832,-59.41678832,1.16788321
h4,validation,50,100,di_spread_down3+price20_cross_down+bb_expand,17,1.00000000,0.74500976,1.34226430,0.81568186,-137.51176471,43.18823529,-124.18823529,1.00000000
h4,oos,50,100,di_spread_down3+price20_cross_down+bb_expand,30,1.00000000,0.79026134,1.26540418,0.88648661,-188.77333333,62.15666667,-41.42000000,1.50000000
h4,discovery,50,100,price20_cross_down+range_compression+bb_expand,130,1.00000000,0.75515784,1.32422646,0.97129844,-99.66000000,35.49538462,-54.59307692,1.12307692
h4,validation,50,100,price20_cross_down+range_compression+bb_expand,16,1.00000000,0.74500976,1.34226430,0.80639232,-82.08750000,36.48750000,-46.53125000,1.00000000
h4,oos,50,100,price20_cross_down+range_compression+bb_expand,27,1.00000000,0.79026134,1.26540418,0.87544497,-190.25925926,73.74074074,-35.15925926,1.55555556
h4,discovery,50,100,price20_cross_down+mtf_adx_rising+bb_expand,113,1.00000000,0.75515784,1.32422646,0.96712247,-71.71946903,35.61858407,-42.32920354,1.15929204
h4,validation,50,100,price20_cross_down+mtf_adx_rising+bb_expand,15,1.00000000,0.74500976,1.34226430,0.79611670,-146.20000000,41.78666667,-136.31333333,1.00000000
h4,oos,50,100,price20_cross_down+mtf_adx_rising+bb_expand,22,1.00000000,0.79026134,1.26540418,0.85134513,-167.31363636,62.61363636,-37.55000000,1.68181818
h4,discovery,50,100,price20_cross_down+false_break_up+bb_expand,41,1.00000000,0.75515784,1.32422646,0.91433243,-64.88536585,35.40243902,-39.81219512,1.17073171
h4,validation,50,100,price20_cross_down+false_break_up+bb_expand,9,1.00000000,0.74500976,1.34226430,0.70085495,-174.92222222,35.33333333,-194.33333333,1.00000000
h4,oos,50,100,price20_cross_down+false_break_up+bb_expand,8,1.00000000,0.79026134,1.26540418,0.67559244,-52.72500000,12.20000000,-33.85000000,2.87500000
h4,discovery,50,100,price20_cross_down+bb_expand,246,0.99593496,0.75515784,1.31884343,0.97733728,-96.70121951,40.72479675,-51.53943089,1.14227642
h4,validation,50,100,price20_cross_down+bb_expand,30,1.00000000,0.74500976,1.34226430,0.88648661,-102.37666667,37.82666667,-90.51666667,1.00000000
h4,oos,50,100,price20_cross_down+bb_expand,54,1.00000000,0.79026134,1.26540418,0.93358641,-149.65000000,43.87592593,-43.59444444,1.27777778
h4,discovery,50,100,macd_accel_down+price20_cross_down+bb_expand,242,0.99586777,0.75515784,1.31875445,0.97696873,-98.20867769,41.09132231,-51.14049587,1.14462810
h4,validation,50,100,macd_accel_down+price20_cross_down+bb_expand,30,1.00000000,0.74500976,1.34226430,0.88648661,-102.37666667,37.82666667,-90.51666667,1.00000000
h4,oos,50,100,macd_accel_down+price20_cross_down+bb_expand,54,1.00000000,0.79026134,1.26540418,0.93358641,-149.65000000,43.87592593,-43.59444444,1.27777778
h4,discovery,50,100,price20_cross_down+close_near_low+bb_expand,193,0.99481865,0.75515784,1.31736519,0.97123926,-105.59274611,42.49585492,-50.32797927,1.07253886
h4,validation,50,100,price20_cross_down+close_near_low+bb_expand,26,1.00000000,0.74500976,1.34226430,0.87127108,-106.06153846,40.29230769,-92.37307692,1.00000000
h4,oos,50,100,price20_cross_down+close_near_low+bb_expand,44,1.00000000,0.79026134,1.26540418,0.91970440,-158.33409091,41.52272727,-50.55909091,1.34090909
h4,discovery,50,100,price20_cross_down+pullback_bull+bb_expand,178,0.99438202,0.75515784,1.31678699,0.96886849,-73.59831461,28.64325843,-50.62921348,1.17977528
h4,validation,50,100,price20_cross_down+pullback_bull+bb_expand,24,1.00000000,0.74500976,1.34226430,0.86202380,-70.50833333,35.85833333,-45.77083333,1.00000000
h4,oos,50,100,price20_cross_down+pullback_bull+bb_expand,24,1.00000000,0.79026134,1.26540418,0.86202380,-78.07083333,33.47500000,-29.29583333,1.62500000
h4,discovery,50,100,price20_cross_down+structure_lh+bb_expand,175,0.99428571,0.75515784,1.31665946,0.96834665,-88.42742857,42.04171429,-46.20800000,1.09142857
h4,validation,50,100,price20_cross_down+structure_lh+bb_expand,20,1.00000000,0.74500976,1.34226430,0.83887484,-72.36000000,40.37500000,-43.81500000,1.00000000
h4,oos,50,100,price20_cross_down+structure_lh+bb_expand,45,1.00000000,0.79026134,1.26540418,0.92134840,-169.55333333,50.11555556,-42.97777778,1.00000000
h4,discovery,50,100,rsi_down3+price20_cross_down+atr_expand,375,0.99200000,0.75515784,1.31363265,0.97674660,-92.94053333,40.14106667,-48.67066667,1.13066667
h4,validation,50,100,rsi_down3+price20_cross_down+atr_expand,30,1.00000000,0.74500976,1.34226430,0.88648661,-113.72000000,47.47000000,-77.23333333,1.46666667
h4,oos,50,100,rsi_down3+price20_cross_down+atr_expand,72,1.00000000,0.79026134,1.26540418,0.94934883,-136.29722222,38.22222222,-85.87500000,1.20833333
h4,discovery,50,100,price20_cross_down+mtf_di_strong_bull+bb_expand,106,0.99056604,0.75515784,1.31173376,0.94848645,-78.46792453,32.54339623,-43.53301887,1.24528302
h4,validation,50,100,price20_cross_down+mtf_di_strong_bull+bb_expand,9,1.00000000,0.74500976,1.34226430,0.70085495,-92.15555556,40.12222222,-54.35555556,1.00000000
h4,oos,50,100,price20_cross_down+mtf_di_strong_bull+bb_expand,20,1.00000000,0.79026134,1.26540418,0.83887484,-182.10000000,81.91500000,-37.83000000,1.75000000
h4,discovery,50,100,price20_cross_down+strong_close_bear+atr_expand,374,0.98930481,0.75515784,1.31006361,0.97282704,-93.11470588,43.54973262,-48.72352941,1.14705882
h4,validation,50,100,price20_cross_down+strong_close_bear+atr_expand,46,1.00000000,0.74500976,1.34226430,0.92292644,-79.15434783,41.71521739,-60.51956522,1.39130435
h4,oos,50,100,price20_cross_down+strong_close_bear+atr_expand,47,0.93617021,0.79026134,1.18463370,0.82837386,-94.62340426,14.61489362,-54.98723404,1.34042553
h4,discovery,50,100,macd_accel_down+price20_cross_down+atr_expand,534,0.98876404,0.75515784,1.30934752,0.97570566,-88.48895131,41.75299625,-55.37003745,1.12734082
h4,validation,50,100,macd_accel_down+price20_cross_down+atr_expand,45,1.00000000,0.74500976,1.34226430,0.92134840,-94.42666667,44.16666667,-59.21555556,1.40000000
h4,oos,50,100,macd_accel_down+price20_cross_down+atr_expand,91,0.96703297,0.79026134,1.22368756,0.90750693,-118.53076923,36.72087912,-74.65934066,1.18681319
h4,discovery,50,100,di_spread_down3+price20_cross_down+atr_expand,253,0.98814229,0.75515784,1.30852417,0.96572348,-102.27154150,47.99920949,-50.38893281,1.20553360
h4,validation,50,100,di_spread_down3+price20_cross_down+atr_expand,27,1.00000000,0.74500976,1.34226430,0.87544497,-121.04444444,50.63703704,-83.20370370,1.51851852
h4,oos,50,100,di_spread_down3+price20_cross_down+atr_expand,43,1.00000000,0.79026134,1.26540418,0.91799020,-161.89069767,49.51627907,-114.71627907,1.37209302
h4,discovery,50,100,di_spread_down3+price20_cross_down+structure_lh,332,0.98795181,0.75515784,1.30827193,0.96943594,-88.38554217,46.39909639,-48.53524096,1.26807229
h4,validation,50,100,di_spread_down3+price20_cross_down+structure_lh,66,0.87878788,0.74500976,1.17956560,0.77862561,-94.61666667,76.19545455,-27.71060606,1.28787879
h4,oos,50,100,di_spread_down3+price20_cross_down+structure_lh,56,1.00000000,0.79026134,1.26540418,0.93580606,-132.41428571,50.10357143,-92.03392857,1.16071429
