timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,50,100,price20_cross_down+structure_lh+atr_expand,412,88,1.00000000,7,1.00000000,1.00000000
h4,50,100,rsi_down3+price20_cross_down+bb_expand,196,49,1.00000000,5,1.00000000,1.00000000
h4,50,100,price20_cross_down+strong_close_bear+bb_expand,177,37,1.00000000,5,1.00000000,1.00000000
h4,50,100,price20_cross_down+mtf_macd_bull+bb_expand,138,41,1.00000000,4,1.00000000,1.00000000
h4,50,100,di_spread_down3+price20_cross_down+bb_expand,137,30,1.00000000,4,1.00000000,1.00000000
h4,50,100,price20_cross_down+range_compression+bb_expand,130,27,1.00000000,4,1.00000000,1.00000000
h4,50,100,price20_cross_down+mtf_adx_rising+bb_expand,113,22,1.00000000,3,1.00000000,1.00000000
h4,50,100,price20_cross_down+false_break_up+bb_expand,41,8,1.00000000,1,1.00000000,1.00000000
h4,50,100,price20_cross_down+bb_expand,246,54,1.00000000,5,1.00000000,1.00000000
h4,50,100,macd_accel_down+price20_cross_down+bb_expand,242,54,1.00000000,5,1.00000000,1.00000000
h4,50,100,price20_cross_down+close_near_low+bb_expand,193,44,1.00000000,5,1.00000000,1.00000000
h4,50,100,price20_cross_down+pullback_bull+bb_expand,178,24,1.00000000,2,1.00000000,1.00000000
h4,50,100,price20_cross_down+structure_lh+bb_expand,175,45,1.00000000,4,1.00000000,1.00000000
h4,50,100,rsi_down3+price20_cross_down+atr_expand,375,72,1.00000000,6,1.00000000,1.00000000
h4,50,100,price20_cross_down+mtf_di_strong_bull+bb_expand,106,20,1.00000000,3,1.00000000,1.00000000
h4,50,100,price20_cross_down+strong_close_bear+atr_expand,374,47,0.93617021,5,1.00000000,1.00000000
h4,50,100,macd_accel_down+price20_cross_down+atr_expand,534,91,0.96703297,8,0.96250000,0.70000000
