timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,discovery,50,100,adx_up3+atr_expand+close_near_high+cross_group_bull,67,0.52238806,3459.27368120,0.00015101,0.40485195
h4,discovery,100,150,adx_up3+atr_expand+close_near_high+cross_group_bull,39,0.25641026,3623.64245524,0.00007076,0.14568781
h4,discovery,150,200,adx_up3+atr_expand+close_near_high+cross_group_bull,13,0.53846154,3751.26678899,0.00014354,0.29143796
h4,discovery,200,300,adx_up3+atr_expand+close_near_high+cross_group_bull,8,0.00000000,3934.45852895,0.00000000,0.00000000
h4,validation,50,100,adx_up3+atr_expand+close_near_high+cross_group_bull,19,0.47368421,7347.28747795,0.00006447,0.27329805
h4,validation,100,150,adx_up3+atr_expand+close_near_high+cross_group_bull,10,0.10000000,7312.54635108,0.00001368,0.01787621
h4,validation,150,200,adx_up3+atr_expand+close_near_high+cross_group_bull,5,0.60000000,7287.60933333,0.00008233,0.23072428
h4,validation,200,300,adx_up3+atr_expand+close_near_high+cross_group_bull,5,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+atr_expand+close_near_high+cross_group_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,adx_up3+atr_expand+close_near_high+cross_group_bull,1,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,adx_up3+atr_expand+close_near_high+cross_group_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+close_near_high+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+atr_expand+mtf_volatility+cross_group_bull,68,0.48529412,3459.27368120,0.00014029,0.37050845
h4,discovery,100,150,adx_up3+atr_expand+mtf_volatility+cross_group_bull,36,0.38888889,3623.64245524,0.00010732,0.24784873
h4,discovery,150,200,adx_up3+atr_expand+mtf_volatility+cross_group_bull,15,0.40000000,3751.26678899,0.00010663,0.19824496
h4,discovery,200,300,adx_up3+atr_expand+mtf_volatility+cross_group_bull,6,0.00000000,3934.45852895,0.00000000,0.00000000
h4,validation,50,100,adx_up3+atr_expand+mtf_volatility+cross_group_bull,10,0.40000000,7347.28747795,0.00005444,0.16818033
h4,validation,100,150,adx_up3+atr_expand+mtf_volatility+cross_group_bull,5,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,adx_up3+atr_expand+mtf_volatility+cross_group_bull,3,0.33333333,7287.60933333,0.00004574,0.06149194
h4,validation,200,300,adx_up3+atr_expand+mtf_volatility+cross_group_bull,3,0.33333333,7258.32947977,0.00004592,0.06149194
h4,oos,50,100,adx_up3+atr_expand+mtf_volatility+cross_group_bull,15,0.13333333,8766.86496956,0.00001521,0.03736126
h4,oos,100,150,adx_up3+atr_expand+mtf_volatility+cross_group_bull,5,0.40000000,8737.06716418,0.00004578,0.11762077
h4,oos,150,200,adx_up3+atr_expand+mtf_volatility+cross_group_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+mtf_volatility+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+breakout20_up+cross_group_bull,65,0.47692308,3459.27368120,0.00013787,0.36021791
h4,discovery,100,150,adx_up3+atr_expand+breakout20_up+cross_group_bull,37,0.40540541,3623.64245524,0.00011188,0.26346518
h4,discovery,150,200,adx_up3+atr_expand+breakout20_up+cross_group_bull,18,0.44444444,3751.26678899,0.00011848,0.24559518
h4,discovery,200,300,adx_up3+atr_expand+breakout20_up+cross_group_bull,9,0.11111111,3934.45852895,0.00002824,0.01989089
h4,validation,50,100,adx_up3+atr_expand+breakout20_up+cross_group_bull,17,0.47058824,7347.28747795,0.00006405,0.26165106
h4,validation,100,150,adx_up3+atr_expand+breakout20_up+cross_group_bull,8,0.12500000,7312.54635108,0.00001709,0.02241749
h4,validation,150,200,adx_up3+atr_expand+breakout20_up+cross_group_bull,4,0.50000000,7287.60933333,0.00006861,0.15003899
h4,validation,200,300,adx_up3+atr_expand+breakout20_up+cross_group_bull,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,adx_up3+atr_expand+breakout20_up+cross_group_bull,11,0.18181818,8766.86496956,0.00002074,0.05136769
h4,oos,100,150,adx_up3+atr_expand+breakout20_up+cross_group_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,adx_up3+atr_expand+breakout20_up+cross_group_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+breakout20_up+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+retest_up+cross_group_bull,65,0.47692308,3459.27368120,0.00013787,0.36021791
h4,discovery,100,150,adx_up3+atr_expand+retest_up+cross_group_bull,37,0.40540541,3623.64245524,0.00011188,0.26346518
h4,discovery,150,200,adx_up3+atr_expand+retest_up+cross_group_bull,18,0.44444444,3751.26678899,0.00011848,0.24559518
h4,discovery,200,300,adx_up3+atr_expand+retest_up+cross_group_bull,9,0.11111111,3934.45852895,0.00002824,0.01989089
h4,validation,50,100,adx_up3+atr_expand+retest_up+cross_group_bull,17,0.47058824,7347.28747795,0.00006405,0.26165106
h4,validation,100,150,adx_up3+atr_expand+retest_up+cross_group_bull,8,0.12500000,7312.54635108,0.00001709,0.02241749
