timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_continuation_mean,oos_pair_continuation_min
h4,50,100,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,178,9,0.11111111,1,0.20000000,0.20000000
h4,50,100,sma_stack_bull+atr_expand+retest_up+cross_group_bull,178,9,0.11111111,1,0.20000000,0.20000000
h4,50,100,trend_bull+atr_expand+horizontal_break_up+cross_group_bull,196,11,0.18181818,1,0.20000000,0.20000000
h4,50,100,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,170,9,0.11111111,1,0.20000000,0.20000000
h4,50,100,adx_up3+horizontal_break_up+mtf_adx25+cross_group_bull,275,26,0.30769231,2,0.31428571,0.20000000
h4,50,100,adx_up3+horizontal_break_up+mtf_adx25+cross_group_return_up,313,28,0.32142857,2,0.32222222,0.20000000
h4,50,100,trend_bull+atr_expand+breakout20_up+cross_group_bull,212,12,0.16666667,1,0.20000000,0.20000000
h4,50,100,trend_bull+atr_expand+retest_up+cross_group_bull,212,11,0.18181818,1,0.20000000,0.20000000
h4,50,100,price200_bull+atr_expand+horizontal_break_up+cross_group_bull,253,15,0.13333333,1,0.14285714,0.14285714
h4,50,100,adx_up3+breakout20_up+mtf_adx25+cross_group_bull,315,26,0.30769231,2,0.31428571,0.20000000
h4,50,100,adx_up3+retest_up+mtf_adx25+cross_group_bull,315,23,0.30434783,2,0.26666667,0.20000000
h4,50,100,adx_up3+atr_expand+close_near_high,412,35,0.22857143,3,0.26455026,0.00000000
h4,50,100,di_strong_bull+atr_expand+horizontal_break_up+cross_group_bull,254,19,0.10526316,1,0.14285714,0.14285714
h4,50,100,adx_up3+atr_expand+hh20+cross_group_bull,237,15,0.13333333,2,0.20000000,0.20000000
h4,50,100,atr_expand+horizontal_break_up+cross_group_bull,261,19,0.10526316,1,0.14285714,0.14285714
h4,50,100,atr_expand+horizontal_break_up+retest_up+cross_group_bull,261,18,0.11111111,1,0.14285714,0.14285714
h4,50,100,price200_bull+adx_up3+atr_expand+cross_group_bull,394,24,0.16666667,2,0.23809524,0.14285714
h4,50,100,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,222,18,0.11111111,1,0.14285714,0.14285714
h4,50,100,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,314,26,0.23076923,2,0.21428571,0.00000000
h4,50,100,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,491,46,0.41304348,6,0.42142857,0.16666667
h4,100,150,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,491,26,0.15384615,2,0.18333333,0.16666667
h4,50,100,adx_up3+atr_expand+close_near_high+mtf_trend_bull,236,25,0.24000000,3,0.25000000,0.00000000
h4,50,100,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,245,24,0.25000000,1,0.28571429,0.28571429
h4,50,100,sma_stack_bull+horizontal_break_up+mtf_adx25+cross_group_bull,467,41,0.31707317,3,0.24074074,0.00000000
h4,100,150,sma_stack_bull+horizontal_break_up+mtf_adx25+cross_group_bull,467,20,0.15000000,1,0.00000000,0.00000000
h4,50,100,adx_up3+atr_expand+hh20+cross_group_return_up,263,16,0.12500000,2,0.20000000,0.20000000
h4,50,100,price200_bull+adx_up3+atr_expand+cross_group_return_up,442,27,0.14814815,2,0.23809524,0.14285714
h4,50,100,adx25+horizontal_break_up+mtf_adx25+cross_group_bull,397,30,0.23333333,2,0.27777778,0.00000000
h4,100,150,adx25+horizontal_break_up+mtf_adx25+cross_group_bull,397,13,0.23076923,1,0.00000000,0.00000000
h4,50,100,adx_up3+horizontal_break_up+impulse_bull+mtf_trend_bull,512,39,0.46153846,3,0.45238095,0.42857143
h4,100,150,adx_up3+horizontal_break_up+impulse_bull+mtf_trend_bull,512,23,0.08695652,1,0.20000000,0.20000000
h4,50,100,adx_up3+breakout20_up+mtf_adx25+cross_target_relative_up,352,27,0.22222222,2,0.21428571,0.00000000
h4,50,100,adx_up3+retest_up+mtf_adx25+cross_target_relative_up,352,25,0.24000000,2,0.21428571,0.00000000
h4,50,100,adx_up3+atr_expand+cross_group_bull,577,37,0.13513514,3,0.14814815,0.00000000
h4,50,100,adx_up3+horizontal_break_up+mtf_trend_bull+cross_target_relative_up,517,46,0.43478261,6,0.44920635,0.16666667
h4,100,150,adx_up3+horizontal_break_up+mtf_trend_bull+cross_target_relative_up,517,26,0.11538462,2,0.17142857,0.14285714
