timeframe,period,from_target,to_target,conditions,samples,continuation_rate,unconditional_rate,lift,wilson95_lower,post_target_mfe_pips_mean,post_target_mae_pips_mean
h4,discovery,50,100,atr_expand+breakout20_up+close_near_high+mtf_volatility,366,0.79781421,0.39513721,2.01908144,0.75367183,111.36147541,-30.31366120
h4,validation,50,100,atr_expand+breakout20_up+close_near_high+mtf_volatility,50,0.66000000,0.40374460,1.63469679,0.52153826,88.39000000,-66.81000000
h4,oos,50,100,atr_expand+breakout20_up+close_near_high+mtf_volatility,26,1.00000000,0.34415584,2.90566038,0.87127108,104.78076923,22.31923077
h4,discovery,50,100,atr_expand+horizontal_break_up+strong_close_bull+mtf_volatility,185,0.78918919,0.39513721,1.99725353,0.72483475,134.18162162,-7.20378378
h4,validation,50,100,atr_expand+horizontal_break_up+strong_close_bull+mtf_volatility,38,0.78947368,0.40374460,1.95537893,0.63654221,92.12631579,-83.25263158
h4,oos,50,100,atr_expand+horizontal_break_up+strong_close_bull+mtf_volatility,26,1.00000000,0.34415584,2.90566038,0.87127108,104.78076923,22.31923077
h4,discovery,50,100,atr_expand+close_near_high+mtf_volatility+cross_target_relative_up,281,0.78647687,0.39513721,1.99038928,0.73486720,100.26441281,-24.05587189
h4,validation,50,100,atr_expand+close_near_high+mtf_volatility+cross_target_relative_up,36,0.86111111,0.40374460,2.13281147,0.71340470,153.83333333,1.46388889
h4,oos,50,100,atr_expand+close_near_high+mtf_volatility+cross_target_relative_up,14,0.71428571,0.34415584,2.07547170,0.45350916,76.10000000,-58.19285714
h4,discovery,50,100,atr_expand+horizontal_break_up+close_near_high+mtf_volatility,195,0.78461538,0.39513721,1.98567830,0.72171418,130.66051282,-11.15128205
h4,validation,50,100,atr_expand+horizontal_break_up+close_near_high+mtf_volatility,47,0.63829787,0.40374460,1.58094467,0.49535897,75.73617021,-75.34042553
h4,oos,50,100,atr_expand+horizontal_break_up+close_near_high+mtf_volatility,26,1.00000000,0.34415584,2.90566038,0.87127108,104.78076923,22.31923077
h4,discovery,50,100,atr_expand+breakout20_up+strong_close_bull+mtf_volatility,324,0.78395062,0.39513721,1.98399593,0.73595047,112.82469136,-30.58703704
h4,validation,50,100,atr_expand+breakout20_up+strong_close_bull+mtf_volatility,41,0.80487805,0.40374460,1.99353267,0.65986415,106.35853659,-72.27073171
h4,oos,50,100,atr_expand+breakout20_up+strong_close_bull+mtf_volatility,26,1.00000000,0.34415584,2.90566038,0.87127108,104.78076923,22.31923077
h4,discovery,50,100,trend_bull+atr_expand+close_near_high+mtf_volatility,231,0.77922078,0.39513721,1.97202582,0.72140899,130.69220779,-18.85800866
h4,validation,50,100,trend_bull+atr_expand+close_near_high+mtf_volatility,19,0.73684211,0.40374460,1.82502034,0.51208449,62.76315789,-105.52105263
h4,oos,50,100,trend_bull+atr_expand+close_near_high+mtf_volatility,6,0.50000000,0.34415584,1.45283019,0.18761631,73.56666667,-54.00000000
h4,discovery,50,100,di_strong_bull+atr_expand+close_near_high+mtf_volatility,392,0.77806122,0.39513721,1.96909125,0.73433741,112.18750000,-24.51938776
h4,validation,50,100,di_strong_bull+atr_expand+close_near_high+mtf_volatility,59,0.67796610,0.40374460,1.67919547,0.55105004,123.72372881,-65.75593220
h4,oos,50,100,di_strong_bull+atr_expand+close_near_high+mtf_volatility,27,0.96296296,0.34415584,2.79804333,0.81716534,101.92962963,18.25185185
h4,discovery,50,100,sma_stack_bull+atr_expand+close_near_high+mtf_volatility,209,0.77033493,0.39513721,1.94953780,0.70873790,133.78899522,-21.80047847
h4,validation,50,100,sma_stack_bull+atr_expand+close_near_high+mtf_volatility,21,0.47619048,0.40374460,1.17943491,0.28344006,43.50952381,-43.80952381
h4,oos,50,100,sma_stack_bull+atr_expand+close_near_high+mtf_volatility,7,0.57142857,0.34415584,1.66037736,0.25045836,68.77142857,-131.25714286
h4,discovery,50,100,price200_bull+atr_expand+close_near_high+mtf_volatility,368,0.76902174,0.39513721,1.94621443,0.72331495,113.05896739,-21.87744565
h4,validation,50,100,price200_bull+atr_expand+close_near_high+mtf_volatility,52,0.63461538,0.40374460,1.57182384,0.49871678,74.23653846,-77.58076923
h4,oos,50,100,price200_bull+atr_expand+close_near_high+mtf_volatility,18,0.83333333,0.34415584,2.42138365,0.60777962,101.13333333,8.16111111
h4,discovery,50,100,trend_bull+atr_expand+strong_close_bull+mtf_volatility,194,0.76804124,0.39513721,1.94373300,0.70379203,138.04175258,-19.62010309
h4,validation,50,100,trend_bull+atr_expand+strong_close_bull+mtf_volatility,17,0.82352941,0.40374460,2.03972861,0.58970541,67.55882353,-102.75882353
h4,oos,50,100,trend_bull+atr_expand+strong_close_bull+mtf_volatility,3,0.33333333,0.34415584,0.96855346,0.06149194,45.26666667,-49.20000000
h4,discovery,50,100,macd_accel_up+atr_expand+close_near_high+mtf_volatility,593,0.76559865,0.39513721,1.93755139,0.72986027,108.49342327,-34.50640809
h4,validation,50,100,macd_accel_up+atr_expand+close_near_high+mtf_volatility,87,0.72413793,0.40374460,1.79355447,0.62226228,116.23218391,-97.80459770
h4,oos,50,100,macd_accel_up+atr_expand+close_near_high+mtf_volatility,46,0.63043478,0.34415584,1.83182937,0.48600096,73.72826087,-1.92391304
h4,discovery,50,100,atr_expand+close_near_high+mtf_volatility,604,0.76324503,0.39513721,1.93159493,0.72774684,107.78990066,-35.48609272
h4,validation,50,100,atr_expand+close_near_high+mtf_volatility,91,0.71428571,0.40374460,1.76915237,0.61427471,113.39120879,-98.10879121
h4,oos,50,100,atr_expand+close_near_high+mtf_volatility,54,0.66666667,0.34415584,1.93710692,0.53360964,77.71111111,-31.59074074
h4,discovery,50,100,di_strong_bull+atr_expand+strong_close_bull+mtf_volatility,329,0.75987842,0.39513721,1.92307482,0.71089125,114.91185410,-24.93738602
h4,validation,50,100,di_strong_bull+atr_expand+strong_close_bull+mtf_volatility,49,0.81632653,0.40374460,2.02188842,0.68642397,147.04081633,-67.90816327
h4,oos,50,100,di_strong_bull+atr_expand+strong_close_bull+mtf_volatility,26,1.00000000,0.34415584,2.90566038,0.87127108,104.78076923,22.31923077
h4,discovery,50,100,price200_bull+atr_expand+strong_close_bull+mtf_volatility,323,0.75851393,0.39513721,1.91962162,0.70897731,115.70278638,-22.68730650
h4,validation,50,100,price200_bull+atr_expand+strong_close_bull+mtf_volatility,42,0.78571429,0.40374460,1.94606761,0.64060155,89.65714286,-82.90714286
h4,oos,50,100,price200_bull+atr_expand+strong_close_bull+mtf_volatility,15,0.86666667,0.34415584,2.51823899,0.62118017,100.98666667,21.55333333
h4,discovery,50,100,atr_expand+strong_close_bull+mtf_volatility+cross_target_relative_up,214,0.75233645,0.39513721,1.90398785,0.69039309,104.70327103,-22.44485981
h4,validation,50,100,atr_expand+strong_close_bull+mtf_volatility+cross_target_relative_up,34,0.91176471,0.40374460,2.25827097,0.77039513,161.58823529,9.13823529
h4,oos,50,100,atr_expand+strong_close_bull+mtf_volatility+cross_target_relative_up,14,0.71428571,0.34415584,2.07547170,0.45350916,76.10000000,-58.19285714
h4,discovery,50,100,sma_stack_bull+atr_expand+strong_close_bull+mtf_volatility,179,0.74860335,0.39513721,1.89454026,0.68028314,139.41955307,-23.14972067
h4,validation,50,100,sma_stack_bull+atr_expand+strong_close_bull+mtf_volatility,11,0.90909091,0.40374460,2.25164847,0.62264156,74.45454545,-33.44545455
h4,oos,50,100,sma_stack_bull+atr_expand+strong_close_bull+mtf_volatility,5,0.60000000,0.34415584,1.74339623,0.23072428,64.30000000,-145.06000000
h4,discovery,50,100,atr_expand+strong_close_bull+mtf_volatility,500,0.74800000,0.39513721,1.89301331,0.70815218,110.63980000,-37.26760000
h4,validation,50,100,atr_expand+strong_close_bull+mtf_volatility,81,0.80246914,0.40374460,1.98756624,0.70295609,126.22098765,-103.40493827
h4,oos,50,100,atr_expand+strong_close_bull+mtf_volatility,39,0.84615385,0.34415584,2.45863570,0.70270536,91.71538462,-26.12307692
h4,discovery,50,100,macd_accel_up+atr_expand+strong_close_bull+mtf_volatility,492,0.74796748,0.39513721,1.89293101,0.70778204,111.04288618,-36.34186992
h4,validation,50,100,macd_accel_up+atr_expand+strong_close_bull+mtf_volatility,78,0.80769231,0.40374460,2.00050306,0.70665187,128.88974359,-104.25128205
h4,oos,50,100,macd_accel_up+atr_expand+strong_close_bull+mtf_volatility,34,0.82352941,0.34415584,2.39289678,0.66486263,90.51764706,12.41764706
h4,discovery,50,100,atr_expand+structure_bull_transition+close_near_high+mtf_volatility,447,0.74496644,0.39513721,1.88533609,0.70259014,110.46711409,-26.05592841
h4,validation,50,100,atr_expand+structure_bull_transition+close_near_high+mtf_volatility,76,0.69736842,0.40374460,1.72725139,0.58665798,115.45263158,-113.03815789
h4,oos,50,100,atr_expand+structure_bull_transition+close_near_high+mtf_volatility,54,0.66666667,0.34415584,1.93710692,0.53360964,77.71111111,-31.59074074
h4,discovery,50,100,atr_expand+breakout20_up+impulse_bull+mtf_volatility,443,0.74040632,0.39513721,1.87379548,0.69763772,100.80835214,-33.86365688
h4,validation,50,100,atr_expand+breakout20_up+impulse_bull+mtf_volatility,96,0.53125000,0.40374460,1.31580707,0.43215602,73.92708333,-62.80729167
