timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_rate_mean,oos_pair_rate_min
h4,50,100,atr_expand+breakout20_up+close_near_high+mtf_volatility,366,26,1.00000000,2,1.00000000,1.00000000
h4,50,100,atr_expand+horizontal_break_up+strong_close_bull+mtf_volatility,185,26,1.00000000,2,1.00000000,1.00000000
h4,50,100,atr_expand+close_near_high+mtf_volatility+cross_target_relative_up,281,14,0.71428571,2,0.60000000,0.20000000
h4,50,100,atr_expand+horizontal_break_up+close_near_high+mtf_volatility,195,26,1.00000000,2,1.00000000,1.00000000
h4,50,100,atr_expand+breakout20_up+strong_close_bull+mtf_volatility,324,26,1.00000000,2,1.00000000,1.00000000
h4,50,100,di_strong_bull+atr_expand+close_near_high+mtf_volatility,392,27,0.96296296,2,0.91666667,0.83333333
h4,50,100,price200_bull+atr_expand+close_near_high+mtf_volatility,368,18,0.83333333,1,0.71428571,0.71428571
h4,50,100,macd_accel_up+atr_expand+close_near_high+mtf_volatility,593,46,0.63043478,3,0.63194444,0.06250000
h4,50,100,atr_expand+close_near_high+mtf_volatility,604,54,0.66666667,3,0.59226190,0.06250000
h4,50,100,di_strong_bull+atr_expand+strong_close_bull+mtf_volatility,329,26,1.00000000,2,1.00000000,1.00000000
h4,50,100,price200_bull+atr_expand+strong_close_bull+mtf_volatility,323,15,0.86666667,1,0.83333333,0.83333333
h4,50,100,atr_expand+strong_close_bull+mtf_volatility+cross_target_relative_up,214,14,0.71428571,2,0.60000000,0.20000000
h4,50,100,atr_expand+strong_close_bull+mtf_volatility,500,39,0.84615385,3,0.67777778,0.20000000
h4,50,100,macd_accel_up+atr_expand+strong_close_bull+mtf_volatility,492,34,0.82352941,3,0.67777778,0.20000000
h4,50,100,atr_expand+structure_bull_transition+close_near_high+mtf_volatility,447,54,0.66666667,3,0.59226190,0.06250000
h4,50,100,atr_expand+breakout20_up+impulse_bull+mtf_volatility,443,59,0.44067797,5,0.44941725,0.00000000
h4,50,100,adx25+atr_expand+close_near_high+mtf_volatility,311,23,0.30434783,1,0.06250000,0.06250000
h4,50,100,atr_expand+close_near_high+mtf_volatility+cross_group_return_up,298,38,0.71052632,3,0.66666667,0.00000000
h4,50,100,macd_accel_up+atr_expand+impulse_bull+mtf_volatility,793,116,0.32758621,6,0.29490405,0.06250000
h4,50,100,atr_expand+horizontal_break_up+impulse_bull+mtf_volatility,235,40,0.65000000,5,0.65333333,0.00000000
h4,50,100,atr_expand+structure_bull_transition+strong_close_bull+mtf_volatility,363,39,0.84615385,3,0.67777778,0.20000000
h4,50,100,atr_expand+impulse_bull+mtf_volatility,814,125,0.36800000,6,0.29512335,0.06250000
h4,50,100,trend_bull+atr_expand+breakout20_up+mtf_volatility,225,14,0.00000000,1,0.00000000,0.00000000
h4,50,100,sma_stack_bull+atr_expand+horizontal_break_up+mtf_volatility,167,12,0.00000000,1,0.00000000,0.00000000
h4,50,100,trend_bull+atr_expand+impulse_bull+mtf_volatility,280,20,0.20000000,1,0.00000000,0.00000000
h4,50,100,atr_expand+impulse_bull+mtf_volatility+cross_target_relative_up,386,57,0.29824561,5,0.35464646,0.04545455
h4,50,100,atr_expand+strong_close_bull+mtf_volatility+cross_group_return_up,253,26,1.00000000,2,1.00000000,1.00000000
h4,50,100,di_strong_bull+atr_expand+breakout20_up+mtf_volatility,407,62,0.41935484,5,0.44121212,0.00000000
h4,50,100,atr_expand+breakout20_up+mtf_volatility,465,62,0.41935484,5,0.44121212,0.00000000
h4,50,100,macd_accel_up+atr_expand+breakout20_up+mtf_volatility,465,62,0.41935484,5,0.44121212,0.00000000
h4,50,100,atr_expand+structure_bull_transition+impulse_bull+mtf_volatility,599,111,0.35135135,6,0.26642081,0.06250000
h4,50,100,price200_bull+atr_expand+impulse_bull+mtf_volatility,480,43,0.39534884,4,0.40595238,0.10000000
h4,50,100,sma_stack_bull+atr_expand+breakout20_up+mtf_volatility,201,12,0.00000000,1,0.00000000,0.00000000
h4,50,100,di_strong_bull+atr_expand+impulse_bull+mtf_volatility,540,90,0.35555556,5,0.32026034,0.00000000
h4,50,100,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,258,21,0.19047619,1,0.00000000,0.00000000
h4,50,100,atr_expand+impulse_bull+mtf_volatility+cross_group_return_up,412,80,0.35000000,6,0.30428830,0.00000000
h4,50,100,trend_bull+atr_expand+horizontal_break_up+mtf_volatility,193,14,0.00000000,1,0.00000000,0.00000000
h4,50,100,adx25+atr_expand+impulse_bull+mtf_volatility,466,31,0.25806452,1,0.06250000,0.06250000
h4,50,100,di_strong_bull+atr_expand+horizontal_break_up+mtf_volatility,228,43,0.60465116,5,0.62000000,0.00000000
h4,50,100,adx25+atr_expand+strong_close_bull+mtf_volatility,254,11,0.63636364,1,0.20000000,0.20000000
h4,50,100,atr_expand+horizontal_break_up+mtf_volatility,248,43,0.60465116,5,0.62000000,0.00000000
h4,50,100,macd_accel_up+atr_expand+horizontal_break_up+mtf_volatility,248,43,0.60465116,5,0.62000000,0.00000000
h4,50,100,price200_bull+atr_expand+horizontal_break_up+mtf_volatility,234,28,0.42857143,4,0.52500000,0.00000000
h4,50,100,atr_expand+close_near_high+mtf_volatility+cross_group_bull,210,42,0.64285714,3,0.68750000,0.06250000
h4,50,100,trend_bull+atr_expand+structure_bull_transition+mtf_volatility,243,22,0.18181818,1,0.00000000,0.00000000
h4,50,100,sma_stack_bull+atr_expand+structure_bull_transition+mtf_volatility,232,21,0.19047619,1,0.00000000,0.00000000
h4,50,100,price200_bull+atr_expand+breakout20_up+mtf_volatility,338,28,0.42857143,4,0.52500000,0.00000000
h4,50,100,atr_expand+breakout20_up+mtf_volatility+cross_group_return_up,260,62,0.41935484,5,0.44121212,0.00000000
h4,50,100,price200_bull+macd_accel_up+atr_expand+mtf_volatility,538,49,0.30612245,5,0.29692308,0.00000000
h4,50,100,trend_bull+atr_expand+horizontal_break_up+strong_close_bull,851,97,0.56701031,7,0.58172354,0.00000000
h4,50,100,trend_bull+macd_accel_up+atr_expand+mtf_volatility,324,19,0.10526316,1,0.00000000,0.00000000
h4,50,100,price200_bull+atr_expand+structure_bull_transition+mtf_volatility,407,45,0.37777778,4,0.36428571,0.10000000
h4,50,100,atr_expand+impulse_bull+mtf_volatility+cross_group_bull,308,84,0.33333333,6,0.30508959,0.06250000
h4,50,100,di_strong_bull+atr_expand+horizontal_break_up+strong_close_bull,1224,185,0.57297297,12,0.70028069,0.00000000
h4,50,100,price200_bull+atr_expand+horizontal_break_up+strong_close_bull,1209,158,0.53164557,10,0.65806410,0.00000000
h4,50,100,sma_stack_bull+atr_expand+breakout20_up+strong_close_bull,717,83,0.56626506,7,0.58309717,0.00000000
h4,50,100,trend_bull+atr_expand+strong_close_bull+mtf_adx25,439,48,0.60416667,4,0.68750000,0.00000000
h4,50,100,macd_accel_up+atr_expand+structure_bull_transition+mtf_volatility,659,112,0.28571429,6,0.24619474,0.06250000
h4,50,100,trend_bull+di_strong_bull+atr_expand+strong_close_bull,938,115,0.60869565,7,0.62950195,0.00000000
h4,50,100,sma_stack_bull+macd_accel_up+atr_expand+mtf_volatility,302,17,0.05882353,1,0.00000000,0.00000000
h4,50,100,sma_stack_bull+atr_expand+horizontal_break_up+strong_close_bull,667,83,0.56626506,7,0.58309717,0.00000000
h4,50,100,sma_stack_bull+di_strong_bull+atr_expand+strong_close_bull,721,86,0.54651163,7,0.58309717,0.00000000
