timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,50,1,atr_expand+pin_bull,126,0.27777778,5.57231619,17,0.35294118,6.77370242,0.17309720,24,0.12500000,3.93005618,0.04344334
h4,50,1,adx25+volatility+pin_bull+mtf_volatility,159,0.24528302,4.92046034,23,0.13043478,2.50332481,0.04537659,28,0.10714286,3.36861958,0.03711837
h4,50,1,volatility+pin_bull+mtf_volatility,246,0.22357724,4.48503499,41,0.17073171,3.27670971,0.08525252,36,0.08333333,2.62003745,0.02874861
h4,50,1,adx25+volatility+pin_bull,268,0.22014925,4.41626851,71,0.11267606,2.16249655,0.05821272,57,0.08771930,2.75793416,0.03805167
h4,50,1,adx25+volatility+pin_bull+mtf_adx25,163,0.21472393,4.30743460,12,0.08333333,1.59934641,0.01486509,28,0.14285714,4.49149278,0.05699005
h4,50,1,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,0.21078431,4.22840464,37,0.13513514,2.59353471,0.05913294,15,0.20000000,6.28808989,0.07047549
h4,50,1,adx25+pin_bull+mtf_volatility,254,0.20472441,4.10684091,43,0.13953488,2.67797538,0.06555723,48,0.08333333,2.62003745,0.03288376
h4,50,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,0.19496855,3.91113514,70,0.25714286,4.93512605,0.16929276,53,0.15094340,4.74572822,0.07852418
h4,50,1,adx25+volatility+pin_bull+mtf_trend_bull,149,0.19463087,3.90436115,37,0.10810811,2.07482777,0.04285190,47,0.08510638,2.67578293,0.03359412
h4,50,1,ichimoku_cloud_bull+volatility+pin_bull,243,0.19341564,3.87998313,66,0.13636364,2.61711230,0.07343320,59,0.10169492,3.19733384,0.04744797
h4,50,1,volatility+pin_bull,479,0.18997912,3.81104548,119,0.14285714,2.74173669,0.09114540,82,0.08536585,2.68394081,0.04196652
h4,50,1,volatility+pin_bull+mtf_volatility+cross_group_return_up,128,0.18750000,3.76131343,17,0.11764706,2.25790081,0.03287977,22,0.13636364,4.28733401,0.04749004
h4,50,1,volatility+pin_bull+mtf_adx25,250,0.18000000,3.61086089,28,0.14285714,2.74173669,0.05699005,35,0.11428571,3.59319422,0.04535179
h4,50,1,adx25+atr_expand+impulse_bull+mtf_volatility,224,0.17857143,3.58220327,38,0.10526316,2.02022704,0.04170257,24,0.25000000,7.86011236,0.11999366
h4,50,1,adx25+atr_expand+mtf_volatility,697,0.17647059,3.54005970,112,0.18750000,3.59852941,0.12603456,83,0.14457831,4.54560715,0.08468299
h4,50,1,ichimoku_cloud_bull+pin_bull+mtf_volatility+cross_group_return_up,131,0.17557252,3.52204413,25,0.16000000,3.07074510,0.06403451,22,0.13636364,4.28733401,0.04749004
h4,50,1,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,0.17446809,3.49988881,52,0.13461538,2.58355958,0.06676882,36,0.08333333,2.62003745,0.02874861
h4,50,1,adx25+pin_bull+mtf_adx25,310,0.17419355,3.49438151,30,0.10000000,1.91921569,0.03459989,67,0.05970149,1.87704176,0.02345935
h4,50,1,pin_bull+mtf_volatility,488,0.17213115,3.45300905,111,0.16216216,3.11224165,0.10510774,86,0.06976744,2.19351973,0.03236541
h4,50,1,price200_bull+adx25+atr_expand+mtf_volatility,292,0.17123288,3.43498943,50,0.08000000,1.53537255,0.03154951,36,0.11111111,3.49338327,0.04406640
h4,50,1,pin_bull+mtf_volatility+cross_group_bull,211,0.17061611,3.42261696,45,0.17777778,3.41193900,0.09294390,47,0.06382979,2.00683720,0.02194539
h4,50,1,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,0.16847826,3.37973091,37,0.16216216,3.11224165,0.07651207,52,0.09615385,3.02312014,0.04177435
h4,50,1,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,0.16666667,3.34338972,34,0.14705882,2.82237601,0.06449441,26,0.11538462,3.62774417,0.04003245
h4,50,1,ichimoku_cloud_bull+volatility+pin_bull+cross_group_return_up,127,0.16535433,3.31706381,36,0.19444444,3.73180828,0.09753095,29,0.10344828,3.25246029,0.03581489
h4,50,1,volatility+pin_bull+mtf_trend_bull,299,0.16387960,3.28748019,58,0.13793103,2.64719405,0.07158487,69,0.08695652,2.73395213,0.04046362
h4,50,1,volatility+pin_bull+cross_group_bull,202,0.16336634,3.27718398,57,0.17543860,3.36704506,0.09818852,40,0.10000000,3.14404494,0.03957953
h4,50,1,rsi_cross55_up+breakout20_up+impulse_bull+mtf_volatility,123,0.16260163,3.26184363,20,0.10000000,1.91921569,0.02786648,26,0.15384615,4.83699222,0.06150034
h4,50,1,rsi_cross55_up+breakout20_up+mtf_volatility,131,0.16030534,3.21577942,22,0.09090909,1.74474153,0.02529543,28,0.17857143,5.61436597,0.07878502
h4,50,1,rsi_cross55_up+retest_up+mtf_volatility,131,0.16030534,3.21577942,22,0.09090909,1.74474153,0.02529543,28,0.17857143,5.61436597,0.07878502
h4,50,1,rsi_cross55_up+breakout20_up+retest_up+mtf_volatility,131,0.16030534,3.21577942,22,0.09090909,1.74474153,0.02529543,28,0.17857143,5.61436597,0.07878502
h4,50,1,sma_stack_bull+volatility+pin_bull,157,0.15923567,3.19432139,36,0.08333333,1.59934641,0.02874861,19,0.05263158,1.65476050,0.00935199
h4,50,1,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,0.15789474,3.16742184,32,0.15625000,2.99877451,0.06864420,27,0.14814815,4.65784436,0.05915928
h4,50,1,adx25+pin_bull,588,0.15646259,3.13869239,149,0.12751678,2.44732202,0.08317652,130,0.05384615,1.69294728,0.02632496
h4,50,1,pin_bull+mtf_volatility+cross_group_return_up,250,0.15600000,3.12941277,49,0.16326531,3.13341337,0.08512698,53,0.07547170,2.37286411,0.02973956
h4,50,1,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,0.15460526,3.10143388,57,0.14035088,2.69363605,0.07287276,35,0.20000000,6.28808989,0.10042446
h4,50,1,ichimoku_cloud_bull+superbb_bull+impulse_bull+cross_group_return_up,123,0.15447154,3.09875144,31,0.22580645,4.33371284,0.11395136,17,0.11764706,3.69887640,0.03287977
h4,50,1,ichimoku_cloud_bull+superbb_bull+cross_group_return_up,125,0.15200000,3.04917142,33,0.27272727,5.23422460,0.15067441,17,0.11764706,3.69887640,0.03287977
h4,50,1,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,0.15114236,3.03196677,100,0.20000000,3.83843137,0.13336693,93,0.15053763,4.73297088,0.09184177
h4,50,1,adx25+atr_expand+breakout20_up+mtf_adx25,146,0.15068493,3.02279070,20,0.00000000,0.00000000,0.00000000,14,0.21428571,6.73723917,0.07571387
h4,50,1,adx25+atr_expand+retest_up+mtf_adx25,146,0.15068493,3.02279070,20,0.00000000,0.00000000,0.00000000,13,0.23076923,7.25548833,0.08179529
h4,50,1,sma_stack_bull+adx25+atr_expand+mtf_adx25,482,0.14937759,2.99656506,55,0.05454545,1.04684492,0.01872322,35,0.05714286,1.79659711,0.01581316
h4,50,1,adx25+volatility+pin_bull+cross_group_return_up,128,0.14843750,2.97770647,39,0.17948718,3.44474610,0.08977265,34,0.11764706,3.69887640,0.04671447
h4,50,1,rsi_up1+atr_expand+mtf_volatility,378,0.14814815,2.97190197,68,0.14705882,2.82237601,0.08188818,58,0.17241379,5.42076714,0.09644293
h4,50,1,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,0.14792899,2.96750567,58,0.13793103,2.64719405,0.07158487,50,0.18000000,5.65928090,0.09770193
h4,50,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_adx25,149,0.14765101,2.96192914,11,0.09090909,1.74474153,0.01623217,30,0.10000000,3.14404494,0.03459989
h4,50,1,adx25+atr_expand+horizontal_break_up+mtf_trend_bull,144,0.14583333,2.92546600,22,0.13636364,2.61711230,0.04749004,12,0.16666667,5.24007491,0.04696514
h4,50,1,pin_bull+mtf_adx25,585,0.14529915,2.91475001,78,0.07692308,1.47631976,0.03573046,117,0.05128205,1.61233074,0.02371238
h4,50,1,sma_stack_bull+atr_expand+mtf_volatility,359,0.14484680,2.90567574,62,0.12903226,2.47640734,0.06685878,49,0.16326531,5.13313460,0.08512698
h4,50,1,volatility+pin_bull+cross_group_return_up,235,0.14468085,2.90234682,61,0.16393443,3.14625522,0.09156012,43,0.09302326,2.92469297,0.03677164
h4,50,1,atr_expand+breakout20_up+elliott_impulse_bull+mtf_volatility,125,0.14400000,2.88868871,20,0.05000000,0.95960784,0.00888145,19,0.21052632,6.61904199,0.08507677
h4,50,1,atr_expand+retest_up+elliott_impulse_bull+mtf_volatility,125,0.14400000,2.88868871,20,0.05000000,0.95960784,0.00888145,19,0.21052632,6.61904199,0.08507677
h4,50,1,atr_expand+impulse_bull+elliott_wave3_bull+mtf_volatility,125,0.14400000,2.88868871,26,0.03846154,0.73815988,0.00682198,20,0.20000000,6.28808989,0.08065766
h4,50,1,atr_expand+impulse_bull+mtf_volatility,362,0.14364641,2.88159556,63,0.14285714,2.74173669,0.07701948,62,0.17741935,5.57814426,0.10206438
h4,50,1,atr_expand+breakout20_up+mtf_volatility,140,0.14285714,2.86576261,24,0.08333333,1.59934641,0.02315882,20,0.20000000,6.28808989,0.08065766
h4,50,1,atr_expand+retest_up+mtf_volatility,140,0.14285714,2.86576261,23,0.04347826,0.83444160,0.00771667,19,0.21052632,6.61904199,0.08507677
h4,50,1,atr_expand+breakout20_up+retest_up+mtf_volatility,140,0.14285714,2.86576261,23,0.04347826,0.83444160,0.00771667,19,0.21052632,6.61904199,0.08507677
h4,50,1,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,120,0.14166667,2.84188126,19,0.00000000,0.00000000,0.00000000,21,0.09523810,2.99432852,0.02651877
h4,50,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_trend_bull,849,0.14134276,2.83538351,119,0.10084034,1.93534355,0.05863030,143,0.09790210,3.07808596,0.05921671
h4,50,1,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_wave5_bull,135,0.14074074,2.82330687,32,0.18750000,3.59852941,0.08889545,20,0.10000000,3.14404494,0.02786648
h4,50,1,sma_stack_bull+volatility+pin_bull+mtf_trend_bull,135,0.14074074,2.82330687,30,0.10000000,1.91921569,0.03459989,19,0.05263158,1.65476050,0.00935199
h4,50,1,rsi_up1+superbb_bull+elliott_impulse_bull+mtf_adx25,128,0.14062500,2.82098507,22,0.09090909,1.74474153,0.02529543,21,0.09523810,2.99432852,0.02651877
h4,50,1,superbb_bull+breakout20_up+elliott_impulse_bull+mtf_adx25,128,0.14062500,2.82098507,23,0.08695652,1.66888321,0.02418000,21,0.09523810,2.99432852,0.02651877
h4,50,1,superbb_bull+retest_up+elliott_impulse_bull+mtf_adx25,128,0.14062500,2.82098507,23,0.08695652,1.66888321,0.02418000,21,0.09523810,2.99432852,0.02651877
h4,50,1,ichimoku_cloud_bull+adx25+pin_bull,306,0.14052288,2.81893643,75,0.12000000,2.30305882,0.06443372,71,0.07042254,2.21411616,0.03045360
h4,50,1,triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,0.14049587,2.81839464,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,50,1,price200_bull+volatility+pin_bull+cross_group_bull,121,0.14049587,2.81839464,40,0.15000000,2.87882353,0.07061188,14,0.07142857,2.24574639,0.01272222
h4,50,1,rsi_up1+atr_expand+elliott_impulse_bull+mtf_volatility,121,0.14049587,2.81839464,24,0.04166667,0.79967320,0.00739346,15,0.13333333,4.19205993,0.03736126
h4,50,1,atr_expand+mtf_volatility,1172,0.13993174,2.80707806,192,0.16145833,3.09873366,0.11613945,172,0.14534884,4.56983277,0.10042961
h4,50,1,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave5_bull,136,0.13970588,2.80254726,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,50,1,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave5_bull,136,0.13970588,2.80254726,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,50,1,pin_bull+mtf_adx25+cross_group_bull,237,0.13924051,2.79321166,30,0.13333333,2.55895425,0.05309655,62,0.08064516,2.53552012,0.03493835
h4,50,1,rsi_up1+triangle_breakout_up+impulse_bull,151,0.13907285,2.78984837,21,0.14285714,2.74173669,0.04981012,16,0.06250000,1.96502809,0.01111934
h4,50,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_adx25,634,0.13880126,2.78440027,75,0.13333333,2.55895425,0.07406585,79,0.11392405,3.58182335,0.06110579
h4,50,1,atr_expand+impulse_bull+elliott_impulse_bull+mtf_volatility,137,0.13868613,2.78209071,28,0.03571429,0.68543417,0.00633252,21,0.19047619,5.98865704,0.07667565
h4,50,1,triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,0.13821138,2.77256708,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,50,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,0.13777778,2.76386883,45,0.11111111,2.13246187,0.04840472,60,0.06666667,2.09602996,0.02622870
h4,50,1,superbb_bull+elliott_impulse_bull+mtf_adx25,131,0.13740458,2.75638236,24,0.08333333,1.59934641,0.02315882,21,0.09523810,2.99432852,0.02651877
h4,50,1,superbb_bull+impulse_bull+elliott_impulse_bull+mtf_adx25,131,0.13740458,2.75638236,24,0.08333333,1.59934641,0.02315882,21,0.09523810,2.99432852,0.02651877
h4,50,1,rsi_up1+triangle_breakout_up,153,0.13725490,2.75337977,24,0.12500000,2.39901961,0.04344334,16,0.06250000,1.96502809,0.01111934
h4,50,1,rsi_up1+triangle_breakout_up+retest_up,153,0.13725490,2.75337977,22,0.13636364,2.61711230,0.04749004,16,0.06250000,1.96502809,0.01111934
h4,50,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,0.13636364,2.73550068,42,0.23809524,4.56956116,0.13480964,36,0.08333333,2.62003745,0.02874861
h4,50,1,rsi_up1+superbb_bull+breakout20_up+mtf_adx25,132,0.13636364,2.73550068,23,0.08695652,1.66888321,0.02418000,22,0.09090909,2.85822268,0.02529543
h4,50,1,rsi_up1+superbb_bull+retest_up+mtf_adx25,132,0.13636364,2.73550068,23,0.08695652,1.66888321,0.02418000,22,0.09090909,2.85822268,0.02529543
h4,50,1,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_wave5_bull,140,0.13571429,2.72247448,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,50,1,rsi_cross55_up+volatility+breakout20_up+elliott_impulse_bull,171,0.13450292,2.69817416,32,0.09375000,1.79926471,0.03240155,26,0.07692308,2.41849611,0.02135509
h4,50,1,rsi_cross55_up+volatility+retest_up+elliott_impulse_bull,171,0.13450292,2.69817416,30,0.03333333,0.63973856,0.00590859,26,0.07692308,2.41849611,0.02135509
h4,50,1,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,0.13414634,2.69102099,23,0.17391304,3.33776641,0.06978654,19,0.15789474,4.96428149,0.05520472
h4,50,1,sma_stack_bull+adx25+atr_expand+mtf_trend_bull,695,0.13381295,2.68433304,94,0.09574468,1.83754693,0.05119196,66,0.04545455,1.42911134,0.01557827
h4,50,1,ichimoku_cloud_bull+superbb_bull+elliott_wave5_bull,142,0.13380282,2.68412977,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,50,1,price200_bull+rsi_up1+atr_expand+mtf_volatility,187,0.13368984,2.68186341,37,0.13513514,2.59353471,0.05913294,31,0.00000000,0.00000000,0.00000000
h4,50,1,superbb_bull+breakout20_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,50,1,superbb_bull+retest_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
