timeframe,target_pips,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,50,1,atr_expand+pin_bull,126,24,5.57231619,3.93005618,4,3,0.12500000,0.00000000
h4,50,1,adx25+volatility+pin_bull+mtf_volatility,159,28,4.92046034,3.36861958,4,3,0.09920635,0.00000000
h4,50,1,volatility+pin_bull+mtf_volatility,246,36,4.48503499,2.62003745,4,3,0.08849206,0.00000000
h4,50,1,adx25+volatility+pin_bull,268,57,4.41626851,2.75793416,4,4,0.08835227,0.06250000
h4,50,1,adx25+volatility+pin_bull+mtf_adx25,163,28,4.30743460,4.49149278,3,3,0.17037037,0.11111111
h4,50,1,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,15,4.22840464,6.28808989,1,1,0.20000000,0.20000000
h4,50,1,adx25+pin_bull+mtf_volatility,254,48,4.10684091,2.62003745,4,3,0.07904595,0.00000000
h4,50,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,3.91113514,4.74572822,5,4,0.20038462,0.00000000
h4,50,1,adx25+volatility+pin_bull+mtf_trend_bull,149,47,3.90436115,2.67578293,4,3,0.08012821,0.00000000
h4,50,1,ichimoku_cloud_bull+volatility+pin_bull,243,59,3.87998313,3.19733384,4,4,0.10227733,0.06666667
h4,50,1,volatility+pin_bull,479,82,3.81104548,2.68394081,4,4,0.08596990,0.07692308
h4,50,1,volatility+pin_bull+mtf_volatility+cross_group_return_up,128,22,3.76131343,4.28733401,3,2,0.12222222,0.00000000
h4,50,1,volatility+pin_bull+mtf_adx25,250,35,3.61086089,3.59319422,3,3,0.14603175,0.07142857
h4,50,1,adx25+atr_expand+impulse_bull+mtf_volatility,224,24,3.58220327,7.86011236,1,1,0.28571429,0.28571429
h4,50,1,adx25+atr_expand+mtf_volatility,697,83,3.54005970,4.54560715,8,5,0.16878838,0.00000000
h4,50,1,ichimoku_cloud_bull+pin_bull+mtf_volatility+cross_group_return_up,131,22,3.52204413,4.28733401,3,2,0.12222222,0.00000000
h4,50,1,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,3.49988881,2.62003745,4,3,0.09474206,0.00000000
h4,50,1,adx25+pin_bull+mtf_adx25,310,67,3.49438151,1.87704176,4,3,0.05626294,0.00000000
h4,50,1,pin_bull+mtf_volatility,488,86,3.45300905,2.19351973,4,3,0.06805492,0.00000000
h4,50,1,price200_bull+adx25+atr_expand+mtf_volatility,292,36,3.43498943,3.49338327,2,1,0.10000000,0.00000000
h4,50,1,pin_bull+mtf_volatility+cross_group_bull,211,47,3.42261696,2.00683720,4,3,0.06439394,0.00000000
h4,50,1,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,3.37973091,3.02312014,4,4,0.09605161,0.07692308
h4,50,1,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,26,3.34338972,3.62774417,2,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+volatility+pin_bull+cross_group_return_up,127,29,3.31706381,3.25246029,4,3,0.10010823,0.00000000
h4,50,1,volatility+pin_bull+mtf_trend_bull,299,69,3.28748019,2.73395213,4,4,0.08680323,0.07692308
h4,50,1,volatility+pin_bull+cross_group_bull,202,40,3.27718398,3.14404494,4,4,0.10486111,0.08333333
h4,50,1,sma_stack_bull+volatility+pin_bull,157,19,3.19432139,1.65476050,2,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,27,3.16742184,4.65784436,1,0,0.00000000,0.00000000
h4,50,1,adx25+pin_bull,588,130,3.13869239,1.69294728,4,4,0.05631808,0.03333333
h4,50,1,pin_bull+mtf_volatility+cross_group_return_up,250,53,3.12941277,2.37286411,4,3,0.07911706,0.00000000
h4,50,1,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,3.10143388,6.28808989,4,2,0.11904762,0.00000000
h4,50,1,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,3.03196677,4.73297088,8,5,0.17256181,0.00000000
h4,50,1,sma_stack_bull+adx25+atr_expand+mtf_adx25,482,35,2.99656506,1.79659711,3,1,0.05555556,0.00000000
h4,50,1,adx25+volatility+pin_bull+cross_group_return_up,128,34,2.97770647,3.69887640,4,4,0.12342172,0.09090909
h4,50,1,rsi_up1+atr_expand+mtf_volatility,378,58,2.97190197,5.42076714,6,3,0.09280303,0.00000000
h4,50,1,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,50,2.96750567,5.65928090,6,3,0.08492063,0.00000000
h4,50,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_adx25,149,30,2.96192914,3.14404494,3,3,0.12632275,0.11111111
h4,50,1,pin_bull+mtf_adx25,585,117,2.91475001,1.61233074,4,3,0.04531695,0.00000000
h4,50,1,sma_stack_bull+atr_expand+mtf_volatility,359,49,2.90567574,5.13313460,5,3,0.20444444,0.00000000
h4,50,1,volatility+pin_bull+cross_group_return_up,235,43,2.90234682,2.92469297,4,4,0.10288600,0.06666667
h4,50,1,atr_expand+breakout20_up+elliott_impulse_bull+mtf_volatility,125,19,2.88868871,6.61904199,1,1,0.40000000,0.40000000
h4,50,1,atr_expand+retest_up+elliott_impulse_bull+mtf_volatility,125,19,2.88868871,6.61904199,1,1,0.40000000,0.40000000
h4,50,1,atr_expand+impulse_bull+elliott_wave3_bull+mtf_volatility,125,20,2.88868871,6.28808989,1,1,0.40000000,0.40000000
h4,50,1,atr_expand+impulse_bull+mtf_volatility,362,62,2.88159556,5.57814426,6,3,0.09294872,0.00000000
h4,50,1,atr_expand+breakout20_up+mtf_volatility,140,20,2.86576261,6.28808989,1,1,0.33333333,0.33333333
h4,50,1,atr_expand+retest_up+mtf_volatility,140,19,2.86576261,6.61904199,1,1,0.40000000,0.40000000
h4,50,1,atr_expand+breakout20_up+retest_up+mtf_volatility,140,19,2.86576261,6.61904199,1,1,0.40000000,0.40000000
h4,50,1,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,120,21,2.84188126,2.99432852,1,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_trend_bull,849,143,2.83538351,3.07808596,10,6,0.09055823,0.00000000
h4,50,1,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_wave5_bull,135,20,2.82330687,3.14404494,1,0,0.00000000,0.00000000
h4,50,1,sma_stack_bull+volatility+pin_bull+mtf_trend_bull,135,19,2.82330687,1.65476050,2,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+adx25+pin_bull,306,71,2.81893643,2.21411616,4,4,0.07536765,0.05882353
h4,50,1,triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,2.81839464,1.84943820,1,0,0.00000000,0.00000000
h4,50,1,price200_bull+volatility+pin_bull+cross_group_bull,121,14,2.81839464,2.24574639,1,1,0.14285714,0.14285714
h4,50,1,atr_expand+mtf_volatility,1172,172,2.80707806,4.56983277,11,7,0.15344382,0.00000000
h4,50,1,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave5_bull,136,20,2.80254726,3.14404494,1,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave5_bull,136,20,2.80254726,3.14404494,1,0,0.00000000,0.00000000
h4,50,1,pin_bull+mtf_adx25+cross_group_bull,237,62,2.79321166,2.53552012,4,3,0.07501290,0.00000000
h4,50,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_adx25,634,79,2.78440027,3.58182335,7,4,0.13826531,0.00000000
h4,50,1,atr_expand+impulse_bull+elliott_impulse_bull+mtf_volatility,137,21,2.78209071,5.98865704,1,1,0.40000000,0.40000000
h4,50,1,triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,2.77256708,1.84943820,1,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,60,2.76386883,2.09602996,4,3,0.06473214,0.00000000
h4,50,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,36,2.73550068,2.62003745,3,1,0.04761905,0.00000000
h4,50,1,rsi_up1+superbb_bull+breakout20_up+mtf_adx25,132,22,2.73550068,2.85822268,1,0,0.00000000,0.00000000
h4,50,1,rsi_up1+superbb_bull+retest_up+mtf_adx25,132,22,2.73550068,2.85822268,1,0,0.00000000,0.00000000
h4,50,1,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_wave5_bull,140,20,2.72247448,3.14404494,1,0,0.00000000,0.00000000
h4,50,1,rsi_cross55_up+volatility+breakout20_up+elliott_impulse_bull,171,26,2.69817416,2.41849611,1,1,0.20000000,0.20000000
h4,50,1,rsi_cross55_up+volatility+retest_up+elliott_impulse_bull,171,26,2.69817416,2.41849611,1,1,0.20000000,0.20000000
h4,50,1,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,2.69102099,4.96428149,1,0,0.00000000,0.00000000
h4,50,1,sma_stack_bull+adx25+atr_expand+mtf_trend_bull,695,66,2.68433304,1.42911134,7,3,0.06009070,0.00000000
h4,50,1,ichimoku_cloud_bull+superbb_bull+elliott_wave5_bull,142,20,2.68412977,3.14404494,1,0,0.00000000,0.00000000
h4,50,1,price200_bull+rsi_up1+atr_expand+mtf_volatility,187,31,2.68186341,0.00000000,4,0,0.00000000,0.00000000
h4,50,1,superbb_bull+breakout20_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,50,1,superbb_bull+retest_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,50,1,adx25+pin_bull+mtf_adx25+cross_target_relative_up,135,36,2.67471177,1.74669164,4,2,0.04861111,0.00000000
h4,50,1,superbb_bull+breakout20_up+retest_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,50,1,superbb_bull+breakout20_up+impulse_bull+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,50,1,rsi_cross55_up+breakout20_up+elliott_impulse_bull+mtf_adx25,143,35,2.66535963,3.59319422,2,1,0.10000000,0.00000000
h4,50,1,rsi_cross55_up+retest_up+elliott_impulse_bull+mtf_adx25,143,35,2.66535963,3.59319422,2,1,0.10000000,0.00000000
h4,50,1,adx25+pin_bull+mtf_trend_bull,340,94,2.65504477,2.00683720,4,4,0.06430904,0.04166667
h4,50,1,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_bull,136,28,2.65504477,4.49149278,3,3,0.16666667,0.10000000
h4,50,3,adx25+volatility+pin_bull+mtf_volatility,159,28,3.40840123,3.26006185,4,4,0.41190476,0.28571429
h4,50,3,adx25+volatility+pin_bull+mtf_trend_bull,149,47,3.13547671,2.29528533,4,4,0.27692308,0.20000000
h4,50,3,volatility+pin_bull+mtf_volatility,246,36,3.11457353,3.45764136,4,4,0.40476190,0.28571429
h4,50,3,adx25+volatility+pin_bull+mtf_adx25,163,28,3.09546572,2.07458482,3,3,0.27777778,0.20000000
h4,50,3,adx25+pin_bull+mtf_volatility,254,48,3.04100093,3.45764136,4,4,0.42667055,0.30769231
h4,50,3,atr_expand+pin_bull,126,24,3.01569818,1.72882068,4,4,0.21666667,0.16666667
h4,50,3,adx25+volatility+pin_bull,268,57,2.99835810,2.18377349,4,4,0.25795455,0.18181818
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,2.86275695,2.99662251,4,4,0.34226190,0.25000000
h4,50,3,volatility+pin_bull+mtf_volatility+cross_group_return_up,128,22,2.77391705,3.39477515,3,3,0.43492063,0.33333333
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_volatility+cross_group_return_up,131,22,2.71039224,3.01757791,3,3,0.38730159,0.33333333
h4,50,3,pin_bull+mtf_volatility,488,86,2.69334023,3.18424646,4,4,0.39346936,0.32000000
h4,50,3,adx25+pin_bull+mtf_adx25,310,67,2.67250503,1.73398134,4,3,0.19824017,0.00000000
h4,50,3,ichimoku_cloud_bull+volatility+pin_bull,243,59,2.64033806,2.39104691,4,4,0.27385290,0.16666667
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+mtf_adx25,149,30,2.63380044,1.65966785,3,2,0.20965608,0.11111111
h4,50,3,adx25+pin_bull+mtf_adx25+cross_target_relative_up,135,36,2.63008432,1.38305654,4,2,0.14583333,0.00000000
h4,50,3,adx25+volatility+pin_bull+cross_group_return_up,128,34,2.62792142,2.19661922,4,4,0.25568182,0.16666667
h4,50,3,volatility+pin_bull+mtf_adx25,250,35,2.59132518,2.84514489,3,3,0.34444444,0.20000000
h4,50,3,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,2.57290857,2.39375171,4,4,0.26396557,0.18181818
h4,50,3,volatility+pin_bull,479,82,2.56188303,2.42878222,4,4,0.28790970,0.23076923
h4,50,3,ichimoku_cloud_bull+volatility+pin_bull+cross_group_return_up,127,29,2.55051691,3.14764593,4,4,0.36839827,0.28571429
h4,50,3,volatility+pin_bull+mtf_trend_bull+cross_group_bull,128,32,2.53059100,3.11187722,4,4,0.38852814,0.33333333
