timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,50,5,adx25+volatility+nr4+cross_target_relative_up,137,0.73722628,1.21068885,35,0.62857143,1.04419031,0.46336937,30,0.96666667,1.70890618,0.83329609
d1,50,10,price200_bull+volatility+nr4+mtf_volatility,211,0.82938389,1.15867138,36,0.80555556,1.09744892,0.64971957,32,0.93750000,1.37251611,0.79852877
d1,50,10,ema200_rising+volatility+nr4+mtf_volatility,211,0.82938389,1.15867138,36,0.80555556,1.09744892,0.64971957,32,0.93750000,1.37251611,0.79852877
d1,50,10,sma_stack_bull+volatility+nr4+mtf_volatility,155,0.87096774,1.21676513,24,0.70833333,0.96499819,0.50832306,31,0.93548387,1.36956446,0.79281363
d1,50,10,volatility+nr4+mtf_volatility,364,0.81318681,1.13604364,72,0.86111111,1.17313505,0.76286813,53,0.88679245,1.29827939,0.77423481
d1,50,10,volatility+nr4+pullback_bull+mtf_di_bull,133,0.84210526,1.17644348,36,0.83333333,1.13529198,0.68109206,27,0.92592593,1.35557147,0.76630407
d1,50,5,price200_bull+volatility+nr4+mtf_volatility,211,0.79146919,1.29976773,36,0.77777778,1.29205366,0.61915297,32,0.90625000,1.60209955,0.75781845
d1,50,10,adx_up3+volatility+nr4,209,0.85645933,1.19649649,35,0.88571429,1.20665319,0.74048531,59,0.86440678,1.26550638,0.75460339
d1,50,5,volatility+nr4+mtf_di_strong_bull+cross_group_return_up,129,0.76744186,1.26030953,49,0.69387755,1.15267761,0.55472106,19,0.94736842,1.67479009,0.75361269
d1,50,10,volatility+nr4+mtf_di_strong_bull+cross_group_return_up,129,0.82170543,1.14794436,49,0.83673469,1.13992583,0.70963662,19,0.94736842,1.38696365,0.75361269
d1,50,5,sma_stack_bull+volatility+nr4+mtf_volatility,155,0.82580645,1.35615712,24,0.66666667,1.10747457,0.46706317,31,0.90322581,1.59675327,0.75100062
d1,50,5,trend_bull+volatility+nr4+mtf_volatility,174,0.79885057,1.31188960,29,0.72413793,1.20294651,0.54282868,25,0.92000000,1.62640726,0.75033891
d1,50,5,volatility+nr4+mtf_di_bull+cross_group_return_up,195,0.73846154,1.21271742,69,0.66666667,1.10747457,0.54926475,36,0.88888889,1.57140798,0.74685191
d1,50,10,volatility+nr4+mtf_di_bull+cross_group_return_up,195,0.83076923,1.16060674,69,0.82608696,1.12541988,0.72016374,36,0.88888889,1.30134861,0.74685191
d1,50,10,sma_stack_bull+adx_up3+volatility+mtf_volatility,200,0.86000000,1.20144290,23,0.82608696,1.12541988,0.62862352,57,0.85964912,1.25854109,0.74675535
d1,50,10,sma_stack_bull+macd_bull+volatility+elliott_pullback_bull,147,0.81632653,1.14042990,21,0.85714286,1.16772890,0.65363940,30,0.90000000,1.31761547,0.74378917
d1,50,5,volatility+nr4+cross_target_relative_up,257,0.74708171,1.22687366,102,0.70588235,1.17262013,0.61128351,51,0.86274510,1.52519010,0.74278308
d1,50,10,volatility+nr4+mtf_di_bull,454,0.81718062,1.14162309,103,0.81553398,1.11104303,0.72977344,70,0.84285714,1.23395734,0.74011753
d1,50,5,adx_up3+volatility+nr4,209,0.77033493,1.26506059,35,0.85714286,1.42389587,0.70624446,59,0.84745763,1.49816439,0.73482016
d1,50,5,adx25+volatility+nr4+mtf_volatility,201,0.80099502,1.31541126,28,0.75000000,1.24590889,0.56644330,34,0.88235294,1.55985351,0.73379157
d1,50,10,price200_bull+macd_bull+volatility+elliott_pullback_bull,257,0.82101167,1.14697517,41,0.85365854,1.16298203,0.71556542,53,0.84905660,1.24303346,0.72945751
d1,50,10,ema200_rising+macd_bull+volatility+elliott_pullback_bull,257,0.82101167,1.14697517,41,0.85365854,1.16298203,0.71556542,53,0.84905660,1.24303346,0.72945751
d1,50,10,adx_up3+volatility+mtf_volatility,546,0.84432234,1.17954080,81,0.86419753,1.17733984,0.77296936,120,0.80833333,1.18341389,0.72878844
d1,50,5,trend_bull+nr4+mtf_volatility,409,0.74083130,1.21660909,103,0.65048544,1.08059412,0.55450028,70,0.82857143,1.46477673,0.72383352
d1,50,5,adx25+volatility+nr4+mtf_di_bull,250,0.75200000,1.23495057,35,0.77142857,1.28150629,0.60982683,37,0.86486486,1.52893750,0.72022588
d1,50,10,pin_bull+mtf_volatility,161,0.87577640,1.22348295,43,0.88372093,1.20393755,0.75520838,27,0.88888889,1.30134861,0.71942199
d1,50,10,price200_bull+macd_bull+volatility+nr4,274,0.81751825,1.14209477,48,0.85416667,1.16367428,0.72832823,55,0.83636364,1.22445074,0.71736254
