pair,timestamp,event,direction,state,reason,touch_candle,reference_level,signal_candle,sma_stack_bull,di_strong_bull,strong_close_bear
usdjpy,2021-01-04T00:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-01-04T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-01-04T12:00:00+00:00,102.848,,,,
usdjpy,2021-01-05T08:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,102.848,2021-01-05T08:00:00+00:00,False,False,True
usdjpy,2021-01-07T16:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-01-12T16:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-01-12T16:00:00+00:00,104.218,,,,
usdjpy,2021-01-12T20:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-01-13T00:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-04-19T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-04-20T04:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-04-20T04:00:00+00:00,108.099,,,,
usdjpy,2021-04-20T12:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,108.099,2021-04-20T12:00:00+00:00,False,False,True
usdjpy,2021-04-29T12:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-05-03T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-05-03T12:00:00+00:00,109.521,,,,
usdjpy,2021-05-07T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-05-07T16:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-05-24T16:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-05-25T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-05-25T08:00:00+00:00,108.713,,,,
usdjpy,2021-05-26T12:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-05-26T16:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-05-26T20:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-05-31T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-05-31T12:00:00+00:00,109.681,,,,
usdjpy,2021-06-02T04:00:00+00:00,TRIGGERED,long,ARMED,entry conditions satisfied,,109.681,2021-06-02T04:00:00+00:00,True,True,False
usdjpy,2021-07-15T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-07-16T04:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-07-16T04:00:00+00:00,109.931,,,,
usdjpy,2021-07-18T20:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,109.931,2021-07-18T20:00:00+00:00,False,False,True
usdjpy,2021-07-23T12:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-07-26T04:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-07-26T04:00:00+00:00,110.371,,,,
usdjpy,2021-07-27T04:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-07-27T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-07-27T16:00:00+00:00,REVERSE_CROSS_INVALIDATION,long,ARMED,reverse cross while armed,,,,,,
usdjpy,2021-08-09T16:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-08-11T16:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-08-11T16:00:00+00:00,110.492,,,,
usdjpy,2021-08-13T04:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-08-13T08:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-08-16T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-08-17T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-08-17T12:00:00+00:00,109.172,,,,
usdjpy,2021-08-18T08:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-08-18T12:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-08-26T16:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-08-27T04:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-08-27T04:00:00+00:00,110.12,,,,
usdjpy,2021-08-27T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-08-27T16:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-08-30T00:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-08-30T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-08-30T12:00:00+00:00,109.839,,,,
usdjpy,2021-08-31T12:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-08-31T16:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-08-31T20:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-09-01T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-09-01T12:00:00+00:00,110.389,,,,
usdjpy,2021-09-03T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-09-03T16:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-09-03T20:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-09-06T04:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-09-06T04:00:00+00:00,109.775,,,,
usdjpy,2021-09-07T08:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-09-07T12:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-09-07T16:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-09-09T00:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-09-09T00:00:00+00:00,110.272,,,,
usdjpy,2021-09-09T04:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-09-09T08:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-09-14T16:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-09-16T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-09-16T12:00:00+00:00,109.364,,,,
usdjpy,2021-09-17T00:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-09-17T04:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-09-24T00:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-09-30T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-09-30T12:00:00+00:00,112.011,,,,
usdjpy,2021-09-30T16:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-10-01T00:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-10-01T04:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2021-11-30T20:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
usdjpy,2021-12-03T04:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2021-12-03T04:00:00+00:00,113.133,,,,
usdjpy,2021-12-03T16:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,113.133,2021-12-03T16:00:00+00:00,False,False,True
usdjpy,2021-12-14T16:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
usdjpy,2021-12-16T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2021-12-16T12:00:00+00:00,114.196,,,,
usdjpy,2021-12-17T00:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-12-17T08:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-12-19T20:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
usdjpy,2021-12-20T00:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
usdjpy,2022-01-14T08:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
