timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,50,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,0.19496855,3.91113514,70,0.25714286,4.93512605,0.16929276,53,0.15094340,4.74572822,0.07852418
h4,1,50,adx25+atr_expand+impulse_bull+mtf_volatility,224,0.17857143,3.58220327,38,0.10526316,2.02022704,0.04170257,24,0.25000000,7.86011236,0.11999366
h4,1,50,atr_expand+mtf_volatility+adx25,697,0.17647059,3.54005970,112,0.18750000,3.59852941,0.12603456,83,0.14457831,4.54560715,0.08468299
h4,1,50,adx25+atr_expand+mtf_volatility,697,0.17647059,3.54005970,112,0.18750000,3.59852941,0.12603456,83,0.14457831,4.54560715,0.08468299
h4,1,50,adx_up3+atr_expand+mtf_volatility,431,0.17633411,3.53732183,68,0.20588235,3.95132641,0.12679561,87,0.12643678,3.97522924,0.07208953
h4,1,50,adx25+atr_expand+pullback_bull+mtf_volatility,229,0.17030568,3.41638949,51,0.23529412,4.51580161,0.14004949,24,0.04166667,1.31001873,0.00739346
h4,1,50,ichimoku_cloud_bull+atr_expand+pullback_bull+mtf_volatility,226,0.16814159,3.37297724,39,0.25641026,4.92106586,0.14568781,27,0.14814815,4.65784436,0.05915928
h4,1,50,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,0.16666667,3.34338972,34,0.14705882,2.82237601,0.06449441,26,0.11538462,3.62774417,0.04003245
h4,1,50,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_volatility,201,0.16417910,3.29348838,39,0.28205128,5.41317245,0.16543492,45,0.17777778,5.58941323,0.09294390
h4,1,50,adx_up3+atr_expand+pullback_bull+mtf_volatility,141,0.16312057,3.27225376,24,0.29166667,5.59771242,0.14914648,24,0.00000000,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,0.15789474,3.16742184,32,0.15625000,2.99877451,0.06864420,27,0.14814815,4.65784436,0.05915928
h4,1,50,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,0.15460526,3.10143388,57,0.14035088,2.69363605,0.07287276,35,0.20000000,6.28808989,0.10042446
h4,1,50,ichimoku_cloud_bull+superbb_bull+impulse_bull+cross_group_return_up,123,0.15447154,3.09875144,31,0.22580645,4.33371284,0.11395136,17,0.11764706,3.69887640,0.03287977
h4,1,50,ichimoku_cloud_bull+superbb_bull+cross_group_return_up,125,0.15200000,3.04917142,33,0.27272727,5.23422460,0.15067441,17,0.11764706,3.69887640,0.03287977
h4,1,50,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,0.15114236,3.03196677,100,0.20000000,3.83843137,0.13336693,93,0.15053763,4.73297088,0.09184177
h4,1,50,adx25+atr_expand+breakout20_up+mtf_adx25,146,0.15068493,3.02279070,20,0.00000000,0.00000000,0.00000000,14,0.21428571,6.73723917,0.07571387
h4,1,50,adx25+atr_expand+retest_up+mtf_adx25,146,0.15068493,3.02279070,20,0.00000000,0.00000000,0.00000000,13,0.23076923,7.25548833,0.08179529
h4,1,50,rsi_up1+atr_expand+mtf_volatility,378,0.14814815,2.97190197,68,0.14705882,2.82237601,0.08188818,58,0.17241379,5.42076714,0.09644293
h4,1,50,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,0.14792899,2.96750567,58,0.13793103,2.64719405,0.07158487,50,0.18000000,5.65928090,0.09770193
