timeframe,horizon_bars,target_pips,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,50,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,3.91113514,4.74572822,5,4,0.20038462,0.00000000
h4,1,50,adx25+atr_expand+impulse_bull+mtf_volatility,224,24,3.58220327,7.86011236,1,1,0.28571429,0.28571429
h4,1,50,atr_expand+mtf_volatility+adx25,697,83,3.54005970,4.54560715,8,5,0.16878838,0.00000000
h4,1,50,adx25+atr_expand+mtf_volatility,697,83,3.54005970,4.54560715,8,5,0.16878838,0.00000000
h4,1,50,adx_up3+atr_expand+mtf_volatility,431,87,3.53732183,3.97522924,10,6,0.13574786,0.00000000
h4,1,50,adx25+atr_expand+pullback_bull+mtf_volatility,229,24,3.41638949,1.31001873,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+atr_expand+pullback_bull+mtf_volatility,226,27,3.37297724,4.65784436,2,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,26,3.34338972,3.62774417,2,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_volatility,201,45,3.29348838,5.58941323,5,4,0.20675325,0.00000000
h4,1,50,adx_up3+atr_expand+pullback_bull+mtf_volatility,141,24,3.27225376,0.00000000,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,27,3.16742184,4.65784436,1,0,0.00000000,0.00000000
h4,1,50,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,3.10143388,6.28808989,4,2,0.11904762,0.00000000
h4,1,50,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,3.03196677,4.73297088,8,5,0.17256181,0.00000000
h4,1,50,rsi_up1+atr_expand+mtf_volatility,378,58,2.97190197,5.42076714,6,3,0.09280303,0.00000000
h4,1,50,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,50,2.96750567,5.65928090,6,3,0.08492063,0.00000000
h4,1,50,adx_up3+atr_expand+mtf_adx25,622,112,2.90262130,3.08790128,10,4,0.09603175,0.00000000
h4,1,50,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,2.89641248,4.76370446,3,2,0.18095238,0.00000000
h4,1,50,atr_expand+breakout20_up+elliott_impulse_bull+mtf_volatility,125,19,2.88868871,6.61904199,1,1,0.40000000,0.40000000
h4,1,50,atr_expand+retest_up+elliott_impulse_bull+mtf_volatility,125,19,2.88868871,6.61904199,1,1,0.40000000,0.40000000
h4,1,50,adx_up3+atr_expand+mtf_adx25+cross_target_relative_up,271,44,2.88691215,4.28733401,4,2,0.15625000,0.00000000
h4,1,50,atr_expand+impulse_bull+mtf_volatility,362,62,2.88159556,5.57814426,6,3,0.09294872,0.00000000
h4,1,50,atr_expand+pullback_bull+mtf_volatility,420,50,2.86576261,3.14404494,6,1,0.03333333,0.00000000
h4,1,50,atr_expand+mtf_volatility+breakout20_up,140,20,2.86576261,6.28808989,1,1,0.33333333,0.33333333
h4,1,50,atr_expand+breakout20_up+mtf_volatility,140,20,2.86576261,6.28808989,1,1,0.33333333,0.33333333
h4,1,50,atr_expand+retest_up+mtf_volatility,140,19,2.86576261,6.61904199,1,1,0.40000000,0.40000000
h4,1,50,price20_bull+atr_expand+breakout20_up+mtf_volatility,140,20,2.86576261,6.28808989,1,1,0.33333333,0.33333333
h4,1,50,ema20_rising+atr_expand+breakout20_up+mtf_volatility,140,20,2.86576261,6.28808989,1,1,0.33333333,0.33333333
h4,1,50,price20_bull+atr_expand+retest_up+mtf_volatility,140,19,2.86576261,6.61904199,1,1,0.40000000,0.40000000
h4,1,50,ema20_rising+atr_expand+retest_up+mtf_volatility,140,19,2.86576261,6.61904199,1,1,0.40000000,0.40000000
h4,1,50,atr_expand+breakout20_up+retest_up+mtf_volatility,140,19,2.86576261,6.61904199,1,1,0.40000000,0.40000000
h4,1,50,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_wave5_bull,135,20,2.82330687,3.14404494,1,0,0.00000000,0.00000000
h4,1,50,triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,2.81839464,1.84943820,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,2.81839464,1.84943820,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,2.81839464,1.84943820,1,0,0.00000000,0.00000000
h4,1,50,atr_expand+mtf_volatility,1172,172,2.80707806,4.56983277,11,7,0.15344382,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave5_bull,136,20,2.80254726,3.14404494,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave5_bull,136,20,2.80254726,3.14404494,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_adx25,373,71,2.79661553,3.98540908,8,3,0.13003663,0.00000000
h4,1,50,ichimoku_cloud_bull+adx25+atr_expand+mtf_adx25,634,79,2.78440027,3.58182335,7,4,0.13826531,0.00000000
h4,1,50,atr_expand+impulse_bull+elliott_impulse_bull+mtf_volatility,137,21,2.78209071,5.98865704,1,1,0.40000000,0.40000000
h4,1,50,triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,2.77256708,1.84943820,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,2.77256708,1.84943820,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,2.77256708,1.84943820,1,0,0.00000000,0.00000000
