timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,10,50,sma_stack_bull+adx_up3+volatility,297,0.80471380,1.12420662,38,0.86842105,1.18309375,0.72673141,82,0.89024390,1.30333237,0.80438763
d1,10,50,adx_up3+volatility,853,0.80539273,1.12515510,142,0.81690141,1.11290594,0.74523413,189,0.85185185,1.24712575,0.79421606
d1,10,50,volatility+mtf_volatility+adx25,973,0.80267215,1.12135437,141,0.75886525,1.03384036,0.68199730,163,0.84662577,1.23947467,0.78338678
d1,10,50,sma_stack_bull+atr_expand,251,0.80079681,1.11873447,49,0.85714286,1.16772890,0.73332294,84,0.85714286,1.25487187,0.76669897
d1,5,50,sma_stack_bull+adx25+atr_expand+mtf_volatility,145,0.75862069,1.24582321,17,0.76470588,1.27033848,0.52738202,45,0.82222222,1.45355239,0.68670175
d1,5,50,sma_stack_bull+adx25+atr_expand,155,0.74193548,1.21842241,17,0.76470588,1.27033848,0.52738202,45,0.82222222,1.45355239,0.68670175
d1,10,50,atr_expand+mtf_volatility+adx25,303,0.80198020,1.12038770,47,0.80851064,1.10147478,0.67455995,67,0.79104478,1.15810315,0.67928193
d1,5,50,adx25+bb_expand+mtf_volatility,670,0.71492537,1.17406582,132,0.65909091,1.09488963,0.57475309,135,0.74814815,1.32260172,0.66875376
d1,5,50,sma_stack_bull+adx25+volatility+mtf_volatility,428,0.73598131,1.20864433,61,0.57377049,0.95315434,0.44895230,89,0.76404494,1.35070462,0.66606374
d1,5,50,sma_stack_bull+adx25+bb_expand+mtf_volatility,253,0.74703557,1.22679789,59,0.61016949,1.01362079,0.48266342,70,0.77142857,1.36375764,0.66049668
d1,5,50,volatility+close_near_high+elliott_pullback_bull,127,0.72440945,1.18964078,19,0.63157895,1.04918643,0.41039533,37,0.81081081,1.43337890,0.65795303
d1,5,50,sma_stack_bull+atr_expand+mtf_volatility,238,0.72689076,1.19371563,48,0.81250000,1.34973463,0.68060133,83,0.75903614,1.34184989,0.65690264
d1,10,50,price200_bull+di_spread_up3+volatility,752,0.79787234,1.11464891,104,0.79807692,1.08726040,0.71095329,155,0.72903226,1.06731575,0.65415257
d1,5,50,sma_stack_bull+adx_up3+volatility,297,0.72053872,1.18328418,38,0.84210526,1.39891524,0.69583188,82,0.75609756,1.33665496,0.65307292
d1,5,50,sma_stack_bull+volatility+mtf_volatility,784,0.72448980,1.18977272,111,0.67567568,1.12244044,0.58398134,148,0.72297297,1.27809619,0.64592599
d1,5,50,trend_bull+adx25+atr_expand+mtf_volatility,164,0.72560976,1.19161195,25,0.80000000,1.32896948,0.60869050,46,0.78260870,1.38352225,0.64426313
d1,5,50,trend_bull+adx25+atr_expand,176,0.71590909,1.17568131,25,0.80000000,1.32896948,0.60869050,46,0.78260870,1.38352225,0.64426313
d1,10,50,price200_bull+di_spread_up3+volatility+cross_group_bull,324,0.79629630,1.11244713,65,0.81538462,1.11083954,0.70446006,73,0.75342466,1.10302665,0.64355555
d1,5,50,adx25+atr_expand,323,0.71826625,1.17955229,47,0.72340426,1.20172772,0.58241436,69,0.75362319,1.33228068,0.64039337
d1,5,50,adx_up3+volatility+mtf_volatility,546,0.75091575,1.23317000,81,0.83950617,1.39459761,0.74452951,120,0.72500000,1.28167964,0.63907034
d1,5,50,atr_expand+mtf_volatility+adx25,303,0.73267327,1.20321180,47,0.72340426,1.20172772,0.58241436,67,0.74626866,1.31927909,0.63070805
d1,5,50,adx25+atr_expand+mtf_volatility,303,0.73267327,1.20321180,47,0.72340426,1.20172772,0.58241436,67,0.74626866,1.31927909,0.63070805
d1,5,50,trend_bull+adx_up3+volatility,341,0.71554252,1.17507932,41,0.85365854,1.41810768,0.71556542,70,0.74285714,1.31324810,0.62973870
d1,5,50,trend_bull+adx25+bb_expand+mtf_volatility,313,0.73162939,1.20149752,71,0.64788732,1.07627810,0.53182062,69,0.73913043,1.30665990,0.62489426
d1,5,50,trend_bull+bb_expand+close_near_high+mtf_volatility,179,0.73743017,1.21102368,50,0.70000000,1.16284830,0.56249650,39,0.76923077,1.35987229,0.61663743
d1,3,50,ichimoku_cloud_bull+adx_up3+volatility+close_near_high,163,0.63190184,1.26752757,20,0.55000000,1.13630363,0.34208534,32,0.78125000,1.77178661,0.61245006
d1,5,50,sma_stack_bull+adx_up3+volatility+mtf_volatility,200,0.79500000,1.30556610,23,0.82608696,1.37230544,0.62862352,57,0.73684211,1.30261451,0.61023421
d1,5,50,trend_bull+adx25+volatility+mtf_volatility,487,0.71457906,1.17349709,70,0.62857143,1.04419031,0.51147201,89,0.70786517,1.25138810,0.60636494
d1,10,50,di_spread_up3+volatility+elliott_pullback_bull+cross_group_bull,128,0.81250000,1.13508414,31,0.80645161,1.09866966,0.63719742,30,0.76666667,1.12241318,0.59071674
d1,5,50,price200_bull+adx25+atr_expand+mtf_volatility,190,0.71578947,1.17548487,24,0.79166667,1.31512605,0.59529547,45,0.73333333,1.29641159,0.58961162
d1,10,50,trend_bull+di_spread_up3+volatility+mtf_trend_bull,389,0.79434447,1.10972038,64,0.79687500,1.08562296,0.68286364,59,0.71186441,1.04218173,0.58619153
d1,10,50,sma_stack_bull+elliott_wave5_bull+mtf_trend_bull+cross_group_return_up,212,0.79716981,1.11366746,110,0.67272727,0.91649026,0.58050888,50,0.72000000,1.05409237,0.58334876
d1,10,50,sma_stack_bull+elliott_wave5_bull+mtf_di_strong_bull+cross_group_return_up,198,0.80303030,1.12185472,101,0.65346535,0.89024876,0.55657983,44,0.72727273,1.06473977,0.58151127
d1,10,50,sma_stack_bull+di_spread_up3+bb_expand+cross_group_bull,151,0.80132450,1.11947167,92,0.68478261,0.93291385,0.58406690,41,0.73170732,1.07123209,0.58066467
d1,10,50,di_spread_up3+volatility+mtf_trend_bull+cross_group_bull,242,0.80165289,1.11993044,62,0.82258065,1.12064306,0.70958433,35,0.74285714,1.08755562,0.57930693
d1,5,50,price200_bull+volatility+elliott_impulse_bull+cross_group_bull,169,0.72189349,1.18550902,27,0.66666667,1.10747457,0.47824761,32,0.75000000,1.32587549,0.57893441
